"","MD_11","MD_12","MD_14","MD_15","MD_16","MD_17","MD_18","MW_1","MW_10","MW_2","MW_3","MW_5","MW_6","MW_8","MW_9"
"Module_1",0.77636335145624,-0.0605866615600708,-1.26715412465981,0.277567503721079,-0.0524946644875032,-0.765995036451224,0.142665718954226,2.10308922824573,-1.90083810012461,3.21775769438938,-1.44192184433057,-1.52398792052665,2.67810651300286,-0.25874546507412,-1.92382619255495
"Module_2",-0.315291090570989,-1.24489081179827,0.0883321349452038,-0.66931469775856,-0.440555510518559,-1.66843092549642,0.725422817498153,-1.65283887365588,0.598025149342234,0.565142284248907,2.8353692850986,2.45394286628648,0.743474914269164,-2.96698173224755,0.948594190357503
"Module_3",-4.51539760249825,-3.31669178733441,-1.04049538542989,-2.54114734139115,-1.10946458006592,-1.26640629862926,0.048114180993861,-0.20531092777351,1.84433935042864,1.82945977974849,3.65391032148151,4.96086090466224,-0.902542228076857,-0.173710246500806,2.7344818603853
"Module_4",-0.431890886978314,1.58837998471412,1.6343204864398,-0.551820955393671,0.897094040540797,1.69915056380044,0.419117018243458,0.31698447157536,1.91732521200304,-0.69297454263385,-1.83932161316291,-0.239104131497378,-0.297378837991954,-3.52479652678089,-0.89508428287803
"Module_5",-0.992721583112714,1.96374795396264,2.55823731910748,-0.241918565377045,1.72577255788985,1.59955573405525,1.73526489582976,-1.29107638883002,0.123604849452893,-1.55406120657858,0.26282749726838,0.392707325714347,-1.15543007997897,-2.57291153335242,-2.55359877605084
"Module_6",-1.93843922456975,2.51779636126099,2.66604639909195,-2.17848964890695,-1.88524341879662,-2.43402754467915,-2.25258406973008,1.59619204900067,2.86459160676488,-1.68169866689738,2.84673029984533,2.06118495426466,-2.32164650000891,3.33582553112872,-3.19623812776836
"Module_7",-3.49579058935705,-1.78077908720017,1.16826703010559,-2.30160465647424,0.400672623902032,-0.681159098264284,1.08435670905619,-0.516810306437277,1.11758016142151,1.3752976815557,0.957376536899786,0.80179716298889,0.117575697940707,1.42102148661764,0.332198647244984
"Module_8",-0.676487042880545,1.16147543658102,-0.22773937718074,-1.37252578715258,-0.965624512711583,0.289484914998125,-0.827867048047744,0.462017844390247,-0.00878040514335954,0.877002882860827,-0.0806583577486291,-1.979444943625,1.31424200630545,4.22611255445195,-2.19120816509745
"Module_9",-8.08415055598785,-7.62634028243071,-2.29722031249316,-6.22255795808388,-1.5554066048419,-1.25032105501588,-1.6000245070766,1.19528822713239,8.1729830194401,6.28467672627254,5.5589029597334,3.36311181388517,0.323024323583083,-4.02188494059935,7.75991914648264
"Module_10",-3.36498305056596,-3.9936511574573,-1.45721007200978,-2.50164769733909,-0.281876484665461,0.424545368933513,-0.274523418471951,1.18500639442931,0.081790644640076,3.29719710048898,2.56726685211406,1.79201002460407,0.485891617028669,-1.29314775780323,3.33333163607412
"Module_11",-3.47149184417307,-0.898435282821621,-2.29214750927734,-5.24908062534159,-1.51450655738809,-1.20481362016183,-1.6613267052203,3.24942014509773,2.57936290783667,3.31063322763507,2.96062141399074,0.00900333697510965,1.8867464918387,1.33921859705852,0.956796023951292
