Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_259_comp780_c0_seq1,79.955,121.271,195.227,96.545,201.294,157.865,47.79,123,186.909,107.316,146.805,160.008,202.338,199.414,130.385,107.806,166.634,-0.003,NDE,NDE
Ref_25_comp15253_c0_seq1,3.302,3.095,4.469,2.982,2.715,3.513,3.342,4.294,3.732,3.423,4.199,4.077,1.774,5.867,2.152,2.95,3.543,-0.187,NDE,NDE
Ref_25_comp24088_c0_seq1,0.901,2.379,0.564,0.755,1.279,0.789,1.754,1.748,0.986,1.808,1.331,1.002,1.124,2.711,1.433,1.268,1.33,0.134,NDE,NDE
Ref_080R_comp18696_c0_seq1,5.483,6.894,8.119,4.961,4.101,5.375,3.75,4.041,3.944,5.837,8.129,10.693,4.139,6.824,4.156,4.31,5.341,0.056,NDE,NDE
Ref_220_comp5844_c0_seq1,15.316,28.562,19.337,18.633,20.764,18.986,19.93,18.688,21.497,24.118,15.427,21.37,20.653,29.736,23.943,22.306,26.651,0.043,NDE,NDE
Ref_25_comp26201_c0_seq1,1.796,1.619,0.831,0.893,1.776,1.127,0.973,1.385,2.145,2.687,0.73,2.176,1.03,1.408,3.906,2.124,1.99,0.393,NDE,NDE
Ref_25_comp1447_c1_seq1,84.738,78.648,117.172,166.888,196.88,164.853,109.618,121.821,142.039,120.617,119.151,89.232,93.571,103.04,153.613,120.409,90.729,-0.384,NDE,NDE
Ref_25_comp17504_c0_seq1,3.403,5.935,3.448,3.381,4.896,2.882,2.981,2.624,3.678,3.608,2.33,4.513,3.34,7.281,5.543,3.657,9.083,0.236,NDE,NDE
Ref_259_comp12367_c0_seq1,9.134,21.856,10.645,19.831,18.362,16.65,12.51,9.332,14.352,17.013,13.893,17.818,14.061,21.511,22.421,19.784,17.871,0.139,NDE,NDE
Ref_220_comp13328_c0_seq1,56.971,8.05,2.779,2.519,10.972,5.238,7.348,6.593,14.936,4.458,2.056,15.419,16.568,17.925,44.652,9.347,5.312,0.15,NDE,NDE
Ref_25_comp7774_c0_seq1,3.186,2.559,2.55,1.438,2.048,2.255,1.736,1.883,2.119,2.846,2.399,3.181,4.154,2.762,1.896,2.383,2.36,0.158,NDE,NDE
Ref_080R_comp5838_c0_seq1,3.928,2.844,6.543,3.964,3.104,2.274,5.572,2.97,3.613,3.068,3.684,3.267,4.073,2.477,2.666,2.885,3.859,-0.398,NDE,NDE
Ref_25_comp13753_c0_seq1,7.783,6.708,6.384,3.556,5.376,4.06,4.6,7.625,6.024,8.531,5.965,7.534,6.586,4.386,5.316,7.265,7.935,0.05,NDE,NDE
Ref_080R_comp561_c0_seq1,120.09,302.027,243.047,96.884,259.616,193.87,289.442,411.594,351.365,556.709,329.572,304.817,333.711,247.078,182.782,350.58,345.156,0.201,NDE,NDE
Ref_259_comp362_c0_seq1,369.718,423.084,329.764,732.655,551.15,516.097,532.219,419.193,375.337,389.858,636.865,297.301,326.94,539.603,555.374,415.025,308.479,-0.245,NDE,NDE
Ref_259_comp4881_c0_seq1,18.665,14.767,15.152,5.238,14.561,9.617,15.218,28.068,6.966,20.714,18.382,27.107,25.475,9.289,17.59,15.602,16.58,0.231,NDE,NDE
Ref_25_comp21213_c0_seq1,0,0.154,0.035,0.145,0.063,0.061,0.077,0.042,0.017,0.024,0.126,0,0,0.108,0.016,0.06,0.097,-0.603,NDE,NDE
Ref_25_comp8614_c0_seq1,8.339,39.053,21.327,9.685,14.456,16.65,16.367,7.229,17.739,17.159,8.365,19.377,12.004,31.566,17.932,17.53,25.797,0.029,NDE,NDE
Ref_220_comp6817_c0_seq1,1.295,0.252,0.173,0.189,0.343,0.267,0.284,1.539,0.224,1.247,0.911,0.614,0.64,0.293,0.479,0.898,0.925,0.403,NDE,NDE
Ref_25_comp8277_c0_seq1,1.847,24.809,6.983,0.89,9.625,1.488,0.458,2.254,14.988,3.055,2.326,2.221,2.716,5.155,4.617,1.576,3.589,-1.375,NDE,NDE
Ref_259_comp28856_c0_seq1,1.26,0.97,1.312,0.727,1.381,0.697,0.268,0.91,1.798,1.932,2.288,1.126,5.616,2.944,2.284,1.884,2.196,1.263,NDE,NDE
Ref_25_comp14821_c0_seq1,2.142,3.341,2.342,2.057,2.885,2.124,1.275,1.333,1.87,2.267,2.782,2.968,1.322,5.944,4.455,2.216,6.005,0.567,NDE,NDE
Ref_080R_comp24350_c0_seq1,1.278,0.7,0.752,0.809,1.027,0.427,1.439,0.976,0.441,1.084,0.697,0.742,0.562,0.978,0.716,0.616,0.409,-0.485,NDE,NDE
Ref_259_comp13692_c0_seq1,2.045,3.022,2.253,1.901,2.134,4.179,0.569,2.639,0.943,2.343,4.758,2.465,2.259,3.577,1.875,3.551,2.357,0.236,NDE,NDE
Ref_259_comp14346_c0_seq1,0,3.995,4.661,0.015,0.668,0.752,0.016,2.574,0.688,0.859,1.305,1.685,0.785,0.854,1.38,0.784,1.062,-0.31,NDE,NDE
Ref_220_comp2182_c0_seq1,148.965,120.044,106.584,121.164,134.434,128.184,124.107,144.997,98.948,124.697,161.925,108.126,118.376,120.18,164.982,127.404,104.288,-0.073,NDE,NDE
Ref_080R_comp12628_c0_seq1,16.163,8.889,9.836,13.868,8.249,7.447,9.36,11.07,8.506,8.188,10.193,8.002,9.731,17.765,18.251,10.724,9.452,0.016,NDE,NDE
Ref_080R_comp696_c0_seq1,93.065,162.747,119.936,455.649,335.114,442.134,204.407,57.745,181.124,68.253,200.554,145.838,49.523,118.169,129.15,106.937,84.051,-1.132,NDE,NDE
Ref_25_comp9792_c0_seq1,15.578,15.355,14.375,18.876,20.04,5.889,31.994,19.627,16.615,30.391,15.178,14.875,26.618,9.825,14.691,27.865,8.077,-0.068,NDE,NDE
Ref_259_comp20424_c0_seq1,0,2.389,2.792,1.904,1.61,0.038,0.048,0.62,1.478,1.798,2.692,2.462,1.214,2.45,2.023,1.22,3.514,0.843,NDE,NDE
Ref_25_comp3032_c0_seq1,361.023,3.214,1.428,3.03,119.556,3.921,4.455,41.958,211.123,4.623,2.701,5.538,5.241,2.751,6.274,4.826,2.129,-4.343,NDE,NDE
Ref_259_comp13431_c0_seq1,9.564,11.988,8.601,7.76,9.301,12.328,10.314,7.485,9.508,6.298,10.185,13.212,7.605,8.328,13.361,9.369,13.297,-0.053,NDE,NDE
Ref_080R_comp2524_c0_seq1,35.205,123.147,82.19,55.158,72.612,116.217,50.312,51.139,109.642,64.66,58.448,111.352,43.109,64.593,52.548,64.565,76.907,-0.351,NDE,NDE
Ref_25_comp20750_c0_seq1,2.034,1.209,3.125,2.537,1.914,2.306,1.775,0.899,0.979,0.932,1.312,1.264,0.776,1.201,1.092,0.384,1.776,-1.026,NDE,NDE
Ref_080R_comp21733_c0_seq1,2.201,2.109,1.953,1.154,1.151,1.383,2.105,2.421,1.368,2.861,1.962,2.172,1.934,3.413,1.87,1.787,2.515,0.276,NDE,NDE
Ref_25_comp10512_c0_seq1,4.571,3.684,0.671,2.979,3.652,3.205,3.549,0.663,5.571,6.846,2.982,3.658,6.795,3.792,4.486,4.313,4.5,0.312,NDE,NDE
Ref_259_comp11156_c0_seq1,0.431,0.333,4.515,0.075,0.164,0.233,1.351,4.527,0.059,0.041,1.518,0.085,0,0,0.028,0.103,0.467,-2.102,NDE,NDE
Ref_25_comp20123_c0_seq1,2.904,1.141,1.887,0.741,1.017,0.951,1.15,1.259,0.901,3.612,3.743,1.193,3.621,3.683,2.489,2.691,4.114,1.043,NDE,NDE
Ref_259_comp14636_c0_seq1,6.434,28.411,7.474,5.727,5.64,8.529,6.6,5.03,5.679,5.583,5.952,7.672,6.821,8.88,7.02,5.361,9.767,-0.387,NDE,NDE
Ref_259_comp16238_c0_seq1,5.532,0.604,3.889,0.995,1.434,1.151,6.39,3.193,0.912,1.87,3.277,0.998,2.132,1.518,2.146,0.862,0.968,-0.74,NDE,NDE
Ref_080R_comp4067_c0_seq1,33.462,28.058,32.495,48.688,45.01,35.524,32.072,35.324,23.539,30.671,35.414,22.671,26.368,50.621,41.039,31.604,31.791,-0.18,NDE,NDE
Ref_080R_comp8066_c0_seq1,15.797,17.149,14.457,12.619,13.602,13.393,15.794,20.377,16.573,19.116,13.896,15.344,17.273,17.619,16.186,17.034,18.617,-0.035,NDE,NDE
Ref_259_comp18180_c0_seq1,6.345,2.948,3.606,6.056,4.671,5.621,3.254,3.181,4.14,2.238,5.367,5.926,4.12,5.977,4.749,2.892,7.524,-0.08,NDE,NDE
Ref_259_comp13691_c0_seq1,3.884,0,3.738,0.104,0.038,3.719,5.284,0,0.206,0,0,0,0,0,0,0.029,0,-8.915,DE,DE
Ref_220_comp666_c0_seq1,139.319,74.084,124.079,46.381,104.748,85.682,82.477,119.159,115.865,0.197,133.683,193.324,196.77,108.933,117.193,125.793,129.907,0.182,NDE,NDE
Ref_220_comp23777_c0_seq1,0.434,1.002,1.605,0.587,0.606,0.36,0.45,0.517,0.735,0.971,0.898,1.495,0.629,1.581,0.7,0.487,1.178,0.319,NDE,NDE
Ref_080R_comp9508_c0_seq1,12.861,8.84,15.011,7.496,8.345,8.292,9.619,9.602,10.673,11.858,10.9,9.908,10.243,9.281,10.311,12.14,8.912,-0.096,NDE,NDE
Ref_080R_comp17817_c0_seq1,0.454,2.522,2.256,1.549,2.036,2.984,3.038,0.454,3.455,2.777,1.863,1.158,0.956,3.131,2.995,2.109,2.316,-0.064,NDE,NDE
Ref_25_comp10610_c0_seq1,0.165,0.58,0.43,0.155,0.271,0.316,0.231,0.089,0.037,0.051,0.63,0.527,0.266,0.116,0.947,0.36,0.498,0.525,NDE,NDE
Ref_25_comp2161_c0_seq1,57.128,54.897,31.182,30.287,34.641,41.146,51.02,33.748,49.456,50.937,47.585,42.5,50.733,49.816,63.521,42.878,50.269,0.08,NDE,NDE
Ref_080R_comp13934_c0_seq1,0,0,0.036,0.025,0.028,0.021,3.373,0.073,0,0.042,0,0.043,0,0,0,0.042,0.034,-4.8,NDE,NDE
Ref_25_comp825_c0_seq1,10.499,12.969,12.18,12.514,16.078,15.134,10.067,12.029,10.513,12.178,17.472,9.928,9.847,13.401,12.291,11.609,12.896,-0.149,NDE,NDE
Ref_220_comp26850_c0_seq1,1.228,0.448,1.073,0.987,0.688,0.57,0.602,0.877,0.772,0.486,1.369,0.642,0.675,1.018,0.925,0.713,0.814,-0.062,NDE,NDE
Ref_220_comp30491_c0_seq1,0.764,0.295,0.528,0.31,0.773,0.188,0.846,0.191,0.21,0.439,0.449,0.45,0.474,0.742,0.949,0.696,0.769,0.396,NDE,NDE
Ref_080R_comp15785_c0_seq1,6.944,8.321,6.902,4.443,4.709,4.772,6.197,5.191,3.844,7.786,5.773,7.574,7.066,8.46,5.687,5.829,7.545,0.141,NDE,NDE
Ref_080R_comp7883_c0_seq1,1.389,13.299,10.822,0.017,4.809,0.029,11.461,18.238,2.739,19.707,13.336,14.511,14.735,10.655,12,12.836,13.727,1.081,NDE,NDE
Ref_25_comp7715_c0_seq1,10.871,1.105,0.024,13.262,7.001,12.922,0.018,1.383,11.563,1.806,0.983,1.265,1.312,0.895,0.636,0.96,1.262,-2.872,NDE,NDE
Ref_080R_comp8893_c0_seq1,8.58,10.046,5.568,15.592,10.251,13.284,14.898,7.528,24.686,7.312,3.559,5.157,7.081,10.035,8.706,8.327,4.718,-0.971,NDE,NDE
Ref_220_comp9283_c0_seq1,18.214,21.496,26.571,12.752,16.219,18.326,19.875,17.355,20.413,21.751,29.664,25.01,22.533,18.359,14.44,20.015,22.513,0.018,NDE,NDE
Ref_080R_comp812_c0_seq1,190.591,25.891,26.042,18.688,112.225,42.249,129.955,50.092,117.498,46.636,78.855,27.919,20.505,20.977,34.858,56.017,32.878,-1.132,NDE,NDE
Ref_25_comp11600_c0_seq1,18.752,24.809,14.146,13.499,20.777,19.438,13.322,21.237,17.421,16.484,14.176,25.254,17.723,24.223,22.648,18.058,27.369,0.069,NDE,NDE
Ref_259_comp553_c0_seq1,1.133,22.913,190.906,18.487,48.659,41.429,24.162,41.476,167.649,47.029,31.216,29.605,28.724,20.735,15.061,28.221,24.765,-1.083,NDE,NDE
Ref_080R_comp19721_c0_seq1,11.122,0.535,0.276,7.522,3.112,3.549,2.6,0.513,11.241,0.221,2.579,6.497,0.667,0.747,7.139,1.254,1.487,-0.885,NDE,NDE
Ref_080R_comp20232_c0_seq1,0.111,0.5,1.172,1.04,0,1.165,1.105,0.419,0,0.481,0.362,0.424,0.356,0.543,0.329,0.138,0.167,-1.038,NDE,NDE
Ref_259_comp6011_c0_seq1,19.892,19.509,30.666,17.509,15.853,15.972,16.478,23.875,15.88,28.976,26.398,25.932,28.059,14.836,19.242,24.765,21.548,0.086,NDE,NDE
Ref_220_comp4787_c0_seq1,2.194,14.983,1.269,0.578,6.007,0.686,0.684,0.856,1.547,0.246,0.526,4.316,1.874,12.495,15.741,0.274,9.093,0.843,NDE,NDE
Ref_080R_comp17674_c0_seq1,2.124,0,0.212,0.355,1.669,0.301,3.565,0.128,0.505,1.321,3.447,0,1.75,2.549,2.528,1.368,2.635,0.711,NDE,NDE
Ref_25_comp32258_c0_seq1,0.68,1.428,0.178,0.093,0.203,0.276,0.123,1.072,0.248,0.769,0.135,0.829,1.046,2.341,0.946,0.231,2.86,1.161,NDE,NDE
Ref_259_comp2751_c0_seq1,49.967,55.82,51.224,91.503,71.426,90.414,49.113,77.644,63.056,82.482,97.867,54.644,71.064,107.089,72.606,67.06,106.072,0.153,NDE,NDE
Ref_259_comp19477_c0_seq1,2.376,1.193,2.912,0.692,0.835,1.064,1.256,2.014,0.615,0.929,1.984,2.325,1.513,1.182,1.254,1.899,1.388,0.043,NDE,NDE
Ref_220_comp6264_c0_seq1,19.15,29.878,23.215,13.2,19.678,24.702,12.232,21.59,27.365,24.103,38.274,34.744,24.67,19.821,18.761,20.797,29.986,0.17,NDE,NDE
Ref_080R_comp16964_c0_seq1,2.907,3.243,3.061,4.162,3.485,3.273,3.581,2.975,3.134,2.913,3.257,3.094,3.123,4.36,3.844,2.869,4.305,-0.1,NDE,NDE
Ref_220_comp329_c0_seq1,11.829,108.586,127.445,319.046,238.4,348.511,0.935,14.179,23.502,21.826,51.756,52.789,14.244,82.521,60.982,83.361,32.204,-1.541,NDE,NDE
Ref_25_comp16947_c0_seq1,0.986,5.576,2.877,2.256,2.283,2.697,3.039,2.398,2.728,2.377,1.82,1.388,0.875,2.709,1.59,4.728,2.307,-0.486,NDE,NDE
Ref_259_comp10111_c0_seq1,1.443,1.099,0.852,0.584,0.9,0.722,0.678,1.681,0.634,0.866,0.877,0.917,1.157,1.006,1.035,1.066,1.363,0.036,NDE,NDE
Ref_220_comp4996_c0_seq1,0.101,8.092,4.24,0.355,11.615,7.77,0.081,0.329,0.12,9.94,7.093,9.431,8.695,9.979,8.282,8.869,10.581,1.326,NDE,NDE
Ref_25_comp34416_c0_seq1,2.385,1.331,1.295,0.558,0.828,1.083,1.059,1.781,0.899,1.648,1.964,1.286,1.623,1.487,1.982,1.123,1.653,0.294,NDE,NDE
Ref_259_comp19072_c0_seq1,1.03,0.497,0.37,1.102,1.205,0.417,0.997,0.429,0.724,0.32,0.432,1.037,0.798,0.444,1.548,1.123,0.637,-0.056,NDE,NDE
Ref_25_comp1455_c0_seq1,63.471,25.953,44.872,54.665,60.889,49.886,78.591,80.086,35.203,72.663,63.132,57.079,61.654,7.827,46.019,47.321,35.399,-0.347,NDE,NDE
Ref_259_comp1308_c0_seq1,111.823,128.139,121.483,146.126,136.369,149.364,111.246,172.211,155.958,179.487,123.812,150.374,151.643,144.711,144.256,125.477,166.639,-0.031,NDE,NDE
Ref_25_comp23694_c0_seq1,0.061,0.794,0.022,0,0.25,0.388,0.535,0.461,0.109,0.454,0.265,0.388,0.098,0.597,0.414,0.796,0.245,0.17,NDE,NDE
Ref_259_comp22988_c0_seq1,0.707,2.129,1.346,0.638,1.278,1.624,1.487,0.715,0.63,0.674,0.924,1.113,0.949,1.85,0.981,0.514,2.535,-0.203,NDE,NDE
Ref_259_comp10022_c0_seq1,0.018,0.037,8.898,4.544,2.444,0.035,0.93,3.462,0.066,0.023,0.02,0.024,0.06,0,0,0.012,0.037,-6.704,DE,DE
Ref_25_comp3275_c0_seq1,37.76,72.603,50.707,35.491,43.655,54.985,37.302,46.853,53.215,90.726,52.065,54.222,50.153,69.159,35.236,52.052,59.647,0.121,NDE,NDE
Ref_220_comp18778_c0_seq1,1.249,0.784,0.645,1.438,0.994,1.32,0.499,0.465,2.158,1.407,1.233,1.395,1.195,1.368,1.227,1.654,1.06,0.117,NDE,NDE
Ref_080R_comp21949_c0_seq1,1.958,7.4,3.019,2.834,4.393,3.654,1.847,0.766,3.457,2.097,0.949,2.588,2.52,9.173,3.629,2.602,13.253,0.371,NDE,NDE
Ref_080R_comp17110_c0_seq1,3.128,4.072,4.641,3.487,2.286,4.104,5.138,3.955,2.171,2.306,7.45,4.809,3.361,6.012,1.822,2.563,3.496,0.004,NDE,NDE
Ref_25_comp454_c0_seq1,47.48,31.448,0.019,34.344,45.44,36.655,6.939,0.039,54.376,53.344,41.352,50.023,55.809,22.737,56.204,38.675,30.786,0.275,NDE,NDE
Ref_25_comp9094_c0_seq1,2.765,0.686,3.092,2.805,0.664,3.49,1.862,0.673,1.247,3.826,4.605,4.682,3.605,5.142,4.172,3.292,4.531,0.857,NDE,NDE
Ref_220_comp16797_c0_seq1,5.329,5.719,6.399,5.133,4.287,4.121,4.784,5.034,3.704,5.432,6.774,6.37,5.12,5.61,4.658,4.899,5.729,0.009,NDE,NDE
Ref_25_comp13217_c0_seq1,2.852,3.745,4.473,2.311,4.464,4.166,3.725,3.685,4.306,4.503,6.277,4.903,5.215,2.462,5.035,4.444,4.579,0.129,NDE,NDE
Ref_25_comp307_c0_seq1,76.316,130.574,151.628,111.126,126.466,158.158,123.537,253.58,176.351,165.836,163.804,131.868,189.699,118.786,118.329,137.351,129.082,-0.262,NDE,NDE
Ref_259_comp22058_c0_seq1,0.994,2.469,2.969,0.945,1.118,1.87,1.212,0.283,0.607,0.39,1.425,0.868,0.421,2.494,0.311,0.75,2.473,-0.388,NDE,NDE
Ref_25_comp886_c0_seq1,44.181,0.342,0.061,81.433,36.1,0.746,30.087,0.449,41.761,0.364,0.372,0.124,0.157,0.307,0.455,0.288,0.49,-6.65,DE,DE
Ref_220_comp12000_c0_seq1,15.906,15.393,3.357,15.994,15.089,4.806,6.983,3.31,9.415,5.228,2.702,27.998,13.352,5.471,67.719,9.649,9.519,0.68,NDE,NDE
Ref_25_comp21446_c0_seq1,1.936,3.994,2.02,1.317,1.613,3.741,2.098,1.236,2.673,3.76,2.428,4.505,3.034,2.343,3.043,3.785,3.041,0.356,NDE,NDE
Ref_080R_comp15156_c0_seq1,0.142,0.143,0.128,0.142,0.058,0.106,0.908,0.154,0.021,0.059,0.103,0,0.114,0.066,0.06,0.148,0,-1.542,NDE,NDE
Ref_25_comp8616_c0_seq1,20.583,28.766,27.824,23.557,21.796,15.364,18.642,23.107,26.648,24.841,15.731,17.208,23.331,19.999,20.532,22.693,21.49,-0.276,NDE,NDE
Ref_25_comp9861_c0_seq1,2.881,5.641,3.071,1.337,2.171,1.808,1.765,2.81,2.613,3.106,1.779,4.6,3.328,4.243,4.53,2.813,5.023,0.353,NDE,NDE
Ref_080R_comp22077_c0_seq1,1.919,3.95,3.24,1.011,1.42,1.715,1.533,0,1.327,0.418,2.405,2.389,0.85,2.489,1.916,0.568,1.833,-0.197,NDE,NDE
Ref_25_comp8678_c0_seq1,9.655,7.982,8.328,11.511,8.202,8.971,5.468,13.833,9.374,12.811,10.824,10.859,11.808,11.117,6.796,5.773,14.577,0.031,NDE,NDE
Ref_259_comp11449_c0_seq1,3.006,13.648,9.251,7.965,5.319,9.635,8.042,0.283,6.296,3.251,3.419,7.094,2.106,15.398,3.943,8.146,15.512,0.018,NDE,NDE
Ref_25_comp1887_c0_seq1,32.421,13.184,43.75,20.714,17.177,39.673,34.617,19.786,14.75,24.737,18.203,47.585,22.86,12.333,8.207,11.111,23.353,-0.799,NDE,NDE
Ref_259_comp3384_c0_seq1,14.711,20.787,21.391,10.523,18.38,13.748,17.52,29.08,16.33,22.322,19.816,19.028,20.251,24.246,20.673,23.414,22.951,0.099,NDE,NDE
Ref_259_comp10742_c0_seq1,2.297,7.648,6.245,3.464,3.483,4.195,4.331,2.662,2.431,3.587,2.937,5.182,2.644,6.346,3.203,3.068,5.641,-0.101,NDE,NDE
Ref_259_comp11204_c0_seq1,6.529,10.489,9.154,4.333,6.221,7.48,7.277,5.551,6.303,8.246,10.546,7.697,8.255,7.795,6.232,7.366,8.486,0.036,NDE,NDE
Ref_220_comp2051_c2_seq1,2.083,10.905,3.273,2.612,6.965,6.666,2.331,3.431,5.898,7.635,5.147,9.685,6.267,7.285,8.688,7.687,7.459,0.547,NDE,NDE
Ref_25_comp25685_c0_seq1,0.89,1.468,0.16,0.096,0.801,1.136,0.085,0.138,1.21,1.502,0.508,1.028,1.024,1.278,1.513,1.558,1.3,0.678,NDE,NDE
Ref_220_comp28614_c0_seq1,0,0,0,0,0.03,0,1.611,0,0.45,1.119,1.765,1.149,0.58,0.656,1.04,1.817,1.231,2.31,DE,DE
Ref_25_comp6216_c0_seq1,0.74,0.315,0.314,0.472,1.225,1.001,1.585,0.194,0.22,1.045,2.491,1.517,1.372,0.896,0.81,1.32,0.935,0.639,NDE,NDE
Ref_25_comp5666_c0_seq1,28.833,29.809,28.672,25.576,24.833,30.142,27.225,32.002,27.214,45.314,32.089,34.42,32.084,36.235,28.715,26.013,43.1,0.125,NDE,NDE
Ref_25_comp13510_c0_seq1,2.523,5.72,5.935,4.592,2.944,5.662,2.796,3.792,2.105,5.972,7.229,4.261,2.82,6.334,1.867,3.424,5.811,0.03,NDE,NDE
Ref_259_comp1909_c0_seq1,44.538,90.604,69.115,153.749,100.376,89.14,43.3,67.457,81.159,113.73,89.351,61.482,60.342,160.967,86.147,94.192,129.625,0.075,NDE,NDE
Ref_220_comp17810_c0_seq1,0.889,2.422,3.513,1.306,1.357,3.377,1.826,0.688,1.51,1.211,3.736,1.946,0.75,2.434,0.611,1.451,3.618,-0.066,NDE,NDE
Ref_25_comp10778_c0_seq1,16.919,17.107,7.184,29.198,18.091,11.856,13.236,11.282,22.905,17.806,15.99,8.159,9.915,21.239,12.569,14.158,14.161,-0.374,NDE,NDE
Ref_259_comp2082_c0_seq1,62.429,70.747,60.8,57.12,66.131,78.157,57.894,73.07,62.026,77.39,91.385,72.386,60.571,71.371,66.147,58.945,87.712,0.028,NDE,NDE
Ref_259_comp29107_c0_seq1,0,0.829,0.827,0.098,0,0.333,0,0.518,0,0.973,1.468,1.054,1.26,1.523,1.108,1.164,1.092,2.188,NDE,NDE
Ref_259_comp7572_c0_seq1,14.163,17.95,16.552,10.687,10.172,10.007,19.833,20.527,14.158,22.131,15.455,16.312,19.161,16.909,13.778,17.016,19.839,0.118,NDE,NDE
Ref_259_comp7163_c0_seq1,38.541,18.254,23.604,17.21,27.518,33.647,36.347,29.733,26.904,47.264,42.005,46.222,40.555,18.183,33.278,43.164,35.315,0.179,NDE,NDE
Ref_080R_comp13538_c0_seq1,3.934,3.351,6.467,1.166,1.372,3.728,6.668,4.521,3.084,1.779,2.469,3.045,2.305,3.009,3.951,3.789,3.117,-0.419,NDE,NDE
Ref_220_comp7567_c0_seq1,21.985,19.417,17.991,31.358,28.365,21.132,26.203,26.462,13.165,26.869,34.736,18.292,27.367,11.687,23.406,23.121,33.286,-0.12,NDE,NDE
Ref_259_comp18503_c0_seq1,2.555,5.901,3.772,3.669,1.891,1.944,2.842,2.008,1.254,1.059,2.808,0.816,0.721,2.12,0.742,0.77,0.771,-1.325,NDE,NDE
Ref_259_comp5982_c0_seq1,9.722,16.685,17.911,10.565,10.656,17.289,15.005,10.444,18.087,14.262,14.58,21.011,14.595,13.634,13.417,12.221,12.87,-0.085,NDE,NDE
Ref_220_comp10299_c0_seq1,2.925,0.019,0.014,2.682,2.66,0.012,0.031,3.044,1.279,3.397,3.589,2.771,2.903,2.69,2.733,2.185,2.572,0.939,NDE,NDE
Ref_080R_comp28575_c0_seq1,1.159,1.777,0.866,0.551,1.455,1.48,1,0.893,1.524,1.632,0.466,4.52,1.819,1.198,4.668,1.635,0.859,0.717,NDE,NDE
Ref_259_comp16795_c0_seq1,2.475,7.99,5.859,3.697,3.41,5.113,3.812,1.968,3.923,4.074,5.278,5.98,3.73,7.54,3.858,3.173,6.338,0.047,NDE,NDE
Ref_220_comp13311_c0_seq1,6.968,4.697,4.104,2.649,6.517,6.93,5.253,5.843,3.273,7.778,6.413,7.232,9.88,3.936,5.022,6.644,6.537,0.2,NDE,NDE
Ref_25_comp12488_c0_seq1,4.537,4.791,0,0,3.248,3.495,1.125,1.568,3.838,4.573,2.814,4.246,4.034,4.992,3.291,4.827,5.35,0.638,NDE,NDE
Ref_259_comp28711_c0_seq1,0.393,1.341,1.185,1.64,1.324,1.354,0.424,1.149,0.701,2.027,2.74,2.483,1.835,2.369,1.569,1.432,2.647,0.796,NDE,NDE
Ref_259_comp7140_c0_seq1,2.094,2.195,9.482,6.197,5.107,1.615,5.001,3.416,5.173,0.372,1.931,0.382,0.482,0.387,0.293,0.545,0.486,-2.869,DE,DE
Ref_259_comp15628_c0_seq1,0.612,0.387,1.124,0.188,0.485,0.174,0.091,0.025,0.607,0.592,0.272,0.319,0.768,0.477,0.578,0.339,0.205,0.171,NDE,NDE
Ref_080R_comp6578_c0_seq1,11.601,34.645,9.885,7.273,12.96,6.835,27.096,36.424,7.696,49.021,17.182,14.815,20.852,25.656,43.609,22.247,39.64,0.461,NDE,NDE
Ref_220_comp4156_c0_seq1,29.264,11.441,9.844,39.554,31.424,14.745,23.632,32.217,29.203,20.293,13.266,20.836,55.257,33.27,66.427,24.63,11.356,0.24,NDE,NDE
Ref_220_comp8016_c0_seq1,0.52,0.131,0.093,0,0.107,0,0,0.141,0,0,0,0,0,0.182,0,0,0,-2.254,NDE,NDE
Ref_080R_comp6211_c0_seq1,5.489,6.955,5.776,4.13,5.91,4.505,4.491,6.515,4.781,4.552,6.838,5.508,4.002,3.666,4.554,4.48,5.915,-0.25,NDE,NDE
Ref_25_comp33563_c0_seq1,6.989,4.386,1.135,1.163,4.199,2.402,0.591,0.437,3.237,0.919,0.952,5.321,3.357,11.687,11.937,1.843,7.367,0.93,NDE,NDE
Ref_220_comp17811_c0_seq1,2.666,8.031,1.062,0.338,2.245,1.025,0.359,0.348,1.175,0.839,0.56,3.364,1.553,8.289,5.46,0.721,5.815,0.819,NDE,NDE
Ref_259_comp30706_c0_seq1,0.539,6.637,1.143,2.873,2.174,4.688,1.056,0.902,2.708,1.705,1.067,2.751,2.13,4.189,3.371,3.265,3.102,0.022,NDE,NDE
Ref_080R_comp6015_c0_seq1,11.574,17.761,16.308,12.784,14.677,15.456,20.103,23.616,17.428,17.254,13.732,10.955,19.908,21.182,11.581,12.662,24.313,-0.204,NDE,NDE
Ref_259_comp30254_c0_seq1,0.275,0.551,0.276,0.868,0.316,0.315,0,0.179,0.441,0,0.419,0.14,0,0.385,0.513,0.205,0.055,-0.783,NDE,NDE
Ref_080R_comp10929_c0_seq1,0.372,0.535,0.267,0.34,0.252,0.34,0.426,0.298,0.274,0.342,0.423,0.537,0.521,0.657,0.33,0.312,0.293,0.202,NDE,NDE
Ref_259_comp12420_c0_seq1,0.541,0.646,0.541,0.363,0.421,0.466,0.479,0.396,0.482,0.618,0.398,0.541,0.495,0.43,0.472,0.437,0.544,-0.079,NDE,NDE
