Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_25_comp31936_c0_seq1,0.312,0.678,0.765,0.352,0.085,0.265,0.623,0.845,0.232,0.776,0.51,0.597,0.754,0.875,0.442,0.648,0.888,0.371,NDE,NDE
Ref_25_comp32141_c0_seq1,1.316,0.743,1.448,0.681,0.744,0.472,0.92,2.138,0.88,1.534,0.986,0.735,0.398,1.153,0.559,0.666,2.398,-0.134,NDE,NDE
Ref_25_comp3326_c0_seq1,36.957,29.334,40.401,17.973,25.181,24.97,28.333,25.435,28.143,31.886,29.846,36.355,34.071,20.779,34.664,31.385,27.877,-0.135,NDE,NDE
Ref_25_comp33494_c0_seq1,2.169,0.749,2.143,0.357,0.557,0.908,0.758,1.028,1.088,1.349,1.034,1.125,0.655,0.951,0.749,0.465,0.682,-0.406,NDE,NDE
Ref_25_comp34611_c0_seq1,0.227,1.141,0.463,0.57,1.308,0.774,0.242,0.082,0.338,0.566,0.496,0.678,0.244,1.169,0.258,0.378,1.067,-0.132,NDE,NDE
Ref_25_comp36916_c0_seq1,0.839,0.745,0.464,0.534,0.451,0.453,0.335,0.979,0.518,0.401,0.949,0.535,0.364,0.679,0.795,0.402,0.779,-0.086,NDE,NDE
Ref_25_comp37029_c0_seq1,0.995,0.799,0.75,0.449,0.409,0.444,0.715,0.431,0.532,0.371,0.434,0.381,0.962,0.697,1.099,0.372,1.2,0.007,NDE,NDE
Ref_25_comp37077_c0_seq1,0,0.644,0.046,1.64,0.211,0.164,0.102,0,0,0.159,0.28,0,0,1.798,0.545,0.639,0.387,0.35,NDE,NDE
Ref_25_comp37667_c0_seq1,0.062,0.062,0,0.139,0,0.039,0.049,0,0.055,0,0,0,0,0,0,0.038,0,-3.489,NDE,NDE
Ref_25_comp38566_c0_seq1,0.811,0.733,0.699,0.244,0.867,0.673,0.389,1.758,0.651,1.11,0.53,0.621,0.653,0.455,0.345,0.607,0.163,-0.507,NDE,NDE
Ref_25_comp4073_c0_seq1,7.722,15.063,5.664,12.988,9.147,8.077,7.249,3.404,9.115,9.567,8.48,10.236,8.28,15.07,9.806,6.789,16.004,0.05,NDE,NDE
Ref_25_comp43899_c0_seq1,1.105,2.219,0.106,1.663,0.666,0.47,1.001,0,0.723,0.458,1.124,1.505,0.831,0.827,0.501,0.413,0.741,-0.236,NDE,NDE
Ref_25_comp48646_c0_seq1,0.809,1.828,1.345,0.457,0.998,0.969,0.727,0.329,0.541,1.007,0.662,1.55,0.652,1.986,0.43,0.567,0.61,0.034,NDE,NDE
Ref_25_comp5134_c0_seq1,14.865,26.323,17.832,14.018,14.94,18.098,14.969,13.625,16.939,20.831,26.798,22.689,17.802,28.272,21.373,16.434,23.142,0.204,NDE,NDE
Ref_25_comp5545_c0_seq1,3.981,12.206,0.863,2.105,2.064,0,0.659,0.777,7.166,6.111,6.097,8.106,6.126,12.272,6.919,5.386,10.82,1.072,NDE,DE
Ref_25_comp5672_c0_seq1,1.293,1.063,1.077,0.619,0.532,0.3,0.517,0.637,0.472,0.658,0.449,0.526,0.758,2.061,0.55,0.733,1.123,0.114,NDE,NDE
Ref_25_comp6094_c0_seq1,9.235,7.652,15.923,6.819,8.184,8.59,13.332,7.18,8.575,7.045,8.568,8.9,5.477,6.789,7.323,4.236,7.182,-0.68,NDE,NDE
Ref_25_comp6568_c0_seq1,16.136,14.357,19.465,11.219,10.64,14.234,15.548,12.273,15.721,15.446,18.205,16.027,16.63,11.713,12.97,21.23,11.039,-0.099,NDE,NDE
Ref_25_comp6657_c0_seq1,13.591,17.197,19.118,11.867,12.719,13.093,15.629,21.413,18.434,23.735,15.797,22.289,24.974,17.022,16.155,24.709,23.682,0.228,NDE,NDE
Ref_25_comp6783_c0_seq1,0.718,0.509,0.394,0.222,0.347,0.431,0.517,0.396,0.339,0.543,0.843,0.827,0.522,0.414,0.263,0.368,0.509,0.166,NDE,NDE
Ref_25_comp692_c0_seq1,14.574,12.538,7.198,6.438,6.148,9.191,5.92,4.749,9.433,13.065,14.633,15.325,15.303,10.635,9.519,10.969,12.979,0.369,NDE,NDE
Ref_25_comp7088_c0_seq1,31.064,48.83,35.189,32.12,29.444,52.927,24.211,25.108,37.404,43.703,45.697,49.102,46.504,34.996,32.677,32.479,48.486,0.108,NDE,NDE
Ref_25_comp7221_c0_seq1,21.046,24.389,26.661,36.184,24.435,41.334,16.395,30.364,27.675,33.288,43.489,31.59,28.361,35.431,28.812,28.938,39.234,0.12,NDE,NDE
Ref_25_comp7372_c0_seq1,9.058,2.598,14.644,11.682,0,14.315,0.517,20.565,0.77,5.901,7.756,6.61,5.908,6.049,1.1,4.167,5.856,-0.787,NDE,NDE
Ref_25_comp758_c0_seq1,31.792,27.466,25.262,37.604,33.471,35.573,25.754,42.112,41.412,45.91,32.152,34.437,38.74,38.843,35.93,28.627,49.974,0.033,NDE,NDE
Ref_25_comp8300_c0_seq1,6.48,14.289,11.248,6.826,5.39,8.515,5.665,6.939,10.837,11.031,7.977,10.71,9.583,13.472,8.207,7.349,14.389,0.096,NDE,NDE
Ref_25_comp8376_c0_seq1,1.519,1.71,1.67,0.208,1.248,1.263,0.331,1.695,1.314,1.946,1.806,1.234,2.892,0.516,1.33,1.434,1.666,0.174,NDE,NDE
Ref_25_comp8891_c0_seq1,7.678,5.425,7.835,5.135,4.298,5.654,6.624,7.443,4.059,9.223,11.253,10.001,8.742,7.485,7.585,8.357,9.108,0.332,NDE,NDE
Ref_25_comp8908_c0_seq1,1.322,1.299,2.394,1.181,0.521,0.844,1.914,1.671,0.811,0.89,1.14,1.336,0.932,0.888,0.772,0.875,0.859,-0.65,NDE,NDE
Ref_25_comp891_c0_seq1,2.239,2.141,1.762,1.578,1.169,1.724,1.761,1.81,1.49,1.238,2.13,1.271,1.546,1.744,1.722,0.908,1.966,-0.275,NDE,NDE
Ref_25_comp8973_c0_seq1,0.113,2.536,0.298,1.688,1.658,1.227,0.271,1.614,2.64,2.133,1.89,1.517,1.397,2.749,2.884,2.69,1.403,0.374,NDE,NDE
Ref_25_comp9024_c0_seq1,17.85,18.503,17.409,16.433,16.719,13.129,16.99,10.032,13.627,15.652,15.923,10.456,14.779,19.556,11.753,12.333,17.516,-0.256,NDE,NDE
Ref_25_comp9421_c0_seq1,10.036,13.182,5.867,3.572,9.285,8.265,3.593,5.613,8.792,10.961,7.684,14.241,14.897,11.199,15.805,5.111,16.533,0.594,NDE,NDE
Ref_25_comp9522_c0_seq1,6.862,19.309,9.682,6.012,13.694,11.324,4.653,6.702,13.209,15.216,8.512,15.796,11.712,19.183,16.152,10.522,21.248,0.312,NDE,NDE
Ref_25_comp9636_c0_seq1,12.734,24.781,39.416,12.053,25.439,18.55,29.158,17.508,9.039,21.416,20.296,22.208,23.61,22.948,16.583,15.745,21.38,-0.117,NDE,NDE
Ref_25_comp9837_c1_seq1,8.668,12.463,11.186,8.374,10.331,9.036,8.853,9.06,12.858,9.761,11.292,12.38,11.159,11.15,11.29,10.389,12.071,-0.018,NDE,NDE
Ref_259_comp10001_c0_seq1,19.156,32.686,16.835,18.129,22.175,23.523,18.146,20.353,22.621,20.864,27.268,29.252,17.582,34.366,34.025,25.97,21.571,0.202,NDE,NDE
Ref_259_comp10359_c0_seq1,0.991,3.352,3.784,0.535,0.567,0.577,1.463,3.757,0.365,0.563,0.915,0.495,0.486,0.785,0.769,2.564,0.78,-0.832,NDE,NDE
Ref_259_comp10644_c0_seq1,12.744,7.539,11.339,8.283,7.083,5.862,11.45,8.85,8.78,9.153,14.932,10.2,12.004,8.768,13.551,10.142,8.665,0.082,NDE,NDE
Ref_259_comp1084_c0_seq1,1.599,50.663,62.6,122.924,1.958,1.148,31.709,33.276,1.5,19.698,1.543,1.85,1.261,0.747,0.637,1.463,0.636,-3.509,NDE,NDE
Ref_259_comp1086_c1_seq1,47.75,94.232,88.08,141.635,153.854,118.168,127.685,84.76,126.542,104.578,96.298,72.756,76.556,144.383,145.619,149.94,85.978,-0.155,NDE,NDE
