,MW_6_41,MD_15_10,MD_17_16,MD_17_17,MW_6_42,QC_62,AD_21_58,MD_11_1,AD_21_59,MD_16_13,QC_63,AD_20_54,MW_6_43,MW_2_31,MW_1_24,MD_17_18,AD_20_55,MD_17_19,MW_5_38,QC_64,MW_10_28,MW_1_25,MW_2_32,MW_6_44,MW_5_39,MW_3_34,MW_3_35,MW_1_26,MW_5_40,MD_15_11,MW_9_51,AD_21_60,MW_8_48,MW_1_27,QC_65,AD_20_56,AD_21_61,MD_17_20,MW_9_52,MW_9_53,MD_18_21,MW_3_36,MW_10_29,MW_7_45,MD_14_7,MW_2_33,MW_3_37,MW_7_46,QC_66,MW_7_47,MW_8_49,MW_8_50,MW_10_30,MD_11_2,MD_12_4,MD_11_3,MD_12_5,MD_12_6,MD_14_8,MD_14_9,MD_15_12,MD_16_14,MD_18_22,AD_20_57,MD_18_23,MD_16_15,QC_GC_67
X2_461.0733_7.67_neg,516588.4386,434331.1084,1.08E+08,3.28E+08,513689.3313,3.08E+09,2.47E+09,423860.5878,5.56E+09,1.06E+09,3.29E+09,4.74E+09,2111326.935,1224905.952,1110687.885,7.82E+08,4.96E+09,1.78E+09,4.70E+09,2.99E+09,1.67E+08,227175.855,699009.5278,825137.0366,4.88E+09,2.78E+09,2.13E+09,9724768.23,1.18E+09,1674542.678,13200000,4.97E+09,9598119.344,4263509.862,2.89E+09,5.31E+09,5.38E+09,1.17E+09,1.40E+07,11700000,3.41E+08,2.21E+09,3.35E+08,194082.2514,5.99E+08,1191644.169,2.04E+09,249962.4078,3.07E+09,136816.6929,7697985.332,20135.08721,2.40E+08,295925.2916,1.74E+08,76624.05242,1.18E+08,10808.70184,4.78E+08,6364.266152,966566.2406,6.64E+08,2.44E+08,2.34E+09,76100000,1.10E+08,
X3_591.0998_5.96_neg,8526.202438,NA,21903.0511,51879.70679,46095.25189,2.29E+09,1.92E+09,NA,5.46E+09,6860.800723,2.31E+09,3.57E+09,180533.0008,65617.03793,43517.23771,NA,4.44E+09,NA,1.33E+09,2.24E+09,4.82E+09,21204.71361,194096.7686,93280.53976,8.72E+08,3.59E+09,7.15E+09,37065.06995,7.94E+08,6457.929769,115986.2254,5.16E+09,6.87E+09,4.32E+09,2.01E+09,6.49E+09,6.12E+09,NA,8026.152773,8313.510074,NA,6.88E+09,4.87E+09,1.16E+08,7.50E+09,42805.39321,7.01E+09,80900000,2.27E+09,NA,6.31E+09,NA,4.89E+09,NA,5.46E+08,NA,3.31E+08,NA,6.06E+09,NA,4773.063882,NA,4309.109297,1.72E+09,7672.022402,NA,
X4_467.2136_8.68_neg,2.27E+09,8.59E+08,6.89E+08,1.93E+08,7.36E+08,9.59E+08,1.04E+09,1.79E+09,1.34E+09,6.48E+08,9.15E+08,6.83E+08,7.31E+08,4.56E+08,5.22E+08,6.03E+08,9.30E+08,9.70E+08,1.39E+09,9.14E+08,4.88E+08,9.11E+08,5.73E+08,8.14E+08,1.06E+09,3.34E+08,4.49E+08,5.96E+08,6.30E+08,5.03E+08,9.10E+08,8.40E+08,1.14E+09,4.96E+08,8.67E+08,9.31E+08,1.17E+09,4.72E+08,1.10E+09,9.61E+08,3.22E+08,6.44E+08,1.19E+09,3.70E+07,3.43E+08,3.82E+08,5.15E+08,29900000,9.35E+08,NA,1.01E+09,NA,8.22E+08,1.18E+09,7.43E+08,69144.35832,5.08E+08,3531.679102,2.80E+08,NA,6.58E+08,8.50E+08,8.14E+08,1.05E+09,1.05E+09,9.74E+08,
X5_431.0983_6.96_neg,1.06E+09,1.80E+09,1.79E+09,1.79E+09,1.01E+09,1.14E+09,1.72E+09,1.75E+09,1.31E+09,1.76E+09,1.24E+09,1.49E+09,1.02E+09,1.28E+09,1.06E+09,1.70E+09,1.44E+09,1.70E+09,6.77E+08,1.12E+09,1.55E+09,1.30E+09,1.07E+09,1.05E+09,9.09E+08,1.61E+09,1.49E+09,1.15E+09,9.93E+08,1.48E+09,1.33E+09,1.30E+09,1.67E+09,1.63E+09,1.15E+09,1.39E+09,1.18E+09,1.70E+09,1.34E+09,1.36E+09,1.68E+09,1.38E+09,1.39E+09,1.80E+09,1.41E+09,1.28E+09,1.47E+09,1.76E+09,1.15E+09,1.70E+09,1.55E+09,1.70E+09,1.39E+09,1.72E+09,1.14E+09,1.69E+09,1.21E+09,1.78E+09,1.51E+09,1.71E+09,1.58E+09,1.65E+09,1.68E+09,1.79E+09,1.78E+09,1.79E+09,
X7_279.0510_6.81_neg,692370.4757,364848.4833,915181.1867,572861.9226,734126.6535,1.02E+09,3.00E+08,574529.0974,2.27E+09,789411.9832,1.01E+09,8.52E+08,3001290.357,3153349.77,4136843.067,269062.4703,1.01E+09,532445.8334,4.53E+09,9.63E+08,5.55E+08,56390.94918,7260470.798,3809124.874,3.96E+09,5.82E+08,6.20E+08,3013578.126,2.57E+09,508088.7155,2820728.378,2.02E+09,4.99E+08,1.46E+08,9.06E+08,1.38E+09,2.39E+09,998420.022,364230.4004,1164979.507,467051.0932,8.72E+08,8.10E+08,16100000,1.75E+09,4878334.397,7.41E+08,13400000,9.83E+08,NA,4.16E+08,NA,6.80E+08,240947.8543,2.86E+09,21985.15642,2.13E+09,3338.990186,1.48E+09,2006.56784,580883.6894,2281979.363,986546.2165,3.16E+08,1153763.762,3927264.403,
X9_163.0386_6.82_neg,548215.3284,2281642.74,1135500.069,921468.5886,460229.5634,9.43E+08,2.87E+08,2023762.324,2.10E+09,607173.3045,9.23E+08,7.95E+08,7887447.9,4678393.627,4826259.554,1164281.6,9.62E+08,1319575.515,4.31E+09,9.09E+08,5.11E+08,228864.5785,8579409.598,5529246.405,3.55E+09,5.38E+08,5.73E+08,5651784.164,2.34E+09,3238938.76,3766581.013,1.81E+09,4.82E+08,1.36E+08,8.39E+08,1.27E+09,2.17E+09,1729396.739,1327228.257,2260462.812,2042516.631,7.97E+08,7.34E+08,16300000,1.57E+09,5932622.13,6.69E+08,1.30E+07,8.89E+08,81127.97098,3.82E+08,73509.54065,6.18E+08,2085740.568,2.61E+09,51939.12671,1.93E+09,48768.2571,1.31E+09,93296.44954,2619375.904,3540856.272,2785818.695,3.07E+08,3913341.073,5232972.797,
X10_295.0460_5.96_neg,5386798.7,47400000,7752617.038,8133437.445,5497590.284,1.28E+09,1.12E+09,24700000,1.96E+09,10600000,1.34E+09,1.68E+09,10100000,5931788.256,5606823.853,2378534.005,1.92E+09,3853224.803,9.48E+08,1.28E+09,1.91E+09,2736724.845,15600000,7208805.422,6.45E+08,1.74E+09,2.20E+09,6496194.079,6.20E+08,7777812.683,9388164.638,2.09E+09,2.01E+09,1.85E+09,1.16E+09,2.15E+09,2.33E+09,6146046.347,2782475.989,4203786.82,10200000,2.09E+09,2.14E+09,1.99E+08,2.15E+09,8869325.848,2.61E+09,1.66E+08,1.30E+09,82630.72335,1.89E+09,364894.2109,2.00E+09,15900000,5.44E+08,223702.7848,3.52E+08,37319.97501,2.18E+09,157016.9672,17300000,10100000,21600000,1.08E+09,5.90E+07,25800000,
X11_923.1531_7.67_neg,NA,NA,419258.8447,4099978.252,NA,5.98E+08,3.35E+08,NA,2.46E+09,51800000,6.05E+08,1.71E+09,NA,NA,NA,26900000,1.96E+09,1.72E+08,1.70E+09,5.64E+08,1214059.642,NA,NA,NA,1.92E+09,5.24E+08,2.66E+08,NA,73600000,NA,NA,2.12E+09,NA,NA,5.40E+08,2.38E+09,2.52E+09,67300000,NA,NA,5118366.557,2.83E+08,5146569.487,NA,16100000,12572.72719,2.43E+08,NA,6.02E+08,NA,NA,NA,2601038.051,NA,1177908.493,NA,567458.9291,NA,9692926.98,3172.685361,5282.545327,1.90E+07,2565597.771,2.93E+08,234755.7597,477471.205,
X12_595.1310_6.47_neg,1.52E+08,3.30E+09,2.83E+08,2.80E+08,88400000,1.01E+09,488105.8516,3.55E+09,158002.4263,8.65E+08,1.02E+09,888944.1558,99300000,52706.88917,153482.2246,4.65E+08,420061.4341,9.71E+08,73300000,9.97E+08,62700000,81192.084,201839.0463,6.50E+07,61300000,190655.2767,412909.3075,30429.98008,14100000,9.16E+09,74200000,325159.5493,98055.07304,320565.4346,9.19E+08,142507.4193,125903.1154,5.59E+08,96500000,71600000,5.79E+08,252937.1214,1.94E+08,73913.04079,9.09E+08,96791.14194,332460.1087,29325.79074,9.89E+08,18513.32759,115708.9158,NA,1.20E+08,2.58E+09,5.96E+08,138922.9704,4.06E+08,23267.60976,7.45E+08,24736.97475,7.39E+09,6.45E+08,4.24E+08,311877.5387,1.21E+08,3.51E+08,
X13_593.1509_7.42_neg,10900000,77073.74753,2546213.56,3447274.341,10300000,5.09E+08,1.21E+09,97257.44871,1.95E+09,1.45E+08,5.36E+08,1.85E+09,11400000,48100000,1.09E+08,42400000,2.14E+09,83200000,2.04E+08,5.03E+08,11100000,1.66E+08,71600000,5245781.391,1.64E+08,4.72E+08,3.86E+08,1.20E+08,77300000,387681.2465,1.56E+08,1.72E+09,4.60E+08,74100000,4.66E+08,1.96E+09,1.97E+09,25900000,1.95E+08,1.86E+08,73600000,4.20E+08,2.90E+07,10100000,19500000,30800000,3.88E+08,8513601.6,5.15E+08,13010.89419,3.98E+08,NA,19700000,77862.83253,13500000,NA,8904757.224,NA,15200000,NA,110345.0844,80300000,53400000,1.37E+09,17300000,12700000,
X15_119.0489_6.81_neg,481511.2226,1312635.009,669376.5577,562494.4606,699549.9154,6.30E+08,2.00E+08,2954040.143,1.51E+09,1767615.074,6.03E+08,5.60E+08,2169726.537,2943597.595,2797287.035,253621.0242,6.84E+08,685419.3663,2.77E+09,6.56E+08,3.59E+08,153014.1711,4911504.001,2692626.184,2.40E+09,3.91E+08,4.00E+08,2188471.765,1.64E+09,2493642.086,2590424.232,1.26E+09,3.22E+08,93400000,6.00E+08,9.01E+08,1.53E+09,922786.7278,734324.2839,1247036.748,1302059.46,5.77E+08,5.21E+08,10900000,1.13E+09,3633730.819,4.72E+08,9462638.009,6.49E+08,24202.91705,2.82E+08,32142.30519,4.47E+08,1345802.52,1.76E+09,85412.49544,1.40E+09,19686.76776,9.51E+08,21280.5469,2332551.305,2235835.457,2018774.619,2.15E+08,2975493.83,3259782.064,
X16_279.0510_7.00_neg,671246.219,274881.6759,135849.049,165522.8197,305456.3214,7.04E+08,2.35E+08,377400.2343,1.07E+09,575098.8084,7.19E+08,6.55E+08,3812301.766,5221863.51,3200081.847,143796.5459,8.21E+08,98726.3753,3.59E+09,6.95E+08,4.44E+08,226083.9805,9713427.503,4726838.163,2.87E+09,5.02E+08,5.31E+08,2915007.768,2.52E+09,146649.1823,1662886.825,1.02E+09,3.67E+08,92100000,6.42E+08,6.65E+08,1.27E+09,606118.4736,NA,820727.4377,445632.7053,8.54E+08,6.25E+08,9306162.318,5.37E+08,7221455.834,6.81E+08,8292444.819,7.08E+08,NA,3.05E+08,2814.850459,5.38E+08,191350.7249,2.17E+09,9355.005176,1.58E+09,NA,4.42E+08,NA,195103.7302,2169826.565,391722.0831,2.46E+08,414027.473,3499914.878,
X17_609.1464_6.85_neg,1.62E+08,542924.9248,1.14E+08,78900000,1.46E+08,3.76E+08,1.18E+09,502991.6827,1.01E+09,6.03E+08,3.81E+08,4.62E+08,98900000,5.09E+08,3.68E+08,2.15E+08,5.82E+08,2.96E+08,1.53E+08,3.69E+08,30700000,6.96E+08,4.20E+08,54400000,1.47E+08,1.83E+08,1.93E+08,5.23E+08,49600000,6405884.198,28300000,8.22E+08,3.02E+08,2.96E+08,3.35E+08,7.85E+08,1.09E+09,1.49E+08,28400000,22400000,4.94E+08,2.47E+08,1.13E+08,1.35E+08,2.44E+08,1.78E+08,2.10E+08,1.12E+08,3.57E+08,58826.70428,2.53E+08,14985.40752,68800000,286594.6024,89500000,11523.8147,66300000,3494.482485,2.03E+08,3419.286305,2187778.203,4.58E+08,3.96E+08,7.04E+08,1.50E+08,2.55E+08,
X18_1067.5438_12.94_neg,19800000,1.13E+08,41500000,20600000,973062.5653,4.17E+08,1.13E+08,1.13E+08,7.73E+08,1.51E+08,4.42E+08,5.74E+08,8459713.757,1.39E+08,14500000,4.05E+08,6.19E+08,79300000,4.13E+08,4.15E+08,16500000,2383562.387,1.90E+08,2925678.258,3.49E+08,1.97E+08,36600000,7680862.659,4.44E+08,4.39E+08,7.71E+08,5.72E+08,10600000,3.89E+08,4.01E+08,4.73E+08,5.45E+08,1.33E+08,8.32E+08,7.89E+08,3.44E+08,69400000,64300000,505859.5356,1.90E+07,1.43E+08,47800000,417697.1851,4.03E+08,49909.79999,8187609.468,6735.870293,38300000,80500000,15700000,6162.350918,1.00E+07,7255.870195,14500000,6043.00248,3.07E+08,86400000,2.46E+08,1.23E+08,73200000,22200000,
X19_311.0432_4.22_neg,8.13E+08,6.08E+08,1.17E+09,1.53E+09,4.93E+08,6.27E+08,144635.7435,7.11E+08,322077.5329,9.00E+08,6.11E+08,227720.4268,3.40E+08,1.61E+08,3.66E+08,6.21E+08,67345.43121,9.39E+08,810204.2674,6.13E+08,1.09E+08,3.31E+08,4.53E+08,2.30E+08,655090.8558,48700000,55900000,2.58E+08,721274.6361,1.68E+09,1.55E+09,280273.8186,1.84E+08,252180.4341,5.57E+08,159721.2349,136093.1592,1.05E+09,1.64E+09,1.31E+09,8.97E+08,4.60E+07,2.11E+08,1.73E+08,2.25E+09,1.92E+08,47900000,1.37E+08,6.24E+08,13196.89014,1.46E+08,3294.000029,1.52E+08,4.15E+08,26800000,8092.676576,17100000,2271.50139,1.90E+09,9039.938643,1.27E+09,5.73E+08,1.01E+09,32733.17143,5.23E+08,2.35E+08,
X21_692.1119_7.67_neg,NA,NA,66070.79668,1428504.285,NA,2.39E+08,1.48E+08,NA,6.25E+08,24700000,2.42E+08,5.02E+08,NA,9094.761827,NA,12500000,5.55E+08,80100000,5.41E+08,2.42E+08,218863.7765,NA,NA,NA,5.48E+08,2.18E+08,1.22E+08,NA,33700000,NA,NA,5.82E+08,NA,NA,2.27E+08,6.12E+08,6.29E+08,32300000,11830.19016,NA,1584837.566,1.35E+08,1567860.342,NA,7292607.247,NA,1.15E+08,NA,2.56E+08,NA,NA,NA,704818.7229,NA,272899.1875,NA,116742.9121,NA,4477601.911,NA,NA,9012111.396,758870.1915,1.32E+08,NA,43908.5526,
X22_133.0150_6.99_neg,1668843.444,221374.8212,94185.07547,620072.7051,1421829.101,3.94E+08,1.40E+08,99840.53648,5.95E+08,311410.6834,4.16E+08,3.69E+08,1235977.788,8073502.174,892947.4359,80240.46589,4.53E+08,229998.8212,1.85E+09,3.77E+08,2.49E+08,944889.7195,6249267.546,2472232.342,1.48E+09,2.81E+08,3.01E+08,1332314.823,1.34E+09,203498.0991,3207172.341,5.40E+08,2.25E+08,53500000,3.50E+08,3.65E+08,6.76E+08,206221.0494,165265.2799,164162.4874,248872.2107,4.71E+08,3.49E+08,6177600.535,2.92E+08,4619100.319,3.77E+08,5157876.041,3.79E+08,7486.766162,1.75E+08,18572.04234,2.95E+08,149903.9231,1.21E+09,14115.72722,8.40E+08,36221.42103,2.42E+08,9852.418026,262023.0689,2061981.851,930355.8016,1.49E+08,2131738.213,2333642.865,
X23_1113.5495_12.94_neg,10900000,67400000,25800000,12800000,760817.8245,2.46E+08,71200000,70600000,4.87E+08,95800000,2.51E+08,3.61E+08,4890511.242,79800000,9598889.268,2.61E+08,3.90E+08,51300000,2.63E+08,2.54E+08,10500000,1384871.957,1.09E+08,1730472.534,2.23E+08,1.27E+08,24100000,4719157.055,2.86E+08,2.69E+08,4.31E+08,3.67E+08,6002251.003,2.26E+08,2.43E+08,3.08E+08,3.61E+08,87300000,4.70E+08,4.38E+08,2.26E+08,45400000,41400000,249330.999,12300000,83700000,30900000,231040.3394,2.51E+08,24636.70252,5124420.384,NA,25200000,51800000,9611734.739,NA,6588723.759,7242.347812,9366620.772,5279.473682,1.90E+08,5.60E+07,1.59E+08,73800000,45700000,1.40E+07,
X24_315.0725_3.60_neg,23100000,25800000,10600000,12500000,8.90E+07,3.20E+08,13700000,36900000,91800000,3.58E+08,3.09E+08,1.16E+08,4.21E+08,2.00E+08,4.54E+08,6.19E+08,1.75E+08,8.43E+08,4.73E+08,3.11E+08,4.26E+08,49300000,1.70E+08,2.75E+08,1.99E+08,2.71E+08,2.96E+08,4.58E+08,1.22E+09,1.54E+08,8.06E+08,1.46E+08,43500000,3.43E+08,2.82E+08,31900000,89600000,3.96E+08,7.38E+08,8.25E+08,2.83E+08,2.72E+08,6.70E+08,6895223.801,41400000,1.59E+08,2.67E+08,5560493.913,3.12E+08,2654.065107,35100000,NA,5.49E+08,25100000,10600000,36640.1701,7841353.324,NA,3.60E+07,NA,92800000,1.96E+08,1.60E+08,1.40E+07,26900000,14600000,
X25_741.1929_6.19_neg,1.47E+09,101024.3743,7.61E+08,5.83E+08,1.10E+09,2.80E+08,776392.5519,88248.23865,362092.6386,6.84E+08,2.83E+08,741420.5059,5.91E+08,298752.1113,448030.4918,3.74E+08,1032247.021,6.95E+08,2.19E+08,2.78E+08,1.11E+08,413868.3139,68621.71896,3.95E+08,1.33E+08,40138.68606,68745.83878,375630.8558,77800000,244633.7509,56100000,466844.1045,246721.9828,96775.53598,2.56E+08,395897.3938,601347.9316,5.04E+08,68200000,55100000,5.15E+08,115281.224,2.54E+08,16677.31011,1.08E+09,52217.43962,115199.0208,34007.21268,2.71E+08,2098.822998,179846.6975,2142.034585,1.76E+08,63893.12402,8.98E+08,4031.21209,5.99E+08,3164.74834,9.02E+08,9523.170644,83092.64086,8.02E+08,5.53E+08,1204979.973,3.11E+08,8.72E+08,
X26_559.1092_7.00_neg,NA,NA,NA,NA,NA,2.37E+08,28500000,NA,4.25E+08,NA,2.32E+08,2.08E+08,NA,237157.2586,96469.19255,NA,2.92E+08,NA,2.31E+09,2.41E+08,1.06E+08,NA,NA,112411.253,1.67E+09,1.70E+08,1.45E+08,30842.47846,1.45E+09,NA,NA,4.12E+08,6.50E+07,3426348.231,2.14E+08,2.23E+08,5.70E+08,NA,NA,NA,NA,3.12E+08,1.94E+08,16258.88525,1.51E+08,128890.4746,2.18E+08,29909.53955,2.42E+08,NA,51200000,NA,1.51E+08,NA,1.06E+09,NA,8.32E+08,NA,1.22E+08,NA,NA,NA,NA,25300000,NA,NA,
X27_179.0342_5.96_neg,3671809.656,207441.7455,3029605.16,2912196.498,2876690.262,4.36E+08,3.88E+08,426534.0634,7.50E+08,1107772.947,4.51E+08,5.74E+08,4400164.326,1892143.073,2256461.126,1130183.696,6.65E+08,1368437.979,3.20E+08,4.32E+08,6.42E+08,1098713.763,5515516.785,3401621.029,2.04E+08,4.04E+08,8.63E+08,2151764.492,1.94E+08,1249023.24,3619221.223,7.03E+08,8.59E+08,6.26E+08,3.87E+08,8.11E+08,8.02E+08,1527381.852,1716629.382,1025527.191,1491120.038,8.73E+08,7.30E+08,68500000,8.74E+08,2726724.329,8.15E+08,59100000,4.36E+08,84000.49228,7.32E+08,51133.22146,6.92E+08,198214.1698,1.62E+08,135562.7943,1.20E+08,34958.8874,7.76E+08,169113.8117,468731.9023,990026.9196,1161446.531,3.69E+08,327217.4709,749957.0813,
X28_725.1942_6.68_neg,2.66E+08,18332.02171,47700000,53100000,2.61E+08,2.75E+08,14400000,3809.337041,13800000,1.62E+08,2.75E+08,34200000,1.06E+08,2656290.852,6983103.097,76600000,44700000,1.36E+08,1.02E+09,2.68E+08,24300000,16100000,1798463.554,85500000,7.25E+08,1388293.479,1955306.931,10900000,3.63E+08,12147.36321,1.82E+09,17900000,590190.7645,60456.77804,2.43E+08,15900000,24200000,96300000,2.09E+09,1.87E+09,1.05E+08,2141034.254,56800000,1089250.496,1.21E+08,1379849.985,1868916.888,922999.7309,2.66E+08,2413.468726,771454.3932,2234.491553,4.00E+07,NA,84500000,NA,55200000,2313.616831,94600000,2968.340244,7930.843856,1.12E+08,82400000,12200000,3.60E+07,5.30E+07,
X29_579.1360_7.01_neg,28700000,1.91E+08,36600000,7.10E+07,12200000,3.18E+08,453957.2833,2.56E+08,NA,87600000,3.40E+08,3550300.256,4782699.532,90881.85059,444529.4893,56700000,3621384.687,1.04E+08,99300000,3.10E+08,13600000,2435671.938,37935.00713,7225346.132,1.20E+08,6265703.683,5656936.914,697439.1795,25700000,3.61E+08,4.61E+09,122980.3064,277009.5782,118585.5894,3.01E+08,1037349.31,309700.6566,57300000,4.45E+09,4.27E+09,49500000,4528500.432,2.70E+07,207283.9207,39600000,45032.88773,4683152.95,198561.9372,3.11E+08,NA,280949.9319,NA,20600000,1.76E+08,1.90E+07,NA,1.60E+07,NA,37100000,NA,2.70E+08,7.00E+07,52900000,279356.4374,42400000,43900000,
X30_1051.5495_13.09_neg,30500000,19300000,6557715.612,3996814.208,6761409.875,1.97E+08,27700000,19500000,5.11E+08,46700000,1.97E+08,3.54E+08,66600000,43200000,26700000,2.03E+08,4.03E+08,2.30E+08,2.12E+08,1.92E+08,2.26E+08,1990175.935,45100000,31100000,2.03E+08,13900000,2082163.533,17100000,3.18E+08,1.69E+08,4.23E+08,3.72E+08,3.20E+07,1.90E+07,1.84E+08,2.69E+08,3.42E+08,41400000,4.38E+08,4.39E+08,1.57E+08,4503272.1,4.17E+08,328544.4282,9.10E+07,39400000,2936270.37,212869.8606,1.89E+08,96283.65517,26100000,7758.935449,3.16E+08,14600000,15600000,21493.04678,9589375.406,8188.632068,66600000,9613.729734,97700000,21700000,89600000,2.50E+07,10500000,3450247.656,
X31_387.1664_5.70_neg,5.63E+08,3.90E+07,72400000,76800000,1.76E+08,2.50E+08,5.86E+08,45400000,8.87E+08,57400000,2.54E+08,1.20E+08,2.16E+08,1.70E+08,1.71E+08,1.46E+08,1.31E+08,1.22E+08,4.15E+08,2.50E+08,1.55E+08,1.36E+08,2.30E+08,1.74E+08,1.83E+08,1.48E+08,5.03E+08,1.33E+08,2.47E+08,1.70E+07,1.64E+08,4.75E+08,2.21E+08,1.86E+08,2.24E+08,1.33E+08,6.07E+08,83700000,1.51E+08,1.52E+08,1.62E+08,3.56E+08,2.73E+08,26600000,1.71E+08,1.33E+08,4.11E+08,21600000,2.44E+08,NA,1.78E+08,NA,2.10E+08,28900000,1.10E+08,7235.029243,73700000,NA,1.36E+08,NA,26400000,1.18E+08,3.42E+08,95600000,4.24E+08,1.70E+08,
X32_692.6142_7.67_neg,NA,NA,11101.09041,1040680.952,NA,1.72E+08,1.05E+08,NA,4.41E+08,16700000,1.65E+08,3.52E+08,NA,NA,NA,8597743.935,3.82E+08,5.50E+07,3.79E+08,1.67E+08,109698.1733,NA,NA,NA,2.87E+08,1.52E+08,83800000,NA,23500000,NA,NA,2.06E+08,NA,NA,1.62E+08,2.33E+08,2.65E+08,23400000,NA,7100.251611,1180669.065,95600000,1187774.122,NA,4673594.096,NA,78700000,NA,1.82E+08,NA,NA,NA,437593.2983,NA,108792.896,NA,22290.65215,NA,3119064.297,NA,NA,6474867.616,563597.6501,90400000,NA,57989.2789,
X33_923.6532_7.67_neg,NA,3143.719512,NA,123311.3931,NA,1.19E+08,57300000,3603.835259,3.13E+08,2749180.22,1.16E+08,3.32E+08,NA,NA,NA,2181757.047,3.86E+08,26400000,3.59E+08,1.20E+08,NA,NA,NA,NA,3.99E+08,1.07E+08,47200000,NA,8772623.861,NA,NA,4.18E+08,NA,NA,1.13E+08,4.48E+08,4.68E+08,8659204.907,NA,NA,68638.25941,52800000,90426.52745,2778.835181,1226359.746,NA,43700000,NA,1.27E+08,2243.297476,NA,NA,NA,NA,NA,5440.807559,NA,2627.546279,467537.7242,3554.750288,NA,1264919.189,24516.40078,52800000,NA,NA,
X34_421.2081_8.68_neg,3.02E+08,1.08E+08,8.80E+07,24200000,93700000,1.26E+08,1.38E+08,2.29E+08,1.73E+08,83100000,1.22E+08,87900000,91900000,57900000,67400000,75900000,1.17E+08,1.21E+08,1.75E+08,1.11E+08,60700000,1.20E+08,71400000,1.02E+08,1.33E+08,41600000,55900000,75600000,77800000,62800000,1.13E+08,1.04E+08,1.53E+08,61100000,1.09E+08,1.17E+08,1.45E+08,57200000,1.38E+08,1.17E+08,39400000,77900000,1.47E+08,4785577.459,42300000,46700000,62500000,3587272.174,1.14E+08,NA,1.28E+08,NA,1.02E+08,1.45E+08,96100000,3473.511563,6.20E+07,NA,34100000,NA,77900000,1.05E+08,99400000,1.41E+08,1.32E+08,1.25E+08,
X35_323.1349_4.42_neg,3.89E+08,1.77E+08,1.51E+08,1.73E+08,2.31E+08,1.96E+08,1.27E+08,2.94E+08,2.27E+08,1.61E+08,2.07E+08,1.44E+08,1.57E+08,1.31E+08,1.47E+08,1.29E+08,1.71E+08,1.50E+08,2.45E+08,1.97E+08,1.56E+08,2.61E+08,1.40E+08,1.52E+08,1.12E+08,47100000,1.67E+08,1.48E+08,1.28E+08,2.35E+08,1.44E+08,1.40E+08,1.04E+08,1.04E+08,1.73E+08,2.96E+08,1.98E+08,1.44E+08,1.51E+08,1.49E+08,1.98E+08,1.77E+08,1.93E+08,30600000,2.56E+08,1.11E+08,1.62E+08,2.50E+07,1.95E+08,NA,84800000,NA,1.72E+08,1.88E+08,2.01E+08,6895.118467,1.34E+08,NA,2.04E+08,NA,2.05E+08,1.83E+08,2.38E+08,1.90E+08,2.14E+08,1.99E+08,
X36_613.0830_5.96_neg,6614.860195,5191.012852,5046.524224,5245.429863,7197.557783,2.10E+08,1.82E+08,4610.987329,3.80E+08,5324.990435,2.15E+08,2.94E+08,37002.32122,12259.39988,NA,NA,3.36E+08,NA,1.38E+08,1.92E+08,3.34E+08,4591.610391,37772.3843,11294.71579,1.02E+08,2.27E+08,4.31E+08,NA,92700000,19382.50901,18288.96422,3.65E+08,4.19E+08,3.28E+08,1.80E+08,4.16E+08,4.04E+08,NA,NA,NA,NA,4.27E+08,3.74E+08,21600000,4.42E+08,9695.654941,4.25E+08,17600000,2.15E+08,NA,3.64E+08,NA,3.59E+08,2999.529727,73700000,NA,47400000,NA,3.94E+08,NA,6961.508379,NA,6784.526074,1.70E+08,8690.816162,NA,
X38_163.0389_6.99_neg,475419.8918,581475.6654,71998.02305,73140.19945,533672.7968,2.15E+08,7.90E+07,256959.6306,3.39E+08,408164.9629,2.31E+08,2.04E+08,957413.1994,1037422.833,3427885.138,56245.39125,2.46E+08,111283.5641,1.04E+09,2.13E+08,1.38E+08,460090.8329,3913908.13,1992238.167,8.46E+08,1.54E+08,1.61E+08,2035203.114,7.34E+08,532363.4382,224342.4762,3.10E+08,1.21E+08,30100000,1.85E+08,2.02E+08,3.69E+08,87630.13477,75854.51391,186404.6752,220844.3323,2.58E+08,1.94E+08,3390016.244,1.61E+08,3428666.469,2.05E+08,2875201.423,2.08E+08,37446.54325,96400000,119213.3852,1.60E+08,199897.8866,6.63E+08,65265.65329,4.56E+08,45610.1568,1.33E+08,50720.53178,175923.8932,296838.3881,693384.4284,81200000,1124847.399,1903964.295,
X39_299.0774_4.73_neg,62900000,46800000,28400000,16800000,18100000,2.03E+08,28500000,51700000,81400000,2.12E+08,2.06E+08,59800000,2.44E+08,1.13E+08,2.01E+08,4.56E+08,1.08E+08,6.74E+08,1.91E+08,2.03E+08,2.49E+08,32200000,1.33E+08,1.32E+08,8.20E+07,4.89E+08,2.38E+08,1.70E+08,4.99E+08,89700000,4.91E+08,1.22E+08,63200000,1.21E+08,1.79E+08,21400000,65300000,3.19E+08,3.65E+08,3.94E+08,1.80E+08,2.06E+08,4.39E+08,7954025.727,87400000,7.30E+07,2.13E+08,6749400.99,2.01E+08,NA,52400000,NA,3.42E+08,34500000,1.80E+07,5038.478379,12400000,NA,70100000,NA,71100000,1.37E+08,1.43E+08,18700000,67400000,51200000,
