,MW_6_41,MD_15_10,MD_17_16,MD_17_17,MW_6_42,QC_62,AD_21_58,MD_11_1,AD_21_59,MD_16_13,QC_63,AD_20_54,MW_6_43,MW_2_31,MW_1_24,MD_17_18,AD_20_55,MD_17_19,MW_5_38,QC_64,MW_10_28,MW_1_25,MW_2_32,MW_6_44,MW_5_39,MW_3_34,MW_3_35,MW_1_26,MW_5_40,MD_15_11,MW_9_51,AD_21_60,MW_8_48,MW_1_27,QC_65,AD_20_56,AD_21_61,MD_17_20,MW_9_52,MW_9_53,MD_18_21,MW_3_36,MW_10_29,MW_7_45,MD_14_7,MW_2_33,MW_3_37,MW_7_46,QC_66,MW_7_47,MW_8_49,MW_8_50,MW_10_30,MD_11_2,MD_12_4,MD_11_3,MD_12_5,MD_12_6,MD_14_8,MD_14_9,MD_15_12,MD_16_14,MD_18_22,AD_20_57,MD_18_23,MD_16_15,QC_GC_67
X2496_465.2341_10.42_neg,390326.0778,3093896.849,1051882.945,1343769.426,162916.6584,664751.4752,3621116.384,2052915.716,381688.7012,287913.7348,815984.5997,163539.5565,30374.81426,181684.1877,225327.678,75879.12001,122589.3839,31844.90008,315065.4967,637661.6154,107059.4801,1084388.874,173768.262,20394.07353,306680.2215,43956.16455,96786.05495,188075.9092,325080.7109,744164.4016,41724.43207,422693.2634,1861129.212,3698.673574,608823.1652,294993.9526,573058.0303,94362.85425,121387.6924,89682.03536,428954.8531,68707.96477,72684.27375,4043.716362,370284.566,206563.1229,81404.05845,9151.040908,670098.4378,NA,1358973.74,NA,80991.7723,1268382.777,3067646.362,NA,1809550.478,NA,413516.2579,NA,1660617.297,1262804.535,1673981.009,2451238.336,2509492.324,2430078.386,
X2506_533.1837_7.79_neg,1734539.689,356163.8431,272639.2608,208805.9087,350847.8041,556599.3621,491445.0788,943599.4734,2172514.775,1000442.417,536865.0794,491416.9212,424766.6556,291905.6483,339234.0797,376948.7277,615834.0401,780203.8506,1086626.086,594373.6828,337406.6319,673343.5887,278642.6242,459399.7238,653971.9398,224720.0012,409566.9737,399440.403,582850.7873,242265.187,688717.5865,1395144.257,736036.9791,325214.9747,434647.4576,487915.4173,2190877.948,261997.551,986818.9448,889815.0194,186848.8431,569050.1028,1027068.848,12933.8667,609677.2782,279993.8328,424262.1167,3298.400801,755366.5053,NA,634421.8167,NA,711937.5375,607536.2575,404667.7422,NA,246145.5699,NA,559394.815,NA,175904.312,519293.9698,442393.2183,500650.3902,414133.9526,440338.8523,
X2513_529.0977_7.47_neg,386115.1908,100206.7413,263126.5496,524535.9624,205370.493,569483.1553,120549.3263,256874.0837,551974.7885,794092.0685,698392.9473,496762.5799,71307.81045,479013.7637,680412.1416,278953.4498,260305.5794,436848.8468,397708.6368,509637.7626,521672.4784,671000.9797,723553.8951,164798.245,550107.8846,146276.1673,284925.0637,527617.8096,53878.05189,1055787.996,408923.8198,949812.4499,682774.6677,370949.717,454926.0338,1209007.857,1154608.046,528279.3194,955409.192,489825.3749,448727.1733,286017.9346,1367004.979,NA,792946.5521,411750.5784,302641.3788,NA,527936.2874,NA,633144.0858,NA,1068607.175,61769.45933,283038.9172,NA,179335.1593,NA,518926.7034,NA,588987.3497,498454.7786,420359.8593,149795.922,241629.0342,260459.7552,
X2525_423.2340_10.65_neg,41958.01661,66292.90053,43049.66063,47795.88273,96822.04321,620400.0403,138766.1614,35245.21024,2710.775508,8633.168481,654803.558,3153.528428,2009551.431,513139.3796,2244669.416,491021.4443,8566.873733,176017.4856,792251.8126,596476.7453,1359127.021,210489.6414,690267.3054,1824630.658,1146949.906,13849.63384,290506.2457,2788471.996,2691557.622,751748.4892,1032482.761,125684.732,118256.0302,1103430.291,531741.7429,8511.04719,2492.777102,568663.897,1401215.36,454384.7831,436349.4417,186603.6133,1633688.431,3151.855649,680645.9678,523808.7145,210976.4475,2823.6995,606877.7073,2689.297405,68446.94546,2519.680042,1449963.569,33171.53555,39786.36676,NA,51815.33623,NA,479101.881,NA,415060.5541,35081.35785,312852.1179,150644.0764,50345.90382,27646.37329,
X2532_490.0976_5.36_neg,317811.2184,NA,21185.15962,98583.22172,165687.9723,591997.5352,94018.83864,40299.06538,1638712.464,70077.18568,506258.7013,1118524.673,21702.44164,55619.51933,24380.16634,68160.21292,1024041.638,95569.70123,1399799.328,396681.1916,84516.11065,46314.36599,45569.10957,59733.18141,1227178.671,1121994.557,311232.6837,25725.93372,110421.6218,NA,17060.86588,534296.7421,69540.27508,19200.67292,403241.0443,958087.677,1585779.255,32262.46919,30109.93969,12646.64748,175703.7857,325832.1547,383607.7411,19999.58986,402231.3959,46847.69622,284558.2633,3293.581245,446918.586,NA,36660.80104,2132.430892,156977.2412,31988.20544,217718.7837,NA,88217.55275,NA,132841.9791,2505.27865,NA,37850.34666,266954.8034,30320.49721,148223.5979,36516.08807,
X2535_567.1402_7.60_neg,NA,5907.188379,13512.96946,9848.229844,NA,523066.1594,5005.411274,13058.79563,260330.0733,535961.8079,379841.3928,1494221.515,10869.67833,1660953.273,12739.73525,2297237.504,2715572.192,6119302.407,150085.2529,495472.1134,2558932.426,6645.248146,21052.94578,25265.40244,67266.21504,128833.7272,161568.7581,767045.6655,1546863.881,322320.3237,1668475.033,1407962.067,14220.51053,170876.8957,697243.2653,114527.9563,833545.3008,353372.3061,2587876.751,15700000,283339.2597,448003.6071,18900000,NA,52433.16934,163764.2851,257600.3456,NA,607336.319,NA,58769.76911,NA,8027351.207,NA,NA,NA,NA,NA,17724.38062,NA,36887.08311,248802.929,73282.58607,157282.4089,19699.46268,7779.270234,
X2543_445.1178_9.07_neg,6446.894338,37364.30985,NA,3606.002695,9312.81646,782689.1078,NA,152432.8292,NA,428164.1752,791766.686,3527.625517,9452.334758,241485.8982,332861.6942,10133.9825,4313.697729,25372.77961,NA,779844.4857,1846422.242,43071.30398,1508078.577,4487.88668,NA,177996.993,76087.09293,230641.974,30811.43417,136196.8506,8506590.073,3996.639609,NA,399333.4776,652664.2598,4146.528721,4403.49813,NA,3901569.662,7055859.129,99774.67894,221993.1836,7654440.672,30964.51854,11441.19498,59010.39495,134114.1785,21232.48695,702852.7004,NA,NA,NA,4364166.568,116669.2864,121682.3132,NA,104754.0822,NA,4876.104668,2835.382881,119465.0849,349475.3319,89500.00197,NA,166217.8169,274700.7885,
X2544_459.1485_10.32_neg,395948.3516,612140.0302,675689.498,2536684.421,3469822.998,689816.9036,295994.0753,480490.9548,101034.4171,319031.5922,644973.1614,607337.2686,426500.0805,476120.1884,773093.8431,541105.1089,631029.2375,423043.9312,333164.874,646123.1504,751568.6196,1251455.08,633611.6262,395359.5359,244257.2349,166217.525,421559.4946,860290.2472,1137943.624,319446.0933,336684.6294,216030.6763,1236590.581,751218.1925,561284.8943,173038.6424,226118.4258,406404.8425,597690.9791,524243.5532,466696.534,417432.2802,901061.6174,14246.66449,393170.5846,550134.2901,450570.9592,16536.01441,637265.0288,NA,1046911.916,NA,758123.9833,326302.5556,778697.9605,NA,514923.35,NA,313560.4716,NA,244972.8084,501424.6969,470035.4804,414182.6235,392826.8428,625200.9602,
X2554_193.0862_12.32_neg,600262.9822,593555.5638,569484.2701,577272.8032,632639.7257,578807.2523,561196.9325,623505.2831,605383.8337,535555.6802,569723.5745,556448.4952,557273.7959,501295.4336,547607.8111,578575.9233,491812.2919,588032.9442,496787.3979,640209.192,550470.2107,591482.6245,584594.9098,514421.513,530599.4242,566143.1884,617901.7959,549793.8205,523683.0761,484768.1661,600333.4366,548606.027,536482.4947,496193.462,548980.5118,539992.3946,527319.9877,486299.9167,571603.1935,526284.6898,623374.505,544969.7475,646409.9454,578443.9259,510533.2635,539004.0978,565328.9273,451622.6832,552126.7733,588015.6837,535530.1614,513383.0418,584314.5646,542941.4834,598549.2604,533285.5421,607879.2162,711286.6377,473805.444,536702.0928,531406.5395,490493.0156,571737.7769,518478.0321,555190.4576,505085.1928,
X2556_533.1726_7.43_neg,2535625.132,535834.8512,1035245.587,2047626.481,2200884.563,316721.5413,96268.36875,1096435.713,326326.7214,231640.6709,478664.3888,610351.5966,1374681.44,2519764.573,1543567.858,697749.5143,888941.5116,1170242.525,3085809.201,361148.4612,6119408.804,2828540.441,903083.2125,1199574.715,2999957.56,101358.4907,683987.7133,2569932.463,1473446.292,249326.104,1518290.082,476372.5985,2317524.581,692437.6925,350931.3569,391355.5085,265403.4032,336011.7564,1183767.395,3272168.67,213447.2225,744275.2519,11400000,181611.6301,1880767.425,2873365.798,717417.2776,186323.5323,408586.1128,NA,2458433.299,NA,9181643.22,662365.4838,1965550.571,NA,1305356.874,NA,1435575.645,NA,1023205.088,274149.5517,1574531.55,1007667.425,906316.401,2138830.791,
