row m/z,row retention time,41_neg.mzXML filtered Peak m/z,41_neg.mzXML filtered Peak RT,41_neg.mzXML filtered Peak RT start,41_neg.mzXML filtered Peak RT end,41_neg.mzXML filtered Peak height,41_neg.mzXML filtered Peak m/z min,41_neg.mzXML filtered Peak m/z max,54_neg.mzXML filtered Peak m/z,54_neg.mzXML filtered Peak RT,54_neg.mzXML filtered Peak RT start,54_neg.mzXML filtered Peak RT end,54_neg.mzXML filtered Peak height,54_neg.mzXML filtered Peak m/z min,54_neg.mzXML filtered Peak m/z max,28_neg.mzXML filtered Peak m/z,28_neg.mzXML filtered Peak RT,28_neg.mzXML filtered Peak RT start,28_neg.mzXML filtered Peak RT end,28_neg.mzXML filtered Peak height,28_neg.mzXML filtered Peak m/z min,28_neg.mzXML filtered Peak m/z max,15_neg.mzXML filtered Peak m/z,15_neg.mzXML filtered Peak RT,15_neg.mzXML filtered Peak RT start,15_neg.mzXML filtered Peak RT end,15_neg.mzXML filtered Peak height,15_neg.mzXML filtered Peak m/z min,15_neg.mzXML filtered Peak m/z max,2_neg.mzXML filtered Peak m/z,2_neg.mzXML filtered Peak RT,2_neg.mzXML filtered Peak RT start,2_neg.mzXML filtered Peak RT end,2_neg.mzXML filtered Peak height,2_neg.mzXML filtered Peak m/z min,2_neg.mzXML filtered Peak m/z max,
477.06764831542966,7.05219,477.0677185058594,7.052416666666667,6.960400000000001,7.194183333333333,9.88335296E8,477.067138671875,477.068115234375,477.0675048828125,7.043483333333333,6.951483333333333,7.207933333333333,1.045456768E9,477.06695556640625,477.0682373046875,477.0677185058594,7.052583333333333,6.9491000000000005,7.181616666666667,9.92413504E8,477.0671081542969,477.068115234375,477.06776428222656,7.0482,6.961916666666666,7.211733333333333,1.124980864E9,477.0672302246094,477.0682067871094,477.0675354003906,7.064266666666667,6.960766666666667,7.210533333333333,1.154769664E9,477.0671081542969,477.0683288574219,
461.0729644775391,7.670283333333333,461.07301330566406,7.6641666666666675,7.558166666666667,7.81045,8.70596672E8,461.0726623535156,461.073486328125,461.07281494140625,7.666366666666667,7.5834,7.818383333333333,9.25581568E8,461.0724182128906,461.0731506347656,461.07305908203125,7.6746,7.5571,7.815133333333334,9.24508352E8,461.0726623535156,461.0733947753906,461.07305908203125,7.670166666666666,7.575683333333333,7.776166666666667,9.36305472E8,461.0726013183594,461.0733642578125,461.0728759765625,7.676116666666667,7.58165,7.8339,9.57902912E8,461.0723876953125,461.0733337402344,
591.0998168945313,5.9582733333333335,591.0999145507812,5.956733333333333,5.899233333333333,6.043016666666667,7.8962368E8,591.0991821289062,591.1004028320312,591.0997314453125,5.956766666666667,5.903433333333334,6.039533333333334,8.08497536E8,591.09912109375,591.10009765625,591.0999145507812,5.955066666666666,5.9033,6.052833333333334,8.64925504E8,591.09912109375,591.1004028320312,591.099853515625,5.95585,5.904083333333333,6.053616666666667,8.66514368E8,591.09912109375,591.100341796875,591.0996704101562,5.96695,5.903683333333333,6.053233333333334,8.83648128E8,591.09912109375,591.1000366210938,
467.2136169433594,8.680969999999999,467.2136535644531,8.68245,8.618966666666667,8.782716666666666,4.58164032E8,467.2131042480469,467.2150573730469,467.2134552001953,8.6787,8.615233333333332,8.78475,4.64959456E8,467.2130126953125,467.21478271484375,467.2137145996094,8.681533333333334,8.617666666666667,8.804833333333333,4.05380864E8,467.2132263183594,467.2154846191406,467.2137908935547,8.677666666666665,8.618966666666667,8.812466666666667,4.26912384E8,467.21337890625,467.2149658203125,467.2134704589844,8.684500000000002,8.619166666666667,8.784799999999999,4.14600896E8,467.21319580078125,467.21502685546875,
431.098291015625,6.955583333333332,431.09832763671875,6.9489,6.8674,7.029416666666666,4.32781568E8,431.0977783203125,431.0987243652344,431.0981140136719,6.957233333333334,6.865216666666667,7.037733333333334,4.42716416E8,431.0971984863281,431.0986633300781,431.0983581542969,6.9606,6.8734,7.041083333333333,4.26763616E8,431.09759521484375,431.0987243652344,431.09844970703125,6.956166666666666,6.862683333333334,7.0482,4.29561888E8,431.0968322753906,431.0987243652344,431.09820556640625,6.955016666666666,6.867900000000001,7.029766666666666,4.85140768E8,431.0972900390625,431.0986633300781,
955.1431762695313,7.052186666666667,955.1431884765625,7.052416666666667,7.000666666666667,7.116933333333334,3.00107168E8,955.1421508789062,955.144287109375,955.1427612304688,7.054966666666667,6.997483333333333,7.1192,3.23370752E8,955.1416625976562,955.1441650390625,955.1433715820312,7.052583333333333,7.0008333333333335,7.1216,3.119872E8,955.1422729492188,955.1439208984375,955.1435546875,7.0482,7.0022,7.128716666666667,3.54945728E8,955.1417846679688,955.1444091796875,955.1430053710938,7.052766666666667,7.001016666666667,7.133283333333334,3.82482656E8,955.1411743164062,955.1439208984375,
279.0510284423828,6.810953333333333,279.0510559082031,6.8098833333333335,6.681033333333334,6.88465,2.83744672E8,279.0509033203125,279.05126953125,279.05091857910156,6.807683333333333,6.678866666666667,6.888216666666667,3.29144608E8,279.05078125,279.0511169433594,279.05108642578125,6.810149999999999,6.744566666666667,6.890666666666666,3.30829344E8,279.05096435546875,279.0512390136719,279.0511169433594,6.816683333333333,6.687833333333333,6.8972,3.11539136E8,279.0509338378906,279.05133056640625,279.05096435546875,6.810366666666667,6.681516666666667,6.8909,3.1951312E8,279.05078125,279.0511169433594,
295.04595947265625,4.961446666666667,295.0459899902344,4.95765,4.834416666666667,5.098116666666667,2.81653664E8,295.04583740234375,295.04620361328125,295.0458984375,4.967633333333334,4.82145,5.154066666666667,3.16741344E8,295.0457763671875,295.0460510253906,295.0460510253906,4.968633333333333,4.833933333333333,5.077933333333333,3.3238864E8,295.0459289550781,295.0462341308594,295.0460205078125,4.951116666666667,4.8393999999999995,5.17205,3.28879104E8,295.0456848144531,295.04620361328125,295.04583740234375,4.9622,4.838983333333333,5.108383333333333,3.20130432E8,295.04571533203125,295.04595947265625,
163.0391357421875,6.813253333333333,163.0391387939453,6.815633333333333,6.673066666666667,6.901916666666667,2.64852848E8,163.03900146484375,163.0392303466797,163.03907775878906,6.807683333333333,6.673100000000001,6.8997166666666665,2.89216896E8,163.03900146484375,163.0391387939453,163.0391845703125,6.810149999999999,6.67555,6.884916666666667,2.95878656E8,163.0391082763672,163.0392608642578,163.03916931152344,6.816683333333333,6.682083333333334,6.8972,2.8937808E8,163.0391082763672,163.0392608642578,163.0391082763672,6.816116666666667,6.7448,6.9024,3.0059472E8,163.03904724121094,163.03915405273438,
295.0459503173828,5.9571233333333335,295.04595947265625,5.956733333333333,5.795716666666666,6.02,2.574832E8,295.0458068847656,295.046142578125,295.0458679199219,5.956766666666667,5.7999,6.016533333333333,2.89431072E8,295.0456848144531,295.0460510253906,295.0460205078125,5.955066666666666,5.811283333333334,6.024066666666667,2.85988992E8,295.0458068847656,295.04620361328125,295.04600524902344,5.95585,5.806316666666667,6.0191,3.05750432E8,295.0458068847656,295.046142578125,295.0458984375,5.961200000000001,5.800166666666667,6.018716666666666,2.970744E8,295.04571533203125,295.04608154296875,
