Sample_ID,9_neg,6_neg,17_neg,8_neg,12_neg,13_neg,11_neg,19_neg,24_neg,44_neg,26_neg,37_neg,50_neg,47_neg,59_neg,61_neg,63_neg,65_neg,66_neg,67_neg,3_neg,14_neg,4_neg,23_neg,21_neg,10_neg,33_neg,31_neg,32_neg,22_neg,35_neg,27_neg,30_neg,34_neg,40_neg,29_neg,48_neg,51_neg,52_neg,38_neg,36_neg,56_neg,45_neg,46_neg,58_neg,49_neg,41_neg,54_neg,28_neg,15_neg,2_neg
Class,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,QC,QC,QC,QC,QC
652/337.4965mz/4.21min,10120122.42,25174.95015,37475560.55,25531565.14,94632591.01,101905212.2,44389065.11,18684069.32,11023035.9,27673742.9,14720559.86,48358387.95,45601838.63,17737052.31,34059139.43,20479.52178,58684239.92,46645055.42,13667807.97,20403867.92,18036701.11,19507802.53,3040241.055,6815265.159,5968161.263,25455692.28,239004.0087,4441617.537,1316.847946,1278991.505,4310691.03,945.1038628,8446380.656,142691.4359,2100.172115,358446.6412,93911.86488,3174972.193,58223.36482,21139248.99,887.6039126,1036102.874,20764897.07,17955377.8,501512.2553,1374459.362,7324974.385,6848385.675,7607878.012,7822946.03,6504600.217
654/207.0634mz/8.05min,58215633.14,2764010.97,72685542.24,63452116.31,93471454.92,60633601.23,77652325.26,24383.99907,238834.2847,9407661.244,7929740.872,16469623.41,2608210.72,36101.39956,78787856.59,3609068.585,2657625.74,28039528.96,11567148.98,15516439.33,27219628.42,61474313.66,1149919.444,4366277.772,9221338.933,99181140.66,783953.5283,10798288.08,8453316.352,5210528.713,2584585.521,9715819.501,16697311,571915.8402,2910453.326,103847.4462,719249.0699,7829628.311,692574.3885,8216753.325,2824157.104,1715018.118,8826727.056,8672973.024,73796.54457,225610.2922,5501930.634,5649034.618,5752665.276,5456599.482,5622601.314
656/178.0279mz/7.21min,31745.09173,18765142.19,11860.85529,14301.53651,37004.58844,17359.61638,18994.48782,16053.45674,16266.21834,33927.35345,6600.285201,18714.98923,17274605.52,6258.76319,13502.62324,19408118.69,16625523.71,7778.630597,7742.020353,8896.3108,49983.02948,41997.30934,13601918.82,21679.27442,30179.28031,29904.39966,15478742.5,60423.16974,12398838.91,186731.4056,23370.53703,13983143.04,53924.8906,22419717.37,41171437.25,20324646.87,22089798.61,103826.729,21079695.43,28221.99025,22434535.65,14323938.88,11275.69392,15932.71456,18076053.67,15694153.48,5183938.713,5242085.195,5098789.409,5110761.442,4781678.972
657/295.1619mz/5.96min,6430462.251,11655702.17,16142562.38,12652293.15,11704893.1,7690313.292,33277015.81,1250280.671,1383930.758,1320023.856,787787.4908,5939586.712,29619885.84,3169099.198,16674743.24,12645608.66,35422018.69,11492137,2086839.271,4742589.892,10510536.62,21786207.05,36027728.54,1719166.731,11279107.93,11028623.17,29042324.53,9362712.492,5240500.582,4534403.898,735260.4479,6084809.94,5539317.417,20538342.49,26411865.41,15171919.49,26380622.8,5422873.549,22527918.78,2737390.138,3500314.237,42628900.54,3071938.836,2139655.064,13994364.13,13012241.18,7112017.721,7815622.88,6301466.685,7027802.841,7376133.358
658/232.0582mz/3.24min,24154529.59,13451871.67,26549292.19,41794807.15,23150691.6,24003170.1,19250344.94,8161733.593,5809267.405,18911742.45,6086771.322,10708743.1,41126891.85,18333255.75,34606217.32,15581604.06,46788785.88,10793173.23,9803252.616,19469339.62,10667802.23,1971852.793,24739040.27,17421593.08,7944366.325,59316565.97,6127673.397,11295099.49,12490238.86,13900842.95,12238189.3,11652619.2,9438847.896,7422094.746,22429476.78,9295399.258,8784272.045,15863941.51,8295518.299,4917554.959,4913707.637,24242693.69,2736851.518,4538410.734,7451751.51,6155653.526,7276065.209,7142717.222,7388678.025,7025889.046,7340476.451
661/1081.5238mz/12.22min,543411.2341,222178.8193,2450949.593,1228167.061,1222679.015,275107.8487,2206865.654,230481.0067,1832597.104,600859.7439,371838.3521,2680597.795,159220.3286,220312.4828,2634291.998,186719.9446,141476.7878,1886445.707,507330.2592,424562.3768,284217.2972,473005.8108,259304.5628,591360.797,1447750.403,4935992.372,1502252.374,351739.756,216244.0017,835907.4951,178180.8935,476164.0569,838464.073,62267.9723,41171437.25,255647.6463,501746.3009,370396.3425,301022.868,4062146.146,398562.9299,285450.2757,3353968.621,3418832.34,398454.3134,701676.663,3277090.689,3218430.699,3249580.871,3390448.378,3487829.784
662/359.0986mz/4.16min,6455490.311,8853566.866,11589499.35,7154646.809,10258016.09,5099149.107,16374768.09,4433820.39,8047568.352,6258887.73,7670793.698,8731185.116,3554390.373,2648529.813,11254264.79,7128659.809,2856836.022,8599284.446,4167992.994,3331201.824,20047594.29,6395590.435,5440146.433,10683975.59,3732823.118,11452392.48,2071056.131,2855426.843,9991524.98,5941483.357,8745249.279,16779771.64,3620467.875,4219331.449,28742324.12,9226434.681,3800274.685,6363962.997,4091286.295,7309578.557,16524950.65,5403490.923,8425180.781,9015495.7,13178026.22,14204202.2,6221435.533,5572442.316,6377286.733,5258591.708,5499271.746
663/399.1365mz/6.91min,129315053.9,136507821,225752743,70671219.37,137594626.2,92733743.06,247721854.5,53398.65867,61306.44518,20177.63536,102019.6692,58006.77771,24037.60521,43751.86066,237048681.6,141059419.6,67536.72513,58875161.42,26373753.47,18067547.17,22410027.85,59794687.6,34826804.26,1457.518543,1426.464484,51391680.63,22864.87824,1793.558002,17130.55559,1352.569231,130186.2685,23978.84071,1253.945799,48868.86196,55310.30001,107395.1966,21544.63229,1568.44613,69311.26156,70446.39576,101599.903,34441893.15,94256.85623,79299.71714,88735.64135,151962.2143,8691983.655,4407035.518,4452429.541,9298267.583,9049974.125
666/345.0830mz/3.26min,15554019.29,13524953.55,16830947.2,14025321.84,22079526.01,22008521.9,18007043.01,12204723.75,8990534.299,12340516.95,14720559.86,22036864.62,12670580.97,11396796.38,17375530.25,13217783.05,14206753.5,16665749.48,11139341.36,11074653.06,8562702.42,5232945.157,6653360.852,6697570.287,5579271.584,7429887.073,7935710.887,4942310.736,8586217.01,6727486.915,11171993.27,12701354.93,4492112.305,6144032.034,10363797.05,6413362.867,6126152.833,5452567.274,6698474.642,7407476.483,6033844.915,6695457.789,8349137.227,10330079.63,7944662.224,8223766.64,7139199.762,6306935.656,6150319.774,6203128.028,5293999.43
667/707.1464mz/7.42min,82286.65517,164285.0745,3467.808425,74104.50467,4708.787705,17485.41702,18251.05102,1860412.137,506099.5202,305500.761,1040351.314,12685.73838,119225.0855,642709.0383,5556.70613,63044.86838,104887.3146,2306.841466,1194297.611,558958.5098,5280886.529,82277.89822,6657308.146,1560852.912,58534.4228,99141.75694,16018742.65,1793.558002,2018484.744,517869.5334,2036151.812,2481589.992,350929.0393,4809176.072,1067992.919,53738.56999,5107704.461,355381.3577,4783880.89,1703534.3,765132.6874,7862180.296,1683547.462,1680397.946,178989.1886,45522.95614,3990809.143,4024027.621,4034952.612,3649040.98,3743104.894
