,41_neg.mzXML.filtered,54_neg.mzXML.filtered,28_neg.mzXML.filtered,15_neg.mzXML.filtered,2_neg.mzXML.filtered,5_neg.mzXML.filtered,9_neg.mzXML.filtered,7_neg.mzXML.filtered,16_neg.mzXML.filtered,3_neg.mzXML.filtered,6_neg.mzXML.filtered,17_neg.mzXML.filtered,8_neg.mzXML.filtered,12_neg.mzXML.filtered,13_neg.mzXML.filtered,11_neg.mzXML.filtered,14_neg.mzXML.filtered,4_neg.mzXML.filtered,23_neg.mzXML.filtered,21_neg.mzXML.filtered,19_neg.mzXML.filtered,10_neg.mzXML.filtered,33_neg.mzXML.filtered,24_neg.mzXML.filtered,20_neg.mzXML.filtered,31_neg.mzXML.filtered,18_neg.mzXML.filtered,32_neg.mzXML.filtered,22_neg.mzXML.filtered,35_neg.mzXML.filtered,25_neg.mzXML.filtered,44_neg.mzXML.filtered,26_neg.mzXML.filtered,55_neg.mzXML.filtered,27_neg.mzXML.filtered,30_neg.mzXML.filtered,34_neg.mzXML.filtered,40_neg.mzXML.filtered,39_neg.mzXML.filtered,42_neg.mzXML.filtered,43_neg.mzXML.filtered,53_neg.mzXML.filtered,57_neg.mzXML.filtered,29_neg.mzXML.filtered,37_neg.mzXML.filtered,60_neg.mzXML.filtered,62_neg.mzXML.filtered,50_neg.mzXML.filtered,47_neg.mzXML.filtered,59_neg.mzXML.filtered,61_neg.mzXML.filtered,64_neg.mzXML.filtered,48_neg.mzXML.filtered,51_neg.mzXML.filtered,52_neg.mzXML.filtered,38_neg.mzXML.filtered,36_neg.mzXML.filtered,56_neg.mzXML.filtered,63_neg.mzXML.filtered,65_neg.mzXML.filtered,66_neg.mzXML.filtered,67_neg.mzXML.filtered,45_neg.mzXML.filtered,46_neg.mzXML.filtered,58_neg.mzXML.filtered,49_neg.mzXML.filtered
7116/947.1544mz/6.90min,34400000,46400000,35100000,36400000,43600000,35395.12541,38205.18689,18596.69319,,4.34E+08,,,,,34158.20377,,1.90E+09,13538.42636,1.29E+09,1.67E+09,30464.19693,2.57E+09,47283.46843,6851.045688,28205.39684,1.54E+09,,33316.47851,1.43E+08,5.40E+08,68476.56458,,,2788.138726,,1.18E+09,,11685.45457,,,,74659.87197,,13278.06756,,41213.10092,4282.540254,,21817.18593,37105.36126,10230.84428,,23172.13706,5.03E+08,,,,22788.19649,,,29262.89338,,,,,
7117/311.0431mz/6.88min,39500000,28900000,55500000,4359854.556,58900000,1997031.16,124356.3478,17205.89492,78467.89699,1.18E+08,79625.76281,86762.52984,101379.7057,301731.6436,474593.3607,1148073.137,2.81E+08,287994.4282,2.44E+08,2.59E+08,121252.9709,3.15E+08,67567.45017,272645.8588,15529.516,2.30E+08,11209.48799,73010.79211,98600000,1.60E+08,476015.0384,409124.4387,168090.4714,54801.09476,54436.47727,2.07E+08,39746.06917,16231.13926,120391.7209,45519.72788,1223072.089,2301033.997,6295.304051,119231.4549,425490.3328,2045.762402,,335006.3634,160732.3265,167896.5073,,,43357.77157,1.40E+08,139361.7414,393192.3955,225929.0654,32834.90871,1092430.575,315388.7955,148720.8094,339634.126,1054418.52,702892.6728,179628.9566,123243.6432
7118/473.5746mz/6.90min,2479384.913,2749271.406,2806934.539,1713070.452,5060062.286,10594.5046,,,,23600000,,,,,,,1.61E+08,4874.799463,49200000,1.48E+08,,1.83E+08,,,,1.42E+08,,,12400000,3.10E+07,,,,,,61100000,,,,,,30803.38261,,,,,,,,,,,,58400000,,,,,,,,,,,,
7130/579.1470mz/6.97min,1.27E+08,1.30E+08,1.28E+08,1.31E+08,1.52E+08,31976.9456,,279356.4374,,83463.33797,2709893.758,1.29E+08,25292.43785,210846.8442,27271.46595,1.00E+08,25100000,59083.12594,329754.6921,16600000,81045.99702,10500000,,56700000,480648.7226,16100000,170610.7675,14100000,78763.88812,697439.1795,2059748.322,57500000,166980.8275,,11200000,29866.3928,193161.2657,73063.54842,122980.3064,185602.0328,308365.5288,25620.26871,,602970.2922,9.55E+08,,,39600000,49500000,91700000,1160239.149,,630840.7045,84268.33078,270545.3374,1.22E+09,1737339.119,78592.21289,37200000,6.20E+08,53345.33651,66668.48326,3.12E+09,1.55E+09,297960.5354,1131906.775
7133/473.3470mz/6.89min,2031407.087,1751935.542,2180214.233,1463748.954,1929544.638,,,,,4660200.804,,,,,,15622.31055,3.30E+07,,25500000,7857462.156,,11700000,,13475.41626,,28900000,,,3395338.351,5401223.985,,,,2898.066035,,6969834.943,,,,,,118466.9004,,,,,,,,,,,,4913130.558,,,7081.914053,,,,,,,,,
7142/499.5282mz/6.97min,296762.3763,49006.46836,179414.145,200579.2751,170220.0298,65564.42531,,,,2888998.685,,,60759.08203,,,69163.78875,7967929.039,,2134284.54,5503009.569,,5875066.75,62414.47828,,,4684437.181,,,2918976.427,2209763.985,,,,,,2041176.731,,,,,,53465.72004,,,,,24912.06457,,,,,,,1030671.166,,,,,,,,58494.12469,,,,
7149/407.0976mz/7.32min,102816.6588,110242.3672,96548.05868,202794.7235,96934.09948,205360.2953,6700.787461,3640.555225,24677.16573,10080.26391,12271.52046,29436.99798,16037.40346,52729.06377,27418.23335,21370.20899,20400000,22778.86151,,,4896.94425,11300000,4143.701001,5408.499302,108773.2364,9338.027562,64317.76512,37871.00679,10773.92953,4876.9921,5208.597773,15425.15641,5082.534609,,20716.35684,9867.351064,33863.31354,52304.5364,30159.91718,11025.55069,13486.05438,176626.9634,,12856.18512,3619.756172,,,22519.74683,4401.74924,6504.300674,4012.478027,,27689.68651,13357.54963,8165.314453,9646.660078,69361.93227,19820.40943,16854.93558,11373.7309,8842.434727,10314.99765,10686.78871,22250.48817,34151.37615,23508.44757
7159/803.3715mz/10.86min,2935198.766,3790291.279,3680510.888,3637865.492,3845156.166,8019.762362,176528.8077,2725709.417,,1462299.264,443916.3977,822037.0989,57822.24554,87612.36083,76241.06348,412235.4397,3944510.141,1261512.548,7529813.946,7432025.254,821423.8849,4518995.219,1698067.013,3864835.987,23600000,6211174.868,294983.5591,5148054.63,1815541.543,4507848.292,35800000,1128458.672,1727522.367,,9755735.96,5947654.135,4620372.652,8132846.387,197656.2134,4458566.614,165848.3116,,,3934614.021,471597.7052,,,1268877.461,93787.43152,346518.2001,214389.3108,,6349728.894,2109084.196,4866121.379,3227241.167,1848704.668,836905.0993,817104.4905,435707.9928,436687.0423,155778.3634,5904429.787,3531555.561,7927778.845,14500000
7220/471.0867mz/10.48min,1097545.369,1097537.545,1182076.007,1272292.867,1256708.868,75027.97741,,,5329.440703,113776.9678,,,,,,10863.93165,3735372.375,5372.026333,5251782.273,6877275.507,,4117639.239,2591.065393,9429.434253,,7774127.71,,12432.05032,748983.8218,1201445.689,,,3065.486045,2475.277223,,11800000,,,,,,26576.02551,,,,,,,,,,,,15800000,8684.242969,,7899.581167,,,,,,,,,
7286/595.2172mz/6.48min,,,,,,2278.566145,,17595.10849,10434.5501,9156.026426,,,,,,,2589238.214,6772.989463,1875520.215,4178994.974,,,22024.61059,,54127.89109,2775031.569,29464.999,4794.936511,249680.3075,638161.1174,73631.95821,,,,6011.912563,1231347.271,1604859.634,267242.2249,9735.515244,59524.71246,21356.89095,,,1539989.084,,,,,,,,,811524.507,1261903.02,1521970.571,,182661.1341,8446.040365,,,,4643.410928,5868.149473,14373.86033,37929.2434,31715.5397
