,41_neg.mzXML.filtered,54_neg.mzXML.filtered,28_neg.mzXML.filtered,15_neg.mzXML.filtered,2_neg.mzXML.filtered,5_neg.mzXML.filtered,9_neg.mzXML.filtered,7_neg.mzXML.filtered,16_neg.mzXML.filtered,3_neg.mzXML.filtered,6_neg.mzXML.filtered,17_neg.mzXML.filtered,8_neg.mzXML.filtered,12_neg.mzXML.filtered,13_neg.mzXML.filtered,11_neg.mzXML.filtered,14_neg.mzXML.filtered,4_neg.mzXML.filtered,23_neg.mzXML.filtered,21_neg.mzXML.filtered,19_neg.mzXML.filtered,10_neg.mzXML.filtered,33_neg.mzXML.filtered,24_neg.mzXML.filtered,20_neg.mzXML.filtered,31_neg.mzXML.filtered,18_neg.mzXML.filtered,32_neg.mzXML.filtered,22_neg.mzXML.filtered,35_neg.mzXML.filtered,25_neg.mzXML.filtered,44_neg.mzXML.filtered,26_neg.mzXML.filtered,55_neg.mzXML.filtered,27_neg.mzXML.filtered,30_neg.mzXML.filtered,34_neg.mzXML.filtered,40_neg.mzXML.filtered,39_neg.mzXML.filtered,42_neg.mzXML.filtered,43_neg.mzXML.filtered,53_neg.mzXML.filtered,57_neg.mzXML.filtered,29_neg.mzXML.filtered,37_neg.mzXML.filtered,60_neg.mzXML.filtered,62_neg.mzXML.filtered,50_neg.mzXML.filtered,47_neg.mzXML.filtered,59_neg.mzXML.filtered,61_neg.mzXML.filtered,64_neg.mzXML.filtered,48_neg.mzXML.filtered,51_neg.mzXML.filtered,52_neg.mzXML.filtered,38_neg.mzXML.filtered,36_neg.mzXML.filtered,56_neg.mzXML.filtered,63_neg.mzXML.filtered,65_neg.mzXML.filtered,66_neg.mzXML.filtered,67_neg.mzXML.filtered,45_neg.mzXML.filtered,46_neg.mzXML.filtered,58_neg.mzXML.filtered,49_neg.mzXML.filtered
2/461.0733mz/7.67min,2.89E+09,3.07E+09,2.99E+09,3.08E+09,3.29E+09,194082.2514,1.10E+08,2.34E+09,2.47E+09,227175.855,1.74E+08,423860.5878,76100000,1.08E+08,3.28E+08,434331.1084,513689.3313,9598119.344,1110687.885,2111326.935,1.06E+09,516588.4386,2.78E+09,7.82E+08,4.74E+09,825137.0366,5.56E+09,4.88E+09,1224905.952,9724768.23,4.96E+09,1.17E+09,1.78E+09,136816.6929,4.70E+09,699009.5278,2.13E+09,4263509.862,4.97E+09,5.31E+09,5.38E+09,249962.4078,20135.08721,1.67E+08,1674542.678,76624.05242,10808.70184,5.99E+08,3.41E+08,295925.2916,1.18E+08,6364.266152,2.21E+09,1191644.169,2.04E+09,13200000,1.18E+09,7697985.332,4.78E+08,966566.2406,6.64E+08,2.44E+08,1.40E+07,11700000,2.40E+08,3.35E+08
3/591.0998mz/5.96min,2.01E+09,2.27E+09,2.24E+09,2.29E+09,2.31E+09,1.16E+08,,1.72E+09,1.92E+09,21204.71361,5.46E+08,,7672.022402,21903.0511,51879.70679,,46095.25189,6.87E+09,43517.23771,180533.0008,6860.800723,8526.202438,3.59E+09,,3.57E+09,93280.53976,5.46E+09,8.72E+08,65617.03793,37065.06995,4.44E+09,,,,1.33E+09,194096.7686,7.15E+09,4.32E+09,5.16E+09,6.49E+09,6.12E+09,80900000,,4.82E+09,6457.929769,,,7.50E+09,,,3.31E+08,,6.88E+09,42805.39321,7.01E+09,115986.2254,7.94E+08,6.31E+09,6.06E+09,4773.063882,,4309.109297,8026.152773,8313.510074,4.89E+09,4.87E+09
4/467.2136mz/8.68min,8.67E+08,9.35E+08,9.14E+08,9.59E+08,9.15E+08,3.70E+07,9.74E+08,1.05E+09,1.04E+09,9.11E+08,7.43E+08,1.79E+09,1.05E+09,6.89E+08,1.93E+08,8.59E+08,7.36E+08,1.14E+09,5.22E+08,7.31E+08,6.48E+08,2.27E+09,3.34E+08,6.03E+08,6.83E+08,8.14E+08,1.34E+09,1.06E+09,4.56E+08,5.96E+08,9.30E+08,4.72E+08,9.70E+08,,1.39E+09,5.73E+08,4.49E+08,4.96E+08,8.40E+08,9.31E+08,1.17E+09,29900000,,4.88E+08,5.03E+08,69144.35832,3531.679102,3.43E+08,3.22E+08,1.18E+09,5.08E+08,,6.44E+08,3.82E+08,5.15E+08,9.10E+08,6.30E+08,1.01E+09,2.80E+08,6.58E+08,8.50E+08,8.14E+08,1.10E+09,9.61E+08,8.22E+08,1.19E+09
5/431.0983mz/6.96min,1.15E+09,1.15E+09,1.12E+09,1.14E+09,1.24E+09,1.80E+09,1.79E+09,1.79E+09,1.72E+09,1.30E+09,1.14E+09,1.75E+09,1.78E+09,1.79E+09,1.79E+09,1.80E+09,1.01E+09,1.67E+09,1.06E+09,1.02E+09,1.76E+09,1.06E+09,1.61E+09,1.70E+09,1.49E+09,1.05E+09,1.31E+09,9.09E+08,1.28E+09,1.15E+09,1.44E+09,1.70E+09,1.70E+09,1.70E+09,6.77E+08,1.07E+09,1.49E+09,1.63E+09,1.30E+09,1.39E+09,1.18E+09,1.76E+09,1.70E+09,1.55E+09,1.48E+09,1.69E+09,1.78E+09,1.41E+09,1.68E+09,1.72E+09,1.21E+09,1.71E+09,1.38E+09,1.28E+09,1.47E+09,1.33E+09,9.93E+08,1.55E+09,1.51E+09,1.58E+09,1.65E+09,1.68E+09,1.34E+09,1.36E+09,1.39E+09,1.39E+09
7/279.0510mz/6.81min,9.06E+08,9.83E+08,9.63E+08,1.02E+09,1.01E+09,16100000,3927264.403,3.16E+08,3.00E+08,56390.94918,2.86E+09,574529.0974,1153763.762,915181.1867,572861.9226,364848.4833,734126.6535,4.99E+08,4136843.067,3001290.357,789411.9832,692370.4757,5.82E+08,269062.4703,8.52E+08,3809124.874,2.27E+09,3.96E+09,3153349.77,3013578.126,1.01E+09,998420.022,532445.8334,,4.53E+09,7260470.798,6.20E+08,1.46E+08,2.02E+09,1.38E+09,2.39E+09,13400000,,5.55E+08,508088.7155,21985.15642,3338.990186,1.75E+09,467051.0932,240947.8543,2.13E+09,2006.56784,8.72E+08,4878334.397,7.41E+08,2820728.378,2.57E+09,4.16E+08,1.48E+09,580883.6894,2281979.363,986546.2165,364230.4004,1164979.507,6.80E+08,8.10E+08
9/163.0386mz/6.82min,8.39E+08,8.89E+08,9.09E+08,9.43E+08,9.23E+08,16300000,5232972.797,3.07E+08,2.87E+08,228864.5785,2.61E+09,2023762.324,3913341.073,1135500.069,921468.5886,2281642.74,460229.5634,4.82E+08,4826259.554,7887447.9,607173.3045,548215.3284,5.38E+08,1164281.6,7.95E+08,5529246.405,2.10E+09,3.55E+09,4678393.627,5651784.164,9.62E+08,1729396.739,1319575.515,81127.97098,4.31E+09,8579409.598,5.73E+08,1.36E+08,1.81E+09,1.27E+09,2.17E+09,1.30E+07,73509.54065,5.11E+08,3238938.76,51939.12671,48768.2571,1.57E+09,2042516.631,2085740.568,1.93E+09,93296.44954,7.97E+08,5932622.13,6.69E+08,3766581.013,2.34E+09,3.82E+08,1.31E+09,2619375.904,3540856.272,2785818.695,1327228.257,2260462.812,6.18E+08,7.34E+08
10/295.0460mz/5.96min,1.16E+09,1.30E+09,1.28E+09,1.28E+09,1.34E+09,1.99E+08,25800000,1.08E+09,1.12E+09,2736724.845,5.44E+08,24700000,5.90E+07,7752617.038,8133437.445,47400000,5497590.284,2.01E+09,5606823.853,10100000,10600000,5386798.7,1.74E+09,2378534.005,1.68E+09,7208805.422,1.96E+09,6.45E+08,5931788.256,6496194.079,1.92E+09,6146046.347,3853224.803,82630.72335,9.48E+08,15600000,2.20E+09,1.85E+09,2.09E+09,2.15E+09,2.33E+09,1.66E+08,364894.2109,1.91E+09,7777812.683,223702.7848,37319.97501,2.15E+09,10200000,15900000,3.52E+08,157016.9672,2.09E+09,8869325.848,2.61E+09,9388164.638,6.20E+08,1.89E+09,2.18E+09,17300000,10100000,21600000,2782475.989,4203786.82,2.00E+09,2.14E+09
11/923.1531mz/7.67min,5.40E+08,6.02E+08,5.64E+08,5.98E+08,6.05E+08,,477471.205,2.93E+08,3.35E+08,,1177908.493,,234755.7597,419258.8447,4099978.252,,,,,,51800000,,5.24E+08,26900000,1.71E+09,,2.46E+09,1.92E+09,,,1.96E+09,67300000,1.72E+08,,1.70E+09,,2.66E+08,,2.12E+09,2.38E+09,2.52E+09,,,1214059.642,,,,16100000,5118366.557,,567458.9291,3172.685361,2.83E+08,12572.72719,2.43E+08,,73600000,,9692926.98,5282.545327,1.90E+07,2565597.771,,,2601038.051,5146569.487
12/595.1310mz/6.47min,9.19E+08,9.89E+08,9.97E+08,1.01E+09,1.02E+09,73913.04079,3.51E+08,311877.5387,488105.8516,81192.084,5.96E+08,3.55E+09,1.21E+08,2.83E+08,2.80E+08,3.30E+09,88400000,98055.07304,153482.2246,99300000,8.65E+08,1.52E+08,190655.2767,4.65E+08,888944.1558,6.50E+07,158002.4263,61300000,52706.88917,30429.98008,420061.4341,5.59E+08,9.71E+08,18513.32759,73300000,201839.0463,412909.3075,320565.4346,325159.5493,142507.4193,125903.1154,29325.79074,,62700000,9.16E+09,138922.9704,23267.60976,9.09E+08,5.79E+08,2.58E+09,4.06E+08,24736.97475,252937.1214,96791.14194,332460.1087,74200000,14100000,115708.9158,7.45E+08,7.39E+09,6.45E+08,4.24E+08,96500000,71600000,1.20E+08,1.94E+08
13/593.1509mz/7.42min,4.66E+08,5.15E+08,5.03E+08,5.09E+08,5.36E+08,10100000,12700000,1.37E+09,1.21E+09,1.66E+08,13500000,97257.44871,17300000,2546213.56,3447274.341,77073.74753,10300000,4.60E+08,1.09E+08,11400000,1.45E+08,10900000,4.72E+08,42400000,1.85E+09,5245781.391,1.95E+09,1.64E+08,48100000,1.20E+08,2.14E+09,25900000,83200000,13010.89419,2.04E+08,71600000,3.86E+08,74100000,1.72E+09,1.96E+09,1.97E+09,8513601.6,,11100000,387681.2465,,,19500000,73600000,77862.83253,8904757.224,,4.20E+08,30800000,3.88E+08,1.56E+08,77300000,3.98E+08,15200000,110345.0844,80300000,53400000,1.95E+08,1.86E+08,19700000,2.90E+07
15/119.0489mz/6.81min,6.00E+08,6.49E+08,6.56E+08,6.30E+08,6.03E+08,10900000,3259782.064,2.15E+08,2.00E+08,153014.1711,1.76E+09,2954040.143,2975493.83,669376.5577,562494.4606,1312635.009,699549.9154,3.22E+08,2797287.035,2169726.537,1767615.074,481511.2226,3.91E+08,253621.0242,5.60E+08,2692626.184,1.51E+09,2.40E+09,2943597.595,2188471.765,6.84E+08,922786.7278,685419.3663,24202.91705,2.77E+09,4911504.001,4.00E+08,93400000,1.26E+09,9.01E+08,1.53E+09,9462638.009,32142.30519,3.59E+08,2493642.086,85412.49544,19686.76776,1.13E+09,1302059.46,1345802.52,1.40E+09,21280.5469,5.77E+08,3633730.819,4.72E+08,2590424.232,1.64E+09,2.82E+08,9.51E+08,2332551.305,2235835.457,2018774.619,734324.2839,1247036.748,4.47E+08,5.21E+08
16/279.0510mz/7.00min,6.42E+08,7.08E+08,6.95E+08,7.04E+08,7.19E+08,9306162.318,3499914.878,2.46E+08,2.35E+08,226083.9805,2.17E+09,377400.2343,414027.473,135849.049,165522.8197,274881.6759,305456.3214,3.67E+08,3200081.847,3812301.766,575098.8084,671246.219,5.02E+08,143796.5459,6.55E+08,4726838.163,1.07E+09,2.87E+09,5221863.51,2915007.768,8.21E+08,606118.4736,98726.3753,,3.59E+09,9713427.503,5.31E+08,92100000,1.02E+09,6.65E+08,1.27E+09,8292444.819,2814.850459,4.44E+08,146649.1823,9355.005176,,5.37E+08,445632.7053,191350.7249,1.58E+09,,8.54E+08,7221455.834,6.81E+08,1662886.825,2.52E+09,3.05E+08,4.42E+08,195103.7302,2169826.565,391722.0831,,820727.4377,5.38E+08,6.25E+08
17/609.1464mz/6.85min,3.35E+08,3.57E+08,3.69E+08,3.76E+08,3.81E+08,1.35E+08,2.55E+08,7.04E+08,1.18E+09,6.96E+08,89500000,502991.6827,1.50E+08,1.14E+08,78900000,542924.9248,1.46E+08,3.02E+08,3.68E+08,98900000,6.03E+08,1.62E+08,1.83E+08,2.15E+08,4.62E+08,54400000,1.01E+09,1.47E+08,5.09E+08,5.23E+08,5.82E+08,1.49E+08,2.96E+08,58826.70428,1.53E+08,4.20E+08,1.93E+08,2.96E+08,8.22E+08,7.85E+08,1.09E+09,1.12E+08,14985.40752,30700000,6405884.198,11523.8147,3494.482485,2.44E+08,4.94E+08,286594.6024,66300000,3419.286305,2.47E+08,1.78E+08,2.10E+08,28300000,49600000,2.53E+08,2.03E+08,2187778.203,4.58E+08,3.96E+08,28400000,22400000,68800000,1.13E+08
18/1067.5438mz/12.94min,4.01E+08,4.03E+08,4.15E+08,4.17E+08,4.42E+08,505859.5356,22200000,1.23E+08,1.13E+08,2383562.387,15700000,1.13E+08,73200000,41500000,20600000,1.13E+08,973062.5653,10600000,14500000,8459713.757,1.51E+08,19800000,1.97E+08,4.05E+08,5.74E+08,2925678.258,7.73E+08,3.49E+08,1.39E+08,7680862.659,6.19E+08,1.33E+08,79300000,49909.79999,4.13E+08,1.90E+08,36600000,3.89E+08,5.72E+08,4.73E+08,5.45E+08,417697.1851,6735.870293,16500000,4.39E+08,6162.350918,7255.870195,1.90E+07,3.44E+08,80500000,1.00E+07,6043.00248,69400000,1.43E+08,47800000,7.71E+08,4.44E+08,8187609.468,14500000,3.07E+08,86400000,2.46E+08,8.32E+08,7.89E+08,38300000,64300000
19/311.0432mz/4.22min,5.57E+08,6.24E+08,6.13E+08,6.27E+08,6.11E+08,1.73E+08,2.35E+08,32733.17143,144635.7435,3.31E+08,26800000,7.11E+08,5.23E+08,1.17E+09,1.53E+09,6.08E+08,4.93E+08,1.84E+08,3.66E+08,3.40E+08,9.00E+08,8.13E+08,48700000,6.21E+08,227720.4268,2.30E+08,322077.5329,655090.8558,1.61E+08,2.58E+08,67345.43121,1.05E+09,9.39E+08,13196.89014,810204.2674,4.53E+08,55900000,252180.4341,280273.8186,159721.2349,136093.1592,1.37E+08,3294.000029,1.09E+08,1.68E+09,8092.676576,2271.50139,2.25E+09,8.97E+08,4.15E+08,17100000,9039.938643,4.60E+07,1.92E+08,47900000,1.55E+09,721274.6361,1.46E+08,1.90E+09,1.27E+09,5.73E+08,1.01E+09,1.64E+09,1.31E+09,1.52E+08,2.11E+08
21/692.1119mz/7.67min,2.27E+08,2.56E+08,2.42E+08,2.39E+08,2.42E+08,,43908.5526,1.32E+08,1.48E+08,,272899.1875,,,66070.79668,1428504.285,,,,,,24700000,,2.18E+08,12500000,5.02E+08,,6.25E+08,5.48E+08,9094.761827,,5.55E+08,32300000,80100000,,5.41E+08,,1.22E+08,,5.82E+08,6.12E+08,6.29E+08,,,218863.7765,,,,7292607.247,1584837.566,,116742.9121,,1.35E+08,,1.15E+08,,33700000,,4477601.911,,9012111.396,758870.1915,11830.19016,,704818.7229,1567860.342
22/133.0150mz/6.99min,3.50E+08,3.79E+08,3.77E+08,3.94E+08,4.16E+08,6177600.535,2333642.865,1.49E+08,1.40E+08,944889.7195,1.21E+09,99840.53648,2131738.213,94185.07547,620072.7051,221374.8212,1421829.101,2.25E+08,892947.4359,1235977.788,311410.6834,1668843.444,2.81E+08,80240.46589,3.69E+08,2472232.342,5.95E+08,1.48E+09,8073502.174,1332314.823,4.53E+08,206221.0494,229998.8212,7486.766162,1.85E+09,6249267.546,3.01E+08,53500000,5.40E+08,3.65E+08,6.76E+08,5157876.041,18572.04234,2.49E+08,203498.0991,14115.72722,36221.42103,2.92E+08,248872.2107,149903.9231,8.40E+08,9852.418026,4.71E+08,4619100.319,3.77E+08,3207172.341,1.34E+09,1.75E+08,2.42E+08,262023.0689,2061981.851,930355.8016,165265.2799,164162.4874,2.95E+08,3.49E+08
23/1113.5495mz/12.94min,2.43E+08,2.51E+08,2.54E+08,2.46E+08,2.51E+08,249330.999,1.40E+07,73800000,71200000,1384871.957,9611734.739,70600000,45700000,25800000,12800000,67400000,760817.8245,6002251.003,9598889.268,4890511.242,95800000,10900000,1.27E+08,2.61E+08,3.61E+08,1730472.534,4.87E+08,2.23E+08,79800000,4719157.055,3.90E+08,87300000,51300000,24636.70252,2.63E+08,1.09E+08,24100000,2.26E+08,3.67E+08,3.08E+08,3.61E+08,231040.3394,,10500000,2.69E+08,,7242.347812,12300000,2.26E+08,51800000,6588723.759,5279.473682,45400000,83700000,30900000,4.31E+08,2.86E+08,5124420.384,9366620.772,1.90E+08,5.60E+07,1.59E+08,4.70E+08,4.38E+08,25200000,41400000
24/315.0725mz/3.60min,2.82E+08,3.12E+08,3.11E+08,3.20E+08,3.09E+08,6895223.801,14600000,1.40E+07,13700000,49300000,10600000,36900000,26900000,10600000,12500000,25800000,8.90E+07,43500000,4.54E+08,4.21E+08,3.58E+08,23100000,2.71E+08,6.19E+08,1.16E+08,2.75E+08,91800000,1.99E+08,2.00E+08,4.58E+08,1.75E+08,3.96E+08,8.43E+08,2654.065107,4.73E+08,1.70E+08,2.96E+08,3.43E+08,1.46E+08,31900000,89600000,5560493.913,,4.26E+08,1.54E+08,36640.1701,,41400000,2.83E+08,25100000,7841353.324,,2.72E+08,1.59E+08,2.67E+08,8.06E+08,1.22E+09,35100000,3.60E+07,92800000,1.96E+08,1.60E+08,7.38E+08,8.25E+08,5.49E+08,6.70E+08
25/741.1929mz/6.19min,2.56E+08,2.71E+08,2.78E+08,2.80E+08,2.83E+08,16677.31011,8.72E+08,1204979.973,776392.5519,413868.3139,8.98E+08,88248.23865,3.11E+08,7.61E+08,5.83E+08,101024.3743,1.10E+09,246721.9828,448030.4918,5.91E+08,6.84E+08,1.47E+09,40138.68606,3.74E+08,741420.5059,3.95E+08,362092.6386,1.33E+08,298752.1113,375630.8558,1032247.021,5.04E+08,6.95E+08,2098.822998,2.19E+08,68621.71896,68745.83878,96775.53598,466844.1045,395897.3938,601347.9316,34007.21268,2142.034585,1.11E+08,244633.7509,4031.21209,3164.74834,1.08E+09,5.15E+08,63893.12402,5.99E+08,9523.170644,115281.224,52217.43962,115199.0208,56100000,77800000,179846.6975,9.02E+08,83092.64086,8.02E+08,5.53E+08,68200000,55100000,1.76E+08,2.54E+08
26/559.1092mz/7.00min,2.14E+08,2.42E+08,2.41E+08,2.37E+08,2.32E+08,16258.88525,,25300000,28500000,,1.06E+09,,,,,,,6.50E+07,96469.19255,,,,1.70E+08,,2.08E+08,112411.253,4.25E+08,1.67E+09,237157.2586,30842.47846,2.92E+08,,,,2.31E+09,,1.45E+08,3426348.231,4.12E+08,2.23E+08,5.70E+08,29909.53955,,1.06E+08,,,,1.51E+08,,,8.32E+08,,3.12E+08,128890.4746,2.18E+08,,1.45E+09,51200000,1.22E+08,,,,,,1.51E+08,1.94E+08
27/179.0342mz/5.96min,3.87E+08,4.36E+08,4.32E+08,4.36E+08,4.51E+08,68500000,749957.0813,3.69E+08,3.88E+08,1098713.763,1.62E+08,426534.0634,327217.4709,3029605.16,2912196.498,207441.7455,2876690.262,8.59E+08,2256461.126,4400164.326,1107772.947,3671809.656,4.04E+08,1130183.696,5.74E+08,3401621.029,7.50E+08,2.04E+08,1892143.073,2151764.492,6.65E+08,1527381.852,1368437.979,84000.49228,3.20E+08,5515516.785,8.63E+08,6.26E+08,7.03E+08,8.11E+08,8.02E+08,59100000,51133.22146,6.42E+08,1249023.24,135562.7943,34958.8874,8.74E+08,1491120.038,198214.1698,1.20E+08,169113.8117,8.73E+08,2726724.329,8.15E+08,3619221.223,1.94E+08,7.32E+08,7.76E+08,468731.9023,990026.9196,1161446.531,1716629.382,1025527.191,6.92E+08,7.30E+08
28/725.1942mz/6.68min,2.43E+08,2.66E+08,2.68E+08,2.75E+08,2.75E+08,1089250.496,5.30E+07,12200000,14400000,16100000,84500000,3809.337041,3.60E+07,47700000,53100000,18332.02171,2.61E+08,590190.7645,6983103.097,1.06E+08,1.62E+08,2.66E+08,1388293.479,76600000,34200000,85500000,13800000,7.25E+08,2656290.852,10900000,44700000,96300000,1.36E+08,2413.468726,1.02E+09,1798463.554,1955306.931,60456.77804,17900000,15900000,24200000,922999.7309,2234.491553,24300000,12147.36321,,2313.616831,1.21E+08,1.05E+08,,55200000,2968.340244,2141034.254,1379849.985,1868916.888,1.82E+09,3.63E+08,771454.3932,94600000,7930.843856,1.12E+08,82400000,2.09E+09,1.87E+09,4.00E+07,56800000
29/579.1360mz/7.01min,3.01E+08,3.11E+08,3.10E+08,3.18E+08,3.40E+08,207283.9207,43900000,279356.4374,453957.2833,2435671.938,1.90E+07,2.56E+08,42400000,36600000,7.10E+07,1.91E+08,12200000,277009.5782,444529.4893,4782699.532,87600000,28700000,6265703.683,56700000,3550300.256,7225346.132,,1.20E+08,90881.85059,697439.1795,3621384.687,57300000,1.04E+08,,99300000,37935.00713,5656936.914,118585.5894,122980.3064,1037349.31,309700.6566,198561.9372,,13600000,3.61E+08,,,39600000,49500000,1.76E+08,1.60E+07,,4528500.432,45032.88773,4683152.95,4.61E+09,25700000,280949.9319,37100000,2.70E+08,7.00E+07,52900000,4.45E+09,4.27E+09,20600000,2.70E+07
30/1051.5495mz/13.09min,1.84E+08,1.89E+08,1.92E+08,1.97E+08,1.97E+08,328544.4282,3450247.656,2.50E+07,27700000,1990175.935,15600000,19500000,10500000,6557715.612,3996814.208,19300000,6761409.875,3.20E+07,26700000,66600000,46700000,30500000,13900000,2.03E+08,3.54E+08,31100000,5.11E+08,2.03E+08,43200000,17100000,4.03E+08,41400000,2.30E+08,96283.65517,2.12E+08,45100000,2082163.533,1.90E+07,3.72E+08,2.69E+08,3.42E+08,212869.8606,7758.935449,2.26E+08,1.69E+08,21493.04678,8188.632068,9.10E+07,1.57E+08,14600000,9589375.406,9613.729734,4503272.1,39400000,2936270.37,4.23E+08,3.18E+08,26100000,66600000,97700000,21700000,89600000,4.38E+08,4.39E+08,3.16E+08,4.17E+08
31/387.1664mz/5.70min,2.24E+08,2.44E+08,2.50E+08,2.50E+08,2.54E+08,26600000,1.70E+08,95600000,5.86E+08,1.36E+08,1.10E+08,45400000,4.24E+08,72400000,76800000,3.90E+07,1.76E+08,2.21E+08,1.71E+08,2.16E+08,57400000,5.63E+08,1.48E+08,1.46E+08,1.20E+08,1.74E+08,8.87E+08,1.83E+08,1.70E+08,1.33E+08,1.31E+08,83700000,1.22E+08,,4.15E+08,2.30E+08,5.03E+08,1.86E+08,4.75E+08,1.33E+08,6.07E+08,21600000,,1.55E+08,1.70E+07,7235.029243,,1.71E+08,1.62E+08,28900000,73700000,,3.56E+08,1.33E+08,4.11E+08,1.64E+08,2.47E+08,1.78E+08,1.36E+08,26400000,1.18E+08,3.42E+08,1.51E+08,1.52E+08,2.10E+08,2.73E+08
32/692.6142mz/7.67min,1.62E+08,1.82E+08,1.67E+08,1.72E+08,1.65E+08,,57989.2789,90400000,1.05E+08,,108792.896,,,11101.09041,1040680.952,,,,,,16700000,,1.52E+08,8597743.935,3.52E+08,,4.41E+08,2.87E+08,,,3.82E+08,23400000,5.50E+07,,3.79E+08,,83800000,,2.06E+08,2.33E+08,2.65E+08,,,109698.1733,,,,4673594.096,1180669.065,,22290.65215,,95600000,,78700000,,23500000,,3119064.297,,6474867.616,563597.6501,,7100.251611,437593.2983,1187774.122
33/923.6532mz/7.67min,1.13E+08,1.27E+08,1.20E+08,1.19E+08,1.16E+08,2778.835181,,52800000,57300000,,,3603.835259,,,123311.3931,3143.719512,,,,,2749180.22,,1.07E+08,2181757.047,3.32E+08,,3.13E+08,3.99E+08,,,3.86E+08,8659204.907,26400000,2243.297476,3.59E+08,,47200000,,4.18E+08,4.48E+08,4.68E+08,,,,,5440.807559,2627.546279,1226359.746,68638.25941,,,3554.750288,52800000,,43700000,,8772623.861,,467537.7242,,1264919.189,24516.40078,,,,90426.52745
34/421.2081mz/8.68min,1.09E+08,1.14E+08,1.11E+08,1.26E+08,1.22E+08,4785577.459,1.25E+08,1.41E+08,1.38E+08,1.20E+08,96100000,2.29E+08,1.32E+08,8.80E+07,24200000,1.08E+08,93700000,1.53E+08,67400000,91900000,83100000,3.02E+08,41600000,75900000,87900000,1.02E+08,1.73E+08,1.33E+08,57900000,75600000,1.17E+08,57200000,1.21E+08,,1.75E+08,71400000,55900000,61100000,1.04E+08,1.17E+08,1.45E+08,3587272.174,,60700000,62800000,3473.511563,,42300000,39400000,1.45E+08,6.20E+07,,77900000,46700000,62500000,1.13E+08,77800000,1.28E+08,34100000,77900000,1.05E+08,99400000,1.38E+08,1.17E+08,1.02E+08,1.47E+08
35/323.1349mz/4.42min,1.73E+08,1.95E+08,1.97E+08,1.96E+08,2.07E+08,30600000,1.99E+08,1.90E+08,1.27E+08,2.61E+08,2.01E+08,2.94E+08,2.14E+08,1.51E+08,1.73E+08,1.77E+08,2.31E+08,1.04E+08,1.47E+08,1.57E+08,1.61E+08,3.89E+08,47100000,1.29E+08,1.44E+08,1.52E+08,2.27E+08,1.12E+08,1.31E+08,1.48E+08,1.71E+08,1.44E+08,1.50E+08,,2.45E+08,1.40E+08,1.67E+08,1.04E+08,1.40E+08,2.96E+08,1.98E+08,2.50E+07,,1.56E+08,2.35E+08,6895.118467,,2.56E+08,1.98E+08,1.88E+08,1.34E+08,,1.77E+08,1.11E+08,1.62E+08,1.44E+08,1.28E+08,84800000,2.04E+08,2.05E+08,1.83E+08,2.38E+08,1.51E+08,1.49E+08,1.72E+08,1.93E+08
36/613.0830mz/5.96min,1.80E+08,2.15E+08,1.92E+08,2.10E+08,2.15E+08,21600000,,1.70E+08,1.82E+08,4591.610391,73700000,4610.987329,8690.816162,5046.524224,5245.429863,5191.012852,7197.557783,4.19E+08,,37002.32122,5324.990435,6614.860195,2.27E+08,,2.94E+08,11294.71579,3.80E+08,1.02E+08,12259.39988,,3.36E+08,,,,1.38E+08,37772.3843,4.31E+08,3.28E+08,3.65E+08,4.16E+08,4.04E+08,17600000,,3.34E+08,19382.50901,,,4.42E+08,,2999.529727,47400000,,4.27E+08,9695.654941,4.25E+08,18288.96422,92700000,3.64E+08,3.94E+08,6961.508379,,6784.526074,,,3.59E+08,3.74E+08
38/163.0389mz/6.99min,1.85E+08,2.08E+08,2.13E+08,2.15E+08,2.31E+08,3390016.244,1903964.295,81200000,7.90E+07,460090.8329,6.63E+08,256959.6306,1124847.399,71998.02305,73140.19945,581475.6654,533672.7968,1.21E+08,3427885.138,957413.1994,408164.9629,475419.8918,1.54E+08,56245.39125,2.04E+08,1992238.167,3.39E+08,8.46E+08,1037422.833,2035203.114,2.46E+08,87630.13477,111283.5641,37446.54325,1.04E+09,3913908.13,1.61E+08,30100000,3.10E+08,2.02E+08,3.69E+08,2875201.423,119213.3852,1.38E+08,532363.4382,65265.65329,45610.1568,1.61E+08,220844.3323,199897.8866,4.56E+08,50720.53178,2.58E+08,3428666.469,2.05E+08,224342.4762,7.34E+08,96400000,1.33E+08,175923.8932,296838.3881,693384.4284,75854.51391,186404.6752,1.60E+08,1.94E+08
39/299.0774mz/4.73min,1.79E+08,2.01E+08,2.03E+08,2.03E+08,2.06E+08,7954025.727,51200000,18700000,28500000,32200000,1.80E+07,51700000,67400000,28400000,16800000,46800000,18100000,63200000,2.01E+08,2.44E+08,2.12E+08,62900000,4.89E+08,4.56E+08,59800000,1.32E+08,81400000,8.20E+07,1.13E+08,1.70E+08,1.08E+08,3.19E+08,6.74E+08,,1.91E+08,1.33E+08,2.38E+08,1.21E+08,1.22E+08,21400000,65300000,6749400.99,,2.49E+08,89700000,5038.478379,,87400000,1.80E+08,34500000,12400000,,2.06E+08,7.30E+07,2.13E+08,4.91E+08,4.99E+08,52400000,70100000,71100000,1.37E+08,1.43E+08,3.65E+08,3.94E+08,3.42E+08,4.39E+08
