windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000002369,303.0511,7.208,425515,454846,527617,448965,513391
window000002372,503.25,7.205,374206,424528,326005,304864,413323
window000002379,661.139,7.213,980016,996429,994889,831544,1068322
window000002386,394.039,7.209,287645,307489,303043,271919,241451
window000002388,461.109,7.226,937771,1008642,923452,831025,879271
window000002406,441.1982,7.269,4968256,4824308,5058762,4273555,4855558
window000002410,407.1883,7.281,764556,692963,773072,626882,661144
window000002412,326.1036,7.312,3977024,3962602,4063922,3455574,3696954
window000002413,199.0969,7.326,574089,625262,598841,484473,531069
window000002416,471.187,7.296,913700,818693,844386,758932,834700
window000002421,393.2133,7.296,642122,545657,652297,547769,591862
window000002422,425.182,7.296,446941,394645,410710,430201,408769
window000002425,461.1585,7.298,328761,439715,430248,420588,415706
window000002426,309.0617,7.35,14217449,14660915,14207291,11834185,13921993
window000002429,331.1533,7.319,230414,242133,267943,196339,277742
window000002431,134.0362,7.348,1606103,1937019,1647063,1416844,1647510
window000002432,193.0499,7.345,4364904,4651350,4455922,3815218,4250969
window000002433,245.093,7.319,759653,839528,769817,758331,710522
window000002434,433.0774,7.339,8552866,8195506,8072814,7258283,8300212
window000002440,331.0436,7.342,973775,1012184,980636,861793,954533
window000002441,591.2296,7.341,755728,717792,748210,711936,716154
window000002448,287.0537,7.342,671286,610350,743433,640305,598977
window000002450,501.0661,7.335,540764,481578,495203,469816,479385
window000002455,337.1505,7.351,669144,645380,647576,525971,625978
window000002458,319.1061,7.349,552842,518992,511830,462232,534762
window000002459,505.2659,7.424,1131027,1033763,1141564,927252,1151976
window000002460,493.2471,7.374,1187682,1049253,1070056,967066,1068651
window000002462,431.1874,7.419,2466806,1988010,1833556,2310036,2153916
window000002464,549.0888,7.405,7325293,7303864,7396876,6288134,7047932
window000002467,505.0985,7.406,6363106,6405756,7252119,5585750,6043552
window000002470,533.1649,7.399,1177171,1083027,1095712,1018388,1115308
window000002471,648.0051,7.395,307522,269284,252679,303186,323818
window000002476,489.1768,7.398,898772,726922,862341,736937,808691
window000002477,593.1515,7.449,234058096,224862896,236145184,214216112,247319280
window000002482,579.1361,7.464,427339,410656,456694,432923,464134
window000002486,571.0702,7.404,468981,531926,522450,452188,475030
window000002487,355.1033,7.437,1421252,1174342,1352411,1203007,1325065
window000002488,151.0496,7.42,1483501,1421622,1506704,1241588,1600700
window000002491,661.1393,7.426,13314811,13008513,13838663,12795749,14860547
window000002492,631.1259,7.419,625690,714424,807517,831089,877023
window000002493,593.5361,7.418,1184201,1128473,953196,939008,1193278
window000002494,723.1102,7.417,692045,790453,745276,679253,777613
window000002495,237.0401,7.416,748671,549716,646240,573668,617376
window000002498,839.3357,7.423,1024248,1114146,1461323,1116195,1142814
window000002502,401.1091,7.433,1377186,1098314,1115385,940612,1168089
window000002503,692.0686,7.422,2935976,3434672,2884217,3117322,3514180
window000002504,249.0614,7.422,1008550,992880,998524,881028,1062271
window000002505,656.1473,7.422,5321096,4828432,5299468,4177289,4617348
window000002507,729.1266,7.419,1371553,1101604,1419194,1397969,1323840
window000002508,629.1282,7.419,1830162,2362715,2256232,2689864,2878810
window000002510,391.0645,7.431,558389,639609,872535,610633,645674
window000002512,467.0807,7.432,465436,542944,590918,525033,623710
window000002516,707.1462,7.42,1637295,1605706,1742230,1697245,1930665
window000002520,323.0775,7.449,737906,618758,721173,642891,722605
window000002522,569.2242,7.452,7855945,6967840,7000870,6737542,7598272
window000002525,677.1112,7.417,446172,394123,414316,398946,471489
window000002527,429.1767,7.47,28124732,27391470,28987108,25509448,27589894
window000002532,358.1144,7.438,1216788,1223619,1145587,929517,1163195
window000002538,523.2182,7.453,3845655,3223961,3554168,3084401,3526477
window000002541,681.2397,7.467,1246186,1122957,1127130,1167529,1273454
window000002545,559.2173,7.47,669292,710850,747317,780250,869464
window000002547,497.1646,7.468,2605952,2489540,2497189,2268891,2556080
window000002550,585.3497,7.467,893125,809917,773143,759166,836038
window000002551,586.214,7.453,880138,638046,831415,663105,750699
window000002552,433.0777,7.451,508994,546608,602019,453474,515763
window000002554,447.0931,7.476,11281049,11414934,10121620,11688296,12656298
window000002557,435.1298,7.482,1956950,2041341,1911219,1679815,2085460
window000002559,515.0993,7.478,741133,765092,616221,756391,787909
window000002560,565.1727,7.477,1141203,1009856,990190,886006,1012736
window000002561,482.0883,7.477,813910,735082,729837,673132,723633
window000002565,622.1357,7.472,260635,160207,173507,180218,226989
window000002568,529.081,7.474,299223,262902,312446,288741,265456
window000002574,403.1506,7.52,4638772,4612888,4824482,4103966,4747705
window000002575,243.0662,7.492,262085,232982,243635,224219,247765
window000002576,451.125,7.505,391828,396729,444724,355216,424692
window000002577,517.144,7.523,494686,571206,465101,434325,605462
window000002578,466.146,7.523,749888,734807,778599,604053,696954
window000002580,653.1717,7.568,2806077,2657399,2553665,2324423,2666783
window000002582,415.1977,7.556,1997360,1812992,1615231,1872012,1822103
window000002586,347.1712,7.556,1732889,1515179,1834271,1487622,1580826
window000002588,623.1621,7.578,14424115,13661807,13480491,11912188,13334141
window000002592,173.0811,7.547,271413,240504,287817,212049,235018
window000002593,387.1299,7.545,307628,259281,247877,218010,236606
window000002596,837.3216,7.581,1115016,1051602,1203437,982869,1222228
window000002598,519.1871,7.591,7263496,6881073,7216940,6432736,7123047
window000002601,565.1923,7.592,5056178,4968916,5002746,4464375,5066168
window000002602,279.1237,7.571,932700,922879,872956,751854,880118
window000002605,691.1501,7.571,1166840,1101150,1132931,1035243,1191432
window000002606,659.1393,7.571,177718,215911,226812,247892,256000
window000002608,607.1304,7.586,3182920,3232856,3519655,2736826,3023558
window000002609,379.197,7.592,1045484,998314,1077646,973011,1073799
