windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000003449,371.125,9.033,704223,749535,809352,599550,734727
window000003451,505.2661,9.06,5178486,5299081,5946737,4499798,4895735
window000003454,471.0933,9.166,1621684,1582377,1753755,1471891,1579651
window000003455,339.0723,9.049,317605,332195,328696,326643,318481
window000003457,459.2423,9.069,9370123,9741568,10431416,8329172,9131541
window000003462,571.2377,9.066,1309888,1401082,1362347,1159979,1317603
window000003465,445.1141,9.067,346781,361258,371905,282778,368785
window000003472,667.3083,9.139,3672024,3490006,3782625,3025190,3550665
window000003473,495.2622,9.124,183637,170160,184406,137183,206553
window000003475,668.3143,9.162,3604820,3297495,3858039,3016996,3417847
window000003476,645.7966,9.149,2233509,2305262,2308692,1794212,1854714
window000003480,524.2038,9.126,1499982,1563529,1757905,1234561,1554002
window000003481,489.2709,9.132,847346,859705,852439,737706,895705
window000003482,645.3134,9.161,3119524,3081530,3075970,2562326,3133613
window000003489,267.1239,9.173,929459,957478,865838,899526,949922
window000003490,536.2038,9.162,305206,369991,371912,323891,347393
window000003491,269.0663,9.191,197573,203727,233980,180135,225870
window000003497,525.2301,9.201,1183508,1070888,1247619,1066406,1062140
window000003499,535.073,9.205,1683950,1820284,1966776,1594963,1790914
window000003504,647.2917,9.203,834838,943032,899212,858596,876679
window000003507,718.3061,9.211,305308,284073,275830,212509,221207
window000003508,221.0663,9.244,498028,534467,497352,478704,517681
window000003509,267.0722,9.212,578437,673572,586219,560220,565266
window000003511,349.1868,9.216,496806,499586,466042,423529,485787
window000003514,771.385,9.252,1185368,1128445,1250618,1018537,1022129
window000003515,469.2292,9.268,4656652,4240698,4499678,3963562,4419660
window000003520,1135.5557,9.25,179113,201418,196872,177592,186962
window000003521,379.1976,9.256,756906,674604,666780,746915,801605
window000003522,590.2765,9.249,529980,456732,568840,488225,521419
window000003523,503.2501,9.286,4614874,4380644,4749553,3559394,4272001
window000003524,213.1128,9.276,2000889,1860577,1950782,1515347,1836119
window000003526,457.2446,9.291,3622709,3435608,3449046,2864462,3334464
window000003528,401.2182,9.286,1132725,1115321,1171768,979071,1101249
window000003529,281.12,9.284,201823,181030,189301,171484,192098
window000003530,413.1456,9.282,3745524,3538660,3587693,2885379,3163922
window000003533,148.052,9.282,1628750,1627586,1486461,1469851,1590759
window000003534,367.1399,9.282,1270324,1298154,1413208,1113813,1317816
window000003539,479.1173,9.28,678888,666470,669223,566051,611868
window000003540,249.0616,9.28,671941,632248,677343,561096,648633
window000003541,519.078,9.279,797227,614834,714777,616089,634124
window000003545,435.1273,9.281,464976,468450,572210,391614,440604
window000003547,389.182,9.308,5576860,5434388,5593580,4846890,5555151
window000003550,441.0829,9.389,10351142,10173268,11348554,9227555,10709367
window000003553,803.3156,9.293,1086099,1013241,1095600,797440,1111074
window000003555,600.1515,9.284,300143,249694,259980,213946,226523
window000003556,621.2193,9.348,410548,345478,370985,316274,352094
window000003557,553.2135,9.301,615903,635585,689950,516014,609213
window000003560,411.1662,9.35,622349,613942,660154,618386,658774
window000003561,277.0354,9.381,2866344,2687054,3232738,2506940,2714834
window000003563,632.3049,9.332,1683324,1465588,1766714,1354273,1475787
window000003565,655.3086,9.347,2995606,2923145,3201326,2643410,2794395
window000003566,678.3109,9.341,584778,760144,573759,557606,626551
window000003568,509.0702,9.386,1182501,1153588,1261359,1050987,1200652
window000003576,697.2352,9.378,1839720,1826113,1884860,1593782,1721530
window000003584,653.209,9.421,1007110,941543,928211,892146,991284
window000003585,491.2861,9.408,628715,667569,655011,600859,654404
window000003587,351.1661,9.415,2238553,2030403,2052261,1925550,2195568
window000003591,201.1127,9.43,1499216,1563083,1778190,1555788,1489770
window000003596,493.2293,9.438,24290804,24926400,25356986,22352546,24816956
window000003598,341.1372,9.415,206450,285262,211118,229720,249413
window000003599,447.2238,9.438,2261150,2063882,2442643,1962888,2322375
window000003602,577.2323,9.461,14983600,15220357,15685560,12896674,15036828
window000003607,533.2237,9.453,3761356,3661425,4043243,3151736,3452033
window000003609,483.2003,9.436,585076,839082,803815,761015,819104
window000003612,677.1374,9.452,231828,220081,207512,197180,224569
window000003613,599.1961,9.448,1515340,1710399,1639996,1438390,1603034
window000003615,510.2187,9.438,333114,339877,325934,294930,323003
window000003618,625.1952,9.444,287807,304674,277669,275771,315012
window000003622,465.2708,9.462,259270,251628,266647,206874,240737
window000003623,805.3307,9.496,801189,761843,835405,641014,741335
window000003628,339.0722,9.491,624999,566259,625828,509246,627696
window000003629,285.0405,9.497,805024,831703,854688,714607,867024
window000003630,547.3128,9.511,1214920,1159042,1174554,958638,1093917
window000003631,301.0355,9.535,9854509,9128437,9177246,8735961,9298224
window000003632,589.2686,9.498,975513,932268,963484,845715,1099656
window000003634,299.0198,9.518,658871,677546,527602,617577,760074
window000003635,467.2134,9.509,308744,304966,347864,264845,302322
window000003639,435.2236,9.538,1165277,1072280,1141476,1047538,1089960
window000003641,569.3374,9.577,4257620,4282143,4170449,3950142,4220180
window000003643,471.26,9.563,1231768,1184428,1335219,1024147,1193503
window000003647,523.3489,9.571,1798600,1791936,1773089,1654153,1665228
window000003650,487.0883,9.608,6412138,6354056,6248362,5757106,6154120
window000003651,733.3022,9.574,221762,185460,241205,177941,178928
window000003657,507.2085,9.589,2944623,2732850,2827739,2510576,2710504
window000003658,567.1721,9.579,865091,840453,792704,744625,815667
window000003758,459.2427,9.909,3518452,3625091,3872210,3119187,3346179
window000003760,505.2477,9.928,3694548,3486963,3866632,3148106,3555570
window000003762,485.2383,9.933,772226,831929,850870,664254,721700
window000003763,973.5019,9.905,1240362,1399676,1406045,1133370,1245705
window000003767,447.2418,9.91,212433,223869,213988,210394,212334
window000003786,567.3389,10.038,1296186,1356497,1348473,1211690,1293886
window000003789,635.3278,10.037,227640,248663,224336,204254,225254
window000003791,521.3332,10.045,1250974,1275344,1304184,1038718,1154678
window000003799,449.1929,10.081,293701,318874,472702,292051,312592
window000003802,1087.5705,10.129,1293544,1166955,1325241,1111183,1306535
window000003805,573.2908,10.161,555153,519835,612358,491821,458257
window000003806,221.0662,10.153,205152,232405,217580,188717,195034
window000003807,449.2757,10.141,1047849,1028459,1072919,991606,1029425
window000003809,617.2818,10.15,1133355,1112809,1213186,1004641,1054258
window000003812,445.226,10.165,343237,344411,264616,373831,479308
window000003814,267.0722,10.155,269103,274807,295224,228975,274256
window000003815,614.2762,10.154,549299,527354,562995,472619,540688
window000003818,471.0752,10.197,270464,239017,251683,222310,226184
window000003819,337.187,10.179,232472,226586,216545,314016,344460
window000003827,361.187,10.204,1103085,1098346,764305,1317742,1551326
window000003831,273.077,10.221,323228,276774,207364,249079,266749
window000003835,755.4083,10.341,1069307,1028622,1097250,948321,1041979
window000003836,377.1819,10.295,4663058,4881704,5003602,4240914,4662306
window000003837,357.1537,10.272,186363,193459,243596,170870,187486
window000003839,511.1413,10.268,243694,237044,264375,228695,229696
window000003840,572.2841,10.267,729522,750907,792054,714782,722096
window000003841,595.2871,10.266,587335,551041,555561,489557,503325
window000003843,331.1764,10.288,1144464,1189129,1177515,1052684,1176352
window000003845,399.1637,10.29,631946,707499,712215,561066,660952
window000003847,443.1537,10.287,557819,525637,538842,498423,519756
window000003848,289.1658,10.286,446461,445303,419899,382595,370319
window000003851,855.3665,10.302,755043,794817,828338,671292,701547
window000003855,495.2451,10.317,688269,680175,705913,651769,744851
window000003863,393.177,10.328,623339,669824,699305,513208,552891
window000003864,249.0616,10.324,261294,284525,284703,212160,254535
window000003865,459.1487,10.323,292595,307629,306107,282359,299165
window000003866,1117.5449,10.331,471302,452541,502462,456753,479682
window000003867,277.0934,10.356,608775,815375,1394256,484172,758038
window000003869,323.0989,10.354,318519,492188,730467,295798,444066
window000003873,537.1051,10.385,314439,329300,315820,254575,318767
window000003875,607.334,10.385,1113303,1134173,1124686,947097,1129061
window000003876,221.0815,10.385,1067847,1177508,1149754,909386,1003385
window000003878,575.2712,10.377,490488,508411,503745,488966,561483
window000003880,471.1508,10.381,540196,603406,566687,482016,553217
window000003886,755.3967,10.439,606042,596912,612055,556007,620996
window000003887,475.2264,10.405,705811,678364,738336,677324,741471
window000003888,509.2226,10.415,227010,235057,278145,203208,240651
window000003889,465.2341,10.419,373428,330150,416311,292026,319746
window000003891,463.1246,10.448,199858,220440,203365,169484,167956
window000003892,271.0614,10.465,404178,398770,417099,360772,416689
window000003895,471.2604,10.502,1036156,1023876,1136718,891867,991217
window000003898,447.1875,10.497,1490108,1494730,1603182,1315194,1370233
window000003899,375.1661,10.497,504153,490912,465674,484325,510737
window000003900,971.4867,10.491,240155,233046,237771,217415,226584
window000003907,731.3505,10.589,444684,392832,423414,303116,373701
window000003909,269.0457,10.568,534907,561016,529284,496000,567607
window000003910,349.1869,10.559,471358,444794,481544,389209,433438
window000003911,867.4397,10.59,1109055,1131099,1302804,927029,1159048
window000003913,503.2321,10.592,205339,167247,205493,158446,188846
window000003915,547.2034,10.594,626752,598565,628949,573769,650297
window000003921,606.2793,10.638,2417675,2320452,2675253,2192088,2517276
window000003922,971.4856,10.663,631303,627903,691306,635041,705789
window000003923,379.1975,10.654,1093759,1126190,1177663,1007684,1113542
window000003927,423.2238,10.644,290800,323520,325011,286012,312305
window000003929,267.0301,10.661,412853,436803,403481,406011,432592
window000003932,215.1284,10.706,1307926,1265844,1537273,1236591,1360707
window000003933,661.2719,10.698,2169383,1975103,2330547,1937428,2275732
window000003936,621.2849,10.693,472237,498731,440692,478352,477427
window000003942,441.2495,10.734,1990622,2088331,2015266,1759785,1932927
window000003943,543.3177,10.755,3874240,4200910,4409216,3371708,3909097
window000003944,487.255,10.74,2484708,2590180,2971694,2184069,2360863
window000003945,587.3078,10.758,5532459,5772166,6023085,5111099,5711164
window000003948,285.0406,10.784,14353735,14312478,13294783,12942723,14336235
window000003949,655.2956,10.753,865002,803796,841714,836594,897031
window000003950,283.0249,10.774,2323533,2117418,1874084,1959868,2218584
window000003958,731.3506,10.815,1076982,1078225,1139936,966675,1097682
window000003964,593.2819,10.818,357064,376082,387583,334162,362870
window000003965,243.0661,10.83,205619,227470,232012,198484,197162
window000003966,493.1512,10.841,1104510,1132506,1175855,1092307,1076440
window000003969,443.2287,10.839,255689,263729,275788,220686,218082
window000003971,403.1975,10.864,21988566,21816930,22437128,18659364,22486702
window000003972,546.1045,10.866,711841,823296,770766,620394,817736
window000003974,425.1796,10.867,2541416,2431591,2776976,2083831,2747764
window000003975,357.192,10.867,5588414,5186924,5672353,4834146,5308856
window000003976,437.1584,10.861,139888,207443,200060,194398,213926
window000003978,803.3156,10.875,533843,580686,527468,444343,563543
window000003979,469.169,10.869,2170066,2240973,2276279,1961486,2330448
window000003980,501.1066,10.866,1268942,1271832,1433539,927971,1258025
window000003981,315.1812,10.864,1434888,1438173,1529799,1357701,1524826
window000003982,537.1571,10.864,962711,841112,947407,796162,923693
window000003984,855.3661,10.862,392426,378800,408398,354112,428496
window000003985,475.2185,10.878,2978758,2756371,3239482,2745996,3015497
window000003988,805.3829,10.862,274260,309466,324355,195922,289388
window000003989,429.2133,10.873,738174,769073,847273,701014,859121
window000003991,487.2549,10.898,2219266,2274393,2438108,1848697,2156417
window000003993,441.2495,10.9,1417574,1473001,1466521,1223456,1460110
window000003996,695.3231,10.921,582374,738997,630383,542693,475332
window000003997,718.3246,10.928,4941726,4932416,5393620,4108658,4877212
window000003998,741.3272,10.923,1595336,1410131,1490425,1306384,1454663
window000004002,383.2078,10.96,1103027,1150134,1127353,937604,1091448
window000004003,544.3211,10.964,251054,262145,262979,229535,234182
window000004005,407.2653,10.982,738339,716059,805977,629028,694189
window000004007,415.1976,10.993,266607,264389,309421,210906,247906
window000004008,1013.4981,11.021,722479,638500,706067,638133,637878
window000004012,379.1976,11.057,3632701,3674658,3789590,3148144,3430070
window000004013,315.0514,11.055,216551,183862,184112,168976,193432
window000004014,747.3456,11.048,1869136,1782902,1850698,1579646,1640880
window000004016,477.0872,11.046,258384,221649,275416,205894,218701
window000004017,501.3071,11.044,441383,377088,429350,362822,367079
window000004018,547.3128,11.048,486681,523771,499177,396846,500641
window000004019,969.4714,11.063,1053267,980012,974398,866753,904003
window000004020,525.1978,11.047,352978,327797,323171,305704,340168
window000004021,333.192,11.052,854500,905290,956348,768658,871081
window000004022,401.1794,11.052,571606,561451,578317,469405,508508
window000004023,291.1816,11.05,529164,552846,585396,537109,533398
window000004025,445.1694,11.052,411856,479652,479234,438147,425377
window000004027,359.1703,11.094,485050,484313,530166,445366,476359
window000004038,710.3266,11.134,1457422,1502750,1470146,1283645,1445032
window000004039,361.187,11.118,367210,378934,342892,384976,369406
window000004040,837.3556,11.13,497521,475296,496990,448866,491474
window000004042,242.1761,11.188,4151636,4773134,3769137,4024391,4914454
window000004044,719.3496,11.176,266316,224335,317020,214377,190592
window000004047,543.3175,11.213,1321509,1166560,1258198,1146146,1181900
window000004055,447.1299,11.25,2660780,2793254,2825340,2399077,2565082
window000004057,809.4335,11.267,1144090,1142519,1197814,1015343,1048965
window000004059,183.1384,11.274,818292,799087,802000,696970,823679
window000004061,403.1974,11.276,408688,416151,452738,337110,406788
window000004062,227.1286,11.272,1104075,1157302,1176228,987286,1120784
window000004063,455.0985,11.272,359692,349784,365184,300432,314199
window000004067,421.2445,11.33,741488,726277,831084,710188,791266
window000004068,679.2832,11.333,374373,383721,440298,361944,361029
window000004073,661.2721,11.377,261107,256431,285233,219293,285037
window000004076,593.3549,11.448,1103583,1117605,1115885,1069695,1065542
window000004077,695.322,11.455,402308,398438,508821,373916,406182
window000004081,329.2335,11.526,979636,975220,1103202,898066,940436
window000004084,257.082,11.505,553913,496422,393325,531875,516565
window000004085,533.2604,11.509,499411,508267,498930,450211,518092
window000004086,807.4173,11.53,923407,949544,946516,843751,943722
window000004089,675.2879,11.542,295305,293791,334455,275833,296095
window000004090,485.2394,11.572,268237,257797,298271,207107,271658
window000004093,543.3173,11.598,547925,503229,559534,454186,460793
window000004100,1083.5395,11.647,926762,921286,1022155,889424,874380
window000004101,747.3457,11.676,557604,560801,502197,478144,528325
window000004103,1129.5455,11.651,639822,548776,672175,541726,628546
window000004105,499.2552,11.698,300840,305940,331011,260025,273066
window000004110,309.1709,11.823,10960689,10972293,11989068,10349736,10957505
window000004112,1229.5968,11.791,7058968,7041485,7736147,6584919,7309570
window000004113,331.1529,11.791,612760,649650,641865,570005,653636
window000004115,399.14,11.788,268500,239503,284476,209693,247577
window000004116,237.113,11.838,861479,815054,862059,760014,849034
window000004121,425.2184,11.87,618243,533747,665896,525031,478281
window000004123,229.1442,11.903,1009558,1016933,1254842,1061387,1084773
window000004127,431.2287,11.938,448101,420066,1104543,458065,458634
window000004131,619.2516,11.951,330068,378346,323139,319593,346584
window000004132,287.2048,11.97,790822,811841,833625,780471,814887
window000004135,635.2995,11.989,1627477,1490305,1876597,1495696,1443210
window000004137,1213.6024,11.989,1808152,1755923,1596999,1517242,1618829
window000004140,445.2445,12.04,1894248,1834282,1169822,2264427,2398288
window000004141,1081.523,12.037,2911468,2922048,2991195,2666382,2754073
window000004155,282.0389,12.166,237527,184926,227377,153837,199069
window000004156,334.0097,12.164,191599,228390,295553,214689,213106
window000004157,362.0489,12.162,201001,200759,210217,159285,189830
window000004159,309.1891,12.173,218515,219698,193347,144235,171939
window000004160,299.0413,12.167,647082,619631,661198,581987,603030
window000004162,380.0152,12.162,364771,399172,437248,412821,440389
window000004163,373.1422,12.161,413341,379629,340532,315525,348379
window000004167,183.1202,12.195,307150,307283,340911,348703,268897
window000004170,289.1058,12.199,535616,538734,545364,552135,640729
window000004171,227.1285,12.224,611122,708690,677036,647972,598888
window000004172,867.4022,12.204,285060,308300,305812,296012,269293
window000004173,221.0921,12.216,1260394,1165525,1122908,1044561,1113680
window000004176,557.2602,12.212,482955,455364,529055,392427,467035
window000004177,487.2552,12.256,35396660,35628140,38205792,34659836,33046836
window000004178,1081.5235,12.226,1989710,1933426,2028706,1714484,1811044
window000004179,621.2336,12.241,867655,838348,789712,797311,826824
window000004181,630.1622,12.24,543221,493227,514319,455349,610081
window000004182,441.2495,12.249,8066176,7867904,8466973,7829924,8250062
window000004184,487.5407,12.235,196108,157020,204592,194983,169260
window000004185,321.1708,12.223,314973,317437,364028,317231,274466
window000004186,553.2269,12.242,2811374,2725088,2795936,2812092,2642464
window000004187,559.2764,12.239,4960970,4783257,5211120,5361655,5514329
window000004193,509.2366,12.235,1649411,1465615,1516938,1425753,1463625
window000004194,585.1644,12.235,1519810,1458949,1700031,1344027,1339110
window000004196,161.0446,12.231,486974,608928,621658,585913,518902
window000004200,521.216,12.243,161639,206466,196190,244112,233865
window000004211,193.0863,12.326,357308,305286,306807,280261,330803
window000004219,527.3231,12.384,2050223,1998072,2410988,1814805,1896596
window000004223,645.2767,12.41,17036602,17256218,16494997,14699559,15898183
window000004227,601.2864,12.405,3126132,2707822,3043952,2495906,2732604
window000004228,667.2599,12.396,1712585,1768435,1594734,1424487,1596978
window000004236,1043.5439,12.445,6945538,7310418,7657968,6014822,7067760
window000004237,321.9821,12.445,374386,457349,516517,827296,962146
window000004238,383.9821,12.448,625556,783029,941355,1172172,1314510
window000004239,1089.5491,12.444,3701106,3949609,3849337,3163867,3944190
window000004240,911.5014,12.451,2681079,2434251,2293236,2479112,2862843
window000004241,375.9502,12.444,136002,220608,275582,383350,343666
window000004249,941.5124,12.471,60029500,51937880,50583924,50201036,56920300
window000004250,987.5187,12.472,33649404,28687716,26077250,30784706,34288244
window000004251,1040.4309,12.469,970943,877154,771693,871543,848425
window000004252,1059.4485,12.469,881453,843656,720457,863873,1010211
window000004256,977.49,12.465,1059043,1186890,1243965,1303551,1295656
window000004257,1009.5003,12.468,7010170,5862218,5686542,5980633,6416116
window000004261,1077.4854,12.47,1212860,1124181,975395,1102146,1269726
window000004263,559.2763,12.468,892432,669337,810693,748057,755143
window000004268,729.3347,12.508,595163,568107,628259,496751,555977
window000004273,387.2866,12.54,1504449,1442994,2514174,1302477,1670897
window000004275,384.0365,12.515,696448,623005,598099,588004,687086
window000004278,315.1812,12.544,869882,749893,2392156,852384,891364
window000004283,177.0913,12.589,1165081,1031837,1069924,1121400,1090158
window000004284,209.1542,12.602,690061,563506,802567,560157,556009
window000004285,249.133,12.608,3530798,2577376,4467650,1896589,1652118
window000004290,243.16,12.606,2049954,1772148,2984250,1841755,1955372
window000004293,1027.5487,12.615,3306095,3412465,3442342,3089698,3601685
window000004301,925.5171,12.689,31494374,31301162,31375362,28665190,32392000
window000004302,795.4787,12.658,7683642,7876157,7888148,7317961,7926186
window000004305,971.5238,12.673,4881126,5013878,4428903,4773792,5406868
window000004306,993.5052,12.672,2600040,2658812,2433711,2602000,2730163
window000004307,731.35,12.655,580225,515524,530399,491424,448336
window000004311,187.1333,12.714,313402,351468,296031,401706,386326
window000004312,1043.544,12.739,1080107,1153630,1043325,901126,1102121
window000004315,501.2527,12.777,2867538,3042252,3003077,2691858,2808732
window000004316,429.2129,12.77,218772,284919,218227,217681,236279
window000004325,445.2446,12.835,1424778,1394960,1426480,1453578,1558237
window000004326,277.1445,12.827,771438,875919,805528,760278,818589
window000004328,409.2048,12.848,1379622,1344743,1461512,1236459,1319688
window000004339,1113.546,12.963,96666560,97140520,98516496,97319080,96392624
window000004345,1067.5404,12.958,151139936,160412592,156603152,151166512,147648160
window000004346,729.3344,12.904,5391019,5111729,5340862,4565578,4808502
window000004353,1135.53,12.947,10119623,9615000,9392482,9480239,9457422
window000004354,1037.5332,12.92,11380175,11937713,13504192,11695824,11460561
window000004360,1185.4785,12.937,4714616,5397052,5049797,4964706,5114585
window000004361,1203.5181,12.934,1371490,1369880,1241750,1297402,1334205
window000004362,1103.5206,12.934,2994265,4448114,4184858,4703707,4532286
window000004363,779.4601,12.928,1322696,1346872,1298160,1333206,1373065
window000004366,1215.4743,12.936,1610842,1597409,1645135,1526880,1532099
window000004367,1130.5415,12.94,1621838,1574182,1431799,1620916,1205220
window000004378,447.1341,12.971,1311991,1421263,1562439,1133550,1303045
window000004383,895.5068,12.95,3892184,3775953,3648188,4088589,3647778
window000004389,221.1543,12.994,668099,754736,800681,784801,629856
window000004390,293.1775,12.999,3340260,3825791,3623097,3385443,2961880
window000004392,236.1052,12.992,1164877,1434428,1437852,1372866,1089793
window000004395,431.1711,13.001,383282,378697,392729,353124,352086
window000004399,923.5008,13.061,1312737,1488880,1450930,1184415,1431443
window000004405,1037.5318,13.065,1723986,1782203,1725622,1668551,1679946
window000004408,1051.5494,13.117,80443016,83153976,80792216,77996984,78056488
window000004409,1097.5565,13.102,14999292,15752931,14745720,14779083,15319423
window000004410,1119.5358,13.098,5570198,5822356,5750868,5567529,5810866
