"""Compound_tpj""","""met_class""","""Ontology_msdial""","Matching.Attribute","Matching.Attribute.1","Matching.Attribute.2","Modules_comb","Modules_ind","name","selected","shared name"
"","","","""X5026_1267.6315_8.67_pos""","""X5026_1267.6315_8.67_pos""","""X5026_1267.6315_8.67_pos""","1","137","""X5026_1267.6315_8.67_pos""","false","""X5026_1267.6315_8.67_pos"""
"","","","""X4900_941.5092_12.85_pos""","""X4900_941.5092_12.85_pos""","""X4900_941.5092_12.85_pos""","1","137","""X4900_941.5092_12.85_pos""","false","""X4900_941.5092_12.85_pos"""
"","","","""X4714_923.4998_13.18_pos""","""X4714_923.4998_13.18_pos""","""X4714_923.4998_13.18_pos""","1","137","""X4714_923.4998_13.18_pos""","false","""X4714_923.4998_13.18_pos"""
"","","","""X446_319.1365_3.86_pos""","""X446_319.1365_3.86_pos""","""X446_319.1365_3.86_pos""","2","158","""X446_319.1365_3.86_pos""","false","""X446_319.1365_3.86_pos"""
"","","","""X4157_383.2100_8.48_pos""","""X4157_383.2100_8.48_pos""","""X4157_383.2100_8.48_pos""","3","90","""X4157_383.2100_8.48_pos""","false","""X4157_383.2100_8.48_pos"""
"","","","""X3896_378.1330_3.08_pos""","""X3896_378.1330_3.08_pos""","""X3896_378.1330_3.08_pos""","39","151","""X3896_378.1330_3.08_pos""","false","""X3896_378.1330_3.08_pos"""
"","","","""X324_383.1449_2.96_pos""","""X324_383.1449_2.96_pos""","""X324_383.1449_2.96_pos""","64","118","""X324_383.1449_2.96_pos""","false","""X324_383.1449_2.96_pos"""
"","","","""X3232_543.1848_6.98_pos""","""X3232_543.1848_6.98_pos""","""X3232_543.1848_6.98_pos""","35","73","""X3232_543.1848_6.98_pos""","false","""X3232_543.1848_6.98_pos"""
"","","","""X3036_483.2219_8.01_pos""","""X3036_483.2219_8.01_pos""","""X3036_483.2219_8.01_pos""","36","161","""X3036_483.2219_8.01_pos""","false","""X3036_483.2219_8.01_pos"""
"","","","""X303_371.3269_13.30_pos""","""X303_371.3269_13.30_pos""","""X303_371.3269_13.30_pos""","58","103","""X303_371.3269_13.30_pos""","false","""X303_371.3269_13.30_pos"""
"","","","""X2913_392.1470_3.62_pos""","""X2913_392.1470_3.62_pos""","""X2913_392.1470_3.62_pos""","39","151","""X2913_392.1470_3.62_pos""","false","""X2913_392.1470_3.62_pos"""
"","","","""X2701_499.2155_6.42_pos""","""X2701_499.2155_6.42_pos""","""X2701_499.2155_6.42_pos""","36","161","""X2701_499.2155_6.42_pos""","false","""X2701_499.2155_6.42_pos"""
"","","","""X26174_543.3142_8.26_pos""","""X26174_543.3142_8.26_pos""","""X26174_543.3142_8.26_pos""","4","84","""X26174_543.3142_8.26_pos""","false","""X26174_543.3142_8.26_pos"""
"","","","""X2611_469.2424_10.90_pos""","""X2611_469.2424_10.90_pos""","""X2611_469.2424_10.90_pos""","3","84","""X2611_469.2424_10.90_pos""","false","""X2611_469.2424_10.90_pos"""
"","","","""X2554_122.0632_6.25_pos""","""X2554_122.0632_6.25_pos""","""X2554_122.0632_6.25_pos""","70","132","""X2554_122.0632_6.25_pos""","false","""X2554_122.0632_6.25_pos"""
"","","","""X24460_279.0971_4.36_pos""","""X24460_279.0971_4.36_pos""","""X24460_279.0971_4.36_pos""","79","160","""X24460_279.0971_4.36_pos""","false","""X24460_279.0971_4.36_pos"""
"","","","""X236_180.1026_4.92_pos""","""X236_180.1026_4.92_pos""","""X236_180.1026_4.92_pos""","27","81","""X236_180.1026_4.92_pos""","false","""X236_180.1026_4.92_pos"""
"","","","""X2349_280.0818_5.01_pos""","""X2349_280.0818_5.01_pos""","""X2349_280.0818_5.01_pos""","22","96","""X2349_280.0818_5.01_pos""","false","""X2349_280.0818_5.01_pos"""
"","","","""X2337_237.0885_3.37_pos""","""X2337_237.0885_3.37_pos""","""X2337_237.0885_3.37_pos""","13","82","""X2337_237.0885_3.37_pos""","false","""X2337_237.0885_3.37_pos"""
"","","","""X2274_517.2058_7.85_pos""","""X2274_517.2058_7.85_pos""","""X2274_517.2058_7.85_pos""","15","122","""X2274_517.2058_7.85_pos""","false","""X2274_517.2058_7.85_pos"""
"","","","""X2270_447.1899_6.70_pos""","""X2270_447.1899_6.70_pos""","""X2270_447.1899_6.70_pos""","13","82","""X2270_447.1899_6.70_pos""","false","""X2270_447.1899_6.70_pos"""
"","","","""X1910_455.1893_10.10_pos""","""X1910_455.1893_10.10_pos""","""X1910_455.1893_10.10_pos""","61","112","""X1910_455.1893_10.10_pos""","false","""X1910_455.1893_10.10_pos"""
"","","","""X1842_415.2315_7.84_pos""","""X1842_415.2315_7.84_pos""","""X1842_415.2315_7.84_pos""","4","84","""X1842_415.2315_7.84_pos""","false","""X1842_415.2315_7.84_pos"""
"","","","""X1726_163.1145_6.46_pos""","""X1726_163.1145_6.46_pos""","""X1726_163.1145_6.46_pos""","22","100","""X1726_163.1145_6.46_pos""","false","""X1726_163.1145_6.46_pos"""
"","","","""X17186_427.1882_4.36_pos""","""X17186_427.1882_4.36_pos""","""X17186_427.1882_4.36_pos""","54","83","""X17186_427.1882_4.36_pos""","false","""X17186_427.1882_4.36_pos"""
"","","","""X1708_543.2390_8.28_pos""","""X1708_543.2390_8.28_pos""","""X1708_543.2390_8.28_pos""","3","90","""X1708_543.2390_8.28_pos""","false","""X1708_543.2390_8.28_pos"""
"","","","""X17_335.1308_3.14_pos""","""X17_335.1308_3.14_pos""","""X17_335.1308_3.14_pos""","2","158","""X17_335.1308_3.14_pos""","false","""X17_335.1308_3.14_pos"""
"","","","""X1608_423.2357_12.02_pos""","""X1608_423.2357_12.02_pos""","""X1608_423.2357_12.02_pos""","4","84","""X1608_423.2357_12.02_pos""","false","""X1608_423.2357_12.02_pos"""
"","","","""X15559_591.3267_7.45_pos""","""X15559_591.3267_7.45_pos""","""X15559_591.3267_7.45_pos""","35","73","""X15559_591.3267_7.45_pos""","false","""X15559_591.3267_7.45_pos"""
"","","","""X1543_251.1306_7.61_pos""","""X1543_251.1306_7.61_pos""","""X1543_251.1306_7.61_pos""","23","78","""X1543_251.1306_7.61_pos""","false","""X1543_251.1306_7.61_pos"""
"","","","""X1488_545.3298_9.41_pos""","""X1488_545.3298_9.41_pos""","""X1488_545.3298_9.41_pos""","21","95","""X1488_545.3298_9.41_pos""","false","""X1488_545.3298_9.41_pos"""
"","","","""X1484_839.3344_7.60_pos""","""X1484_839.3344_7.60_pos""","""X1484_839.3344_7.60_pos""","34","79","""X1484_839.3344_7.60_pos""","false","""X1484_839.3344_7.60_pos"""
"","","","""X12438_327.2535_11.22_pos""","""X12438_327.2535_11.22_pos""","""X12438_327.2535_11.22_pos""","29","72","""X12438_327.2535_11.22_pos""","false","""X12438_327.2535_11.22_pos"""
"","","","""X1478_433.1677_4.17_pos""","""X1478_433.1677_4.17_pos""","""X1478_433.1677_4.17_pos""","13","82","""X1478_433.1677_4.17_pos""","false","""X1478_433.1677_4.17_pos"""
"","","","""X14546_504.2812_9.40_pos""","""X14546_504.2812_9.40_pos""","""X14546_504.2812_9.40_pos""","68","126","""X14546_504.2812_9.40_pos""","false","""X14546_504.2812_9.40_pos"""
"","","","""X1351_415.1573_10.32_pos""","""X1351_415.1573_10.32_pos""","""X1351_415.1573_10.32_pos""","39","85","""X1351_415.1573_10.32_pos""","false","""X1351_415.1573_10.32_pos"""
"","","","""X133_1069.5580_12.94_pos""","""X133_1069.5580_12.94_pos""","""X133_1069.5580_12.94_pos""","1","137","""X133_1069.5580_12.94_pos""","false","""X133_1069.5580_12.94_pos"""
"","","","""X12176_697.1606_6.56_pos""","""X12176_697.1606_6.56_pos""","""X12176_697.1606_6.56_pos""","29","72","""X12176_697.1606_6.56_pos""","false","""X12176_697.1606_6.56_pos"""
"","","","""X11573_439.2283_8.55_pos""","""X11573_439.2283_8.55_pos""","""X11573_439.2283_8.55_pos""","4","84","""X11573_439.2283_8.55_pos""","false","""X11573_439.2283_8.55_pos"""
"","","","""X1152_545.3299_10.04_pos""","""X1152_545.3299_10.04_pos""","""X1152_545.3299_10.04_pos""","21","95","""X1152_545.3299_10.04_pos""","false","""X1152_545.3299_10.04_pos"""
"","","","""X1009_943.5261_12.47_pos""","""X1009_943.5261_12.47_pos""","""X1009_943.5261_12.47_pos""","1","137","""X1009_943.5261_12.47_pos""","false","""X1009_943.5261_12.47_pos"""
"","","","""X10019_285.1678_8.62_pos""","""X10019_285.1678_8.62_pos""","""X10019_285.1678_8.62_pos""","35","73","""X10019_285.1678_8.62_pos""","false","""X10019_285.1678_8.62_pos"""
"NA","""Unk""","""3-alkylindoles""","""X9984_162.0915_9.62_pos""","""X9984_162.0915_9.62_pos""","""X9984_162.0915_9.62_pos""","27","81","""X9984_162.0915_9.62_pos""","false","""X9984_162.0915_9.62_pos"""
"NA","secoeudesmanolides","""Eudesmanolides","""X812_407.1472_6.31_pos""","""X812_407.1472_6.31_pos""","""X812_407.1472_6.31_pos""","10","85","""X812_407.1472_6.31_pos""","false","""X812_407.1472_6.31_pos"""
"NA","""Unk""","""O-glycosyl compounds""","""X476_441.1807_8.51_pos""","""X476_441.1807_8.51_pos""","""X476_441.1807_8.51_pos""","35","73","""X476_441.1807_8.51_pos""","false","""X476_441.1807_8.51_pos"""
"NA","""Unk""","""null""","""X9817_483.2223_8.49_pos""","""X9817_483.2223_8.49_pos""","""X9817_483.2223_8.49_pos""","3","90","""X9817_483.2223_8.49_pos""","false","""X9817_483.2223_8.49_pos"""
"NA","5-disubstituted thiophenes""","""2","""X9815_279.0412_10.67_pos""","""X9815_279.0412_10.67_pos""","""X9815_279.0412_10.67_pos""","39","78","""X9815_279.0412_10.67_pos""","false","""X9815_279.0412_10.67_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X9717_453.1460_6.81_pos""","""X9717_453.1460_6.81_pos""","""X9717_453.1460_6.81_pos""","35","99","""X9717_453.1460_6.81_pos""","false","""X9717_453.1460_6.81_pos"""
"NA","""Unk""","NA","""X594_301.1275_3.83_pos""","""X594_301.1275_3.83_pos""","""X594_301.1275_3.83_pos""","13","82","""X594_301.1275_3.83_pos""","false","""X594_301.1275_3.83_pos"""
"NA","""Unk""","""Hydroxycinnamic acids and derivatives""","""X9665_352.1215_8.28_pos""","""X9665_352.1215_8.28_pos""","""X9665_352.1215_8.28_pos""","4","84","""X9665_352.1215_8.28_pos""","false","""X9665_352.1215_8.28_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X9610_376.1611_5.13_pos""","""X9610_376.1611_5.13_pos""","""X9610_376.1611_5.13_pos""","30","148","""X9610_376.1611_5.13_pos""","false","""X9610_376.1611_5.13_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X9581_395.1388_9.28_pos""","""X9581_395.1388_9.28_pos""","""X9581_395.1388_9.28_pos""","3","114","""X9581_395.1388_9.28_pos""","false","""X9581_395.1388_9.28_pos"""
"NA","""Unk""","""Medium-chain fatty acids""","""X9561_285.1605_9.33_pos""","""X9561_285.1605_9.33_pos""","""X9561_285.1605_9.33_pos""","29","72","""X9561_285.1605_9.33_pos""","false","""X9561_285.1605_9.33_pos"""
"NA","""Unk""","""Fatty acid esters""","""X9548_359.0786_7.94_pos""","""X9548_359.0786_7.94_pos""","""X9548_359.0786_7.94_pos""","35","73","""X9548_359.0786_7.94_pos""","false","""X9548_359.0786_7.94_pos"""
"NA","""Unk""","NA","""X9538_385.2437_8.05_pos""","""X9538_385.2437_8.05_pos""","""X9538_385.2437_8.05_pos""","35","99","""X9538_385.2437_8.05_pos""","false","""X9538_385.2437_8.05_pos"""
"NA","""Unk""","""Sesquiterpenoids""","""X9523_399.1627_9.71_pos""","""X9523_399.1627_9.71_pos""","""X9523_399.1627_9.71_pos""","29","72","""X9523_399.1627_9.71_pos""","false","""X9523_399.1627_9.71_pos"""
"NA","""Unk""","""null""","""X9514_619.2090_7.55_pos""","""X9514_619.2090_7.55_pos""","""X9514_619.2090_7.55_pos""","4","84","""X9514_619.2090_7.55_pos""","false","""X9514_619.2090_7.55_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X95_443.1891_7.80_pos""","""X95_443.1891_7.80_pos""","""X95_443.1891_7.80_pos""","2","157","""X95_443.1891_7.80_pos""","false","""X95_443.1891_7.80_pos"""
"NA","""Unk""","""Naphthofurans""","""X9498_368.0944_4.07_pos""","""X9498_368.0944_4.07_pos""","""X9498_368.0944_4.07_pos""","41","138","""X9498_368.0944_4.07_pos""","false","""X9498_368.0944_4.07_pos"""
"NA","""Unk""","""Flavonoid C-glycosides""","""X9477_603.3002_7.99_pos""","""X9477_603.3002_7.99_pos""","""X9477_603.3002_7.99_pos""","4","84","""X9477_603.3002_7.99_pos""","false","""X9477_603.3002_7.99_pos"""
"NA","""Unk""","""Chromones""","""X9472_310.0923_5.78_pos""","""X9472_310.0923_5.78_pos""","""X9472_310.0923_5.78_pos""","22","96","""X9472_310.0923_5.78_pos""","false","""X9472_310.0923_5.78_pos"""
"NA","""Unk""","""Benzenesulfonamides""","""X9457_296.0723_4.23_pos""","""X9457_296.0723_4.23_pos""","""X9457_296.0723_4.23_pos""","22","96","""X9457_296.0723_4.23_pos""","false","""X9457_296.0723_4.23_pos"""
"NA","""Unk""","""null""","""X9434_398.1082_5.49_pos""","""X9434_398.1082_5.49_pos""","""X9434_398.1082_5.49_pos""","13","73","""X9434_398.1082_5.49_pos""","false","""X9434_398.1082_5.49_pos"""
"NA","""Unk""","""Cinnamic acid esters""","""X9421_769.2682_7.97_pos""","""X9421_769.2682_7.97_pos""","""X9421_769.2682_7.97_pos""","35","73","""X9421_769.2682_7.97_pos""","false","""X9421_769.2682_7.97_pos"""
"NA","""Unk""","""L-alpha-amino acids""","""X941_134.0812_3.78_pos""","""X941_134.0812_3.78_pos""","""X941_134.0812_3.78_pos""","27","81","""X941_134.0812_3.78_pos""","false","""X941_134.0812_3.78_pos"""
"NA","""Unk""","""null""","""X9368_656.1609_6.68_pos""","""X9368_656.1609_6.68_pos""","""X9368_656.1609_6.68_pos""","20","74","""X9368_656.1609_6.68_pos""","false","""X9368_656.1609_6.68_pos"""
"NA","""Unk""","""null""","""X935_303.1408_4.57_pos""","""X935_303.1408_4.57_pos""","""X935_303.1408_4.57_pos""","55","86","""X935_303.1408_4.57_pos""","false","""X935_303.1408_4.57_pos"""
"NA","""Unk""","""null""","""X9346_625.1425_5.50_pos""","""X9346_625.1425_5.50_pos""","""X9346_625.1425_5.50_pos""","20","74","""X9346_625.1425_5.50_pos""","false","""X9346_625.1425_5.50_pos"""
"NA","""Unk""","""Lignan glycosides""","""X934_561.1943_5.79_pos""","""X934_561.1943_5.79_pos""","""X934_561.1943_5.79_pos""","35","73","""X934_561.1943_5.79_pos""","false","""X934_561.1943_5.79_pos"""
"NA","""Unk""","""Macrolides and analogues""","""X9338_499.2535_10.49_pos""","""X9338_499.2535_10.49_pos""","""X9338_499.2535_10.49_pos""","4","84","""X9338_499.2535_10.49_pos""","false","""X9338_499.2535_10.49_pos"""
"NA","""Unk""","""null""","""X897_254.1903_10.18_pos""","""X897_254.1903_10.18_pos""","""X897_254.1903_10.18_pos""","58","103","""X897_254.1903_10.18_pos""","false","""X897_254.1903_10.18_pos"""
"NA","""Unk""","""Diterpene glycosides""","""X9333_609.2180_7.74_pos""","""X9333_609.2180_7.74_pos""","""X9333_609.2180_7.74_pos""","35","73","""X9333_609.2180_7.74_pos""","false","""X9333_609.2180_7.74_pos"""
"NA","""Unk""","""Unknown""","""X9268_515.2110_8.87_pos""","""X9268_515.2110_8.87_pos""","""X9268_515.2110_8.87_pos""","7","144","""X9268_515.2110_8.87_pos""","false","""X9268_515.2110_8.87_pos"""
"NA","""Unk""","""Aurone flavonoids""","""X9252_439.0852_7.20_pos""","""X9252_439.0852_7.20_pos""","""X9252_439.0852_7.20_pos""","35","73","""X9252_439.0852_7.20_pos""","false","""X9252_439.0852_7.20_pos"""
"NA","""Unk""","""N-acyl amines""","""X345_547.3445_9.56_pos""","""X345_547.3445_9.56_pos""","""X345_547.3445_9.56_pos""","21","95","""X345_547.3445_9.56_pos""","false","""X345_547.3445_9.56_pos"""
"NA","""Unk""","""Diterpenoids""","""X9228_305.2452_10.97_pos""","""X9228_305.2452_10.97_pos""","""X9228_305.2452_10.97_pos""","29","72","""X9228_305.2452_10.97_pos""","false","""X9228_305.2452_10.97_pos"""
"NA","""Unk""","""Lignan glycosides""","""X9223_551.2123_6.44_pos""","""X9223_551.2123_6.44_pos""","""X9223_551.2123_6.44_pos""","4","84","""X9223_551.2123_6.44_pos""","false","""X9223_551.2123_6.44_pos"""
"NA","""Unk""","NA","""X9220_489.2279_7.19_pos""","""X9220_489.2279_7.19_pos""","""X9220_489.2279_7.19_pos""","35","99","""X9220_489.2279_7.19_pos""","false","""X9220_489.2279_7.19_pos"""
"NA","""Unk""","""Isoflavonoid O-glycosides""","""X9209_431.1348_5.93_pos""","""X9209_431.1348_5.93_pos""","""X9209_431.1348_5.93_pos""","78","153","""X9209_431.1348_5.93_pos""","false","""X9209_431.1348_5.93_pos"""
"NA","""Unk""","""Quassinoids""","""X9197_399.1988_6.89_pos""","""X9197_399.1988_6.89_pos""","""X9197_399.1988_6.89_pos""","3","90","""X9197_399.1988_6.89_pos""","false","""X9197_399.1988_6.89_pos"""
"NA","""Unk""","NA","""X9192_506.2050_7.32_pos""","""X9192_506.2050_7.32_pos""","""X9192_506.2050_7.32_pos""","53","76","""X9192_506.2050_7.32_pos""","false","""X9192_506.2050_7.32_pos"""
"NA","""Unk""","""null""","""X9180_541.2984_8.27_pos""","""X9180_541.2984_8.27_pos""","""X9180_541.2984_8.27_pos""","4","84","""X9180_541.2984_8.27_pos""","false","""X9180_541.2984_8.27_pos"""
"""Quercetin-glc-glc-xyl""","""Flavonoid""","""Flavonoid-7-O-glycosides""","""X9161_757.2188_5.55_pos""","""X9161_757.2188_5.55_pos""","""X9161_757.2188_5.55_pos""","29","72","""X9161_757.2188_5.55_pos""","false","""X9161_757.2188_5.55_pos"""
"NA","""Unk""","""Unknown""","""X9160_175.1381_5.01_pos""","""X9160_175.1381_5.01_pos""","""X9160_175.1381_5.01_pos""","78","153","""X9160_175.1381_5.01_pos""","false","""X9160_175.1381_5.01_pos"""
"NA","""Unk""","""N-acyl amines""","""X916_499.2110_7.21_pos""","""X916_499.2110_7.21_pos""","""X916_499.2110_7.21_pos""","35","73","""X916_499.2110_7.21_pos""","false","""X916_499.2110_7.21_pos"""
"NA","""Unk""","""Diterpene lactones""","""X9148_373.1808_7.22_pos""","""X9148_373.1808_7.22_pos""","""X9148_373.1808_7.22_pos""","35","99","""X9148_373.1808_7.22_pos""","false","""X9148_373.1808_7.22_pos"""
"NA","""Unk""","""Fatty acyl glycosides of mono- and disaccharides""","""X9146_525.2310_9.43_pos""","""X9146_525.2310_9.43_pos""","""X9146_525.2310_9.43_pos""","3","90","""X9146_525.2310_9.43_pos""","false","""X9146_525.2310_9.43_pos"""
"NA","""Unk""","""Tricarboxylic acids and derivatives""","""X9142_353.1575_7.31_pos""","""X9142_353.1575_7.31_pos""","""X9142_353.1575_7.31_pos""","36","73","""X9142_353.1575_7.31_pos""","false","""X9142_353.1575_7.31_pos"""
"NA","""Unk""","NA","""X9136_499.0804_8.60_pos""","""X9136_499.0804_8.60_pos""","""X9136_499.0804_8.60_pos""","63","117","""X9136_499.0804_8.60_pos""","false","""X9136_499.0804_8.60_pos"""
"NA","""Unk""","""Flavonoid 8-C-glycosides""","""X9135_453.1430_6.67_pos""","""X9135_453.1430_6.67_pos""","""X9135_453.1430_6.67_pos""","35","73","""X9135_453.1430_6.67_pos""","false","""X9135_453.1430_6.67_pos"""
"NA","""Unk""","""Benzoic acid esters""","""X4503_437.1785_10.99_pos""","""X4503_437.1785_10.99_pos""","""X4503_437.1785_10.99_pos""","61","112","""X4503_437.1785_10.99_pos""","false","""X4503_437.1785_10.99_pos"""
"NA","""Unk""","""Podophyllotoxins""","""X910_589.1909_7.65_pos""","""X910_589.1909_7.65_pos""","""X910_589.1909_7.65_pos""","35","73","""X910_589.1909_7.65_pos""","false","""X910_589.1909_7.65_pos"""
"NA","""Unk""","""Very long-chain fatty acids""","""X9096_525.3043_9.21_pos""","""X9096_525.3043_9.21_pos""","""X9096_525.3043_9.21_pos""","4","84","""X9096_525.3043_9.21_pos""","false","""X9096_525.3043_9.21_pos"""
"NA","""Unk""","""Flavonols""","""X9093_317.0663_8.99_pos""","""X9093_317.0663_8.99_pos""","""X9093_317.0663_8.99_pos""","22","96","""X9093_317.0663_8.99_pos""","false","""X9093_317.0663_8.99_pos"""
"NA","""Unk""","""Furanochromones""","""X908_469.1681_5.71_pos""","""X908_469.1681_5.71_pos""","""X908_469.1681_5.71_pos""","13","73","""X908_469.1681_5.71_pos""","false","""X908_469.1681_5.71_pos"""
"NA","""Unk""","""Flavonoid-3-O-glycosides""","""X9072_633.1423_6.22_pos""","""X9072_633.1423_6.22_pos""","""X9072_633.1423_6.22_pos""","20","74","""X9072_633.1423_6.22_pos""","false","""X9072_633.1423_6.22_pos"""
"NA","""Unk""","""Diterpenoids""","""X9040_289.2524_12.38_pos""","""X9040_289.2524_12.38_pos""","""X9040_289.2524_12.38_pos""","29","72","""X9040_289.2524_12.38_pos""","false","""X9040_289.2524_12.38_pos"""
"NA","""Unk""","""Cyclic alcohols and derivatives""","""X903_357.1904_7.60_pos""","""X903_357.1904_7.60_pos""","""X903_357.1904_7.60_pos""","35","73","""X903_357.1904_7.60_pos""","false","""X903_357.1904_7.60_pos"""
"NA","""Unk""","""Fatty acyl glycosides of mono- and disaccharides""","""X1533_543.2378_7.58_pos""","""X1533_543.2378_7.58_pos""","""X1533_543.2378_7.58_pos""","3","90","""X1533_543.2378_7.58_pos""","false","""X1533_543.2378_7.58_pos"""
"NA","""Unk""","""O-glycosyl compounds""","""X9029_369.1516_6.23_pos""","""X9029_369.1516_6.23_pos""","""X9029_369.1516_6.23_pos""","36","73","""X9029_369.1516_6.23_pos""","false","""X9029_369.1516_6.23_pos"""
"NA","""Unk""","""Tricarboxylic acids and derivatives""","""X9018_360.1678_6.68_pos""","""X9018_360.1678_6.68_pos""","""X9018_360.1678_6.68_pos""","35","73","""X9018_360.1678_6.68_pos""","false","""X9018_360.1678_6.68_pos"""
"NA","""Unk""","""Saccharolipids""","""X9016_621.1563_5.31_pos""","""X9016_621.1563_5.31_pos""","""X9016_621.1563_5.31_pos""","30","80","""X9016_621.1563_5.31_pos""","false","""X9016_621.1563_5.31_pos"""
"NA","""Unk""","NA","""X900_459.1904_6.44_pos""","""X900_459.1904_6.44_pos""","""X900_459.1904_6.44_pos""","35","73","""X900_459.1904_6.44_pos""","false","""X900_459.1904_6.44_pos"""
"""Quercetin-rha-glc-xyl""","""Flavonoid""","""Flavonoid-3-O-glycosides""","""X9_743.2029_6.19_pos""","""X9_743.2029_6.19_pos""","""X9_743.2029_6.19_pos""","26","74","""X9_743.2029_6.19_pos""","false","""X9_743.2029_6.19_pos"""
"NA","""Unk""","""Benzylisoquinolines""","""X8976_611.3042_10.75_pos""","""X8976_611.3042_10.75_pos""","""X8976_611.3042_10.75_pos""","3","90","""X8976_611.3042_10.75_pos""","false","""X8976_611.3042_10.75_pos"""
"NA","""Unk""","""Iridoid O-glycosides""","""X8969_637.1527_5.02_pos""","""X8969_637.1527_5.02_pos""","""X8969_637.1527_5.02_pos""","30","80","""X8969_637.1527_5.02_pos""","false","""X8969_637.1527_5.02_pos"""
"NA","""Unk""","""Unknown""","""X8963_314.0876_6.07_pos""","""X8963_314.0876_6.07_pos""","""X8963_314.0876_6.07_pos""","22","96","""X8963_314.0876_6.07_pos""","false","""X8963_314.0876_6.07_pos"""
"NA","""Unk""","""Stilbenes""","""X8953_267.1022_5.94_pos""","""X8953_267.1022_5.94_pos""","""X8953_267.1022_5.94_pos""","13","82","""X8953_267.1022_5.94_pos""","false","""X8953_267.1022_5.94_pos"""
"NA","""Unk""","""Furofurans""","""X8948_457.2369_6.83_pos""","""X8948_457.2369_6.83_pos""","""X8948_457.2369_6.83_pos""","4","84","""X8948_457.2369_6.83_pos""","false","""X8948_457.2369_6.83_pos"""
"NA","""Unk""","""Saccharolipids""","""X8947_621.1570_5.53_pos""","""X8947_621.1570_5.53_pos""","""X8947_621.1570_5.53_pos""","30","80","""X8947_621.1570_5.53_pos""","false","""X8947_621.1570_5.53_pos"""
"""Phaseolic acid""","""Phenylpropanoid""","""Butenolides""","""X8943_297.0642_5.96_pos""","""X8943_297.0642_5.96_pos""","""X8943_297.0642_5.96_pos""","22","96","""X8943_297.0642_5.96_pos""","false","""X8943_297.0642_5.96_pos"""
"NA","""Unk""","""null""","""X8908_622.1409_5.64_pos""","""X8908_622.1409_5.64_pos""","""X8908_622.1409_5.64_pos""","30","80","""X8908_622.1409_5.64_pos""","false","""X8908_622.1409_5.64_pos"""
"NA","""Unk""","""Oligopeptides""","""X8886_441.2464_8.89_pos""","""X8886_441.2464_8.89_pos""","""X8886_441.2464_8.89_pos""","4","84","""X8886_441.2464_8.89_pos""","false","""X8886_441.2464_8.89_pos"""
"NA","""Unk""","""Formula predicted""","""X1414_219.1025_7.47_pos""","""X1414_219.1025_7.47_pos""","""X1414_219.1025_7.47_pos""","46","154","""X1414_219.1025_7.47_pos""","false","""X1414_219.1025_7.47_pos"""
"NA","""Unk""","""Hydroxycinnamic acids""","""X8854_195.0556_7.21_pos""","""X8854_195.0556_7.21_pos""","""X8854_195.0556_7.21_pos""","35","99","""X8854_195.0556_7.21_pos""","false","""X8854_195.0556_7.21_pos"""
"NA","""Unk""","""Unknown""","""X8837_165.0574_6.99_pos""","""X8837_165.0574_6.99_pos""","""X8837_165.0574_6.99_pos""","22","96","""X8837_165.0574_6.99_pos""","false","""X8837_165.0574_6.99_pos"""
"NA","""Unk""","""Carbamate esters""","""X8833_189.1545_4.01_pos""","""X8833_189.1545_4.01_pos""","""X8833_189.1545_4.01_pos""","78","153","""X8833_189.1545_4.01_pos""","false","""X8833_189.1545_4.01_pos"""
"NA","""Unk""","""O-glycosyl compounds""","""X12583_347.1664_4.01_pos""","""X12583_347.1664_4.01_pos""","""X12583_347.1664_4.01_pos""","4","84","""X12583_347.1664_4.01_pos""","false","""X12583_347.1664_4.01_pos"""
"NA","""Flavonoid""","""Flavone O-glycosides""","""X8829_535.1087_8.09_pos""","""X8829_535.1087_8.09_pos""","""X8829_535.1087_8.09_pos""","29","72","""X8829_535.1087_8.09_pos""","false","""X8829_535.1087_8.09_pos"""
"NA","""Unk""","""Hydroxycinnamic acids""","""X8827_165.0578_6.82_pos""","""X8827_165.0578_6.82_pos""","""X8827_165.0578_6.82_pos""","22","96","""X8827_165.0578_6.82_pos""","false","""X8827_165.0578_6.82_pos"""
"NA","""Unk""","""Diterpenoids""","""X8818_305.2474_11.22_pos""","""X8818_305.2474_11.22_pos""","""X8818_305.2474_11.22_pos""","29","72","""X8818_305.2474_11.22_pos""","false","""X8818_305.2474_11.22_pos"""
"NA","""Unk""","""Macrolactams""","""X877_805.3293_10.88_pos""","""X877_805.3293_10.88_pos""","""X877_805.3293_10.88_pos""","38","105","""X877_805.3293_10.88_pos""","false","""X877_805.3293_10.88_pos"""
"NA","""Unk""","""Cardenolide glycosides and derivatives""","""X8621_557.2566_6.06_pos""","""X8621_557.2566_6.06_pos""","""X8621_557.2566_6.06_pos""","78","153","""X8621_557.2566_6.06_pos""","false","""X8621_557.2566_6.06_pos"""
"NA","""Unk""","""6-prenylated flavones""","""X840_391.1923_7.32_pos""","""X840_391.1923_7.32_pos""","""X840_391.1923_7.32_pos""","39","85","""X840_391.1923_7.32_pos""","false","""X840_391.1923_7.32_pos"""
