"","MD_11","MD_12","MD_14","MD_15","MD_16","MD_17","MD_18","MW_1","MW_10","MW_2","MW_3","MW_5","MW_6","MW_8","MW_9"
"Module_1",-4.59294585640588,1.8096719362796,2.89827522488382,-3.88015123413881,-1.79332103820132,-3.16972469192878,-3.93513557309955,2.8113247822283,5.1262084782764,2.86669561101442,-2.03359628219676,-4.25621620902034,6.99666716082694,6.8246864577499,-5.67243876626795
"Module_2",-8.92071723055006,-6.48495941175494,4.11152125102685,-5.57101765611756,-2.66205953825404,-2.97299585521489,-1.65229951834277,-2.82368546331035,6.81862284291908,6.70752756017562,6.30042366465238,6.36841119576182,-3.27272373068253,-3.58517856987906,7.63913045957044
"Module_3",-8.57249006529171,-8.57484202334216,-6.8858229756368,-7.00437061002729,0.657722841668045,3.28980659554021,-1.07948044700138,4.78964570053557,3.03787918158874,7.02191480324603,5.42829000504703,2.15575843464677,3.37879643219043,-4.87657628554976,7.23376841238628
"Module_4",-7.95295851542551,-11.0673819167175,-6.98791472402959,-5.95088188520811,-0.0508812243931498,3.31856128130384,-0.147072163044906,3.52605488199789,5.68048445764747,7.0952683229171,4.45664393226262,3.33426270674902,2.66996213730164,-6.04042070657765,8.11627341521683
"Module_5",-2.86810944700535,-2.86711239087428,0.370115180433002,-1.23266982934548,-0.140530128600393,-0.80013772565094,-0.0177451437281254,-1.3750162043902,3.58460160699848,1.28969948998589,0.723274884488404,2.06362830319145,-1.22378271872805,-0.505004890528255,2.99878901375386
"Module_6",-0.23722640127342,-2.42729769485724,-1.48865129124676,1.11196487920545,1.52045102491189,0.952104368329548,-0.566795017842026,1.6496025791127,0.033860828098976,-2.72117993383069,1.56406970717444,0.428512496014728,-0.384068690869398,-0.360727890368919,0.925381037440746
"Module_7",-3.05663855799182,-1.86014342718628,-1.92940890200316,-1.91765307109363,-2.2877682354298,-3.35976289501974,-2.19615470565162,5.72215378425973,4.45136566020374,6.05487590334216,0.0160742622132031,-3.04911200096984,4.02649099814982,2.50433604956645,-3.11865486238919
"Module_8",-5.4621015454625,-5.89667537233607,-1.26543769625637,-1.68826154603014,-1.46312082199023,1.58106675134372,-0.707400712742331,1.02046568043939,5.05756622410553,2.05385940144359,2.8182706324438,0.871191886331229,2.6503325703517,-2.30663990983144,2.73688445819013
"Module_9",-0.983505401964358,1.20566341179211,2.28828807878362,-1.63377051617124,-1.65937507426452,-0.631062155212111,-0.948878263148662,-1.14107025306153,0.304971765820816,2.74696406976463,-0.387920242999967,0.725531355783408,0.002455633858964,0.546889051644914,-0.435181460626122
"Module_10",-7.37306129903173,-6.38133986351884,-0.483692551847707,-4.0935041285738,-2.15393819506439,-3.26625624085234,-1.24287178815803,-0.802843092787395,7.01564326792498,2.38103919824543,4.58123968893331,7.35612711930731,-2.24387595126391,0.0299234366659923,6.67741040002112
"Module_11",-2.16063334914758,-1.67554896513081,-0.18649773902775,-1.33437059975649,-0.603758272290501,0.474712214291645,-1.20182768329766,1.41727116089453,1.27419973424507,0.640004525893252,-0.148971436601299,-1.36717900606138,2.67316476344596,1.38357706955535,0.815857582987662
"Module_12",-1.95580058022673,-1.04694247785175,-0.372417526776501,-1.95931272113412,-0.635369488326424,-0.648470012474395,-1.17442174282112,-0.211662972770769,1.87006566700233,2.54499579012882,2.01132539647256,0.665334218032073,-0.150929280659419,-0.264060875313027,1.32766660671845
"Module_13",-6.09995051938801,-6.67252633407461,-1.80149024708749,-3.62938804270384,-0.522548084259561,1.22039035953498,0.469027735502855,2.47889021856907,5.90731597052836,5.00108436817015,4.68182851352419,1.66445194823558,1.70550627771807,-7.50982820178637,3.1072360375166
"Module_14",-0.0739833095762935,1.20999883483474,2.96303655113237,-0.0899689535946093,1.29469872313577,1.73988020039315,1.02909689585836,-6.04232340258041,3.61598910421951,-8.11225119758875,2.79714849993251,2.21875625399814,-7.53400904548769,1.65516612914077,3.32876471618242
"Module_15",-2.1564242174101,0.875639235122381,1.89060118403815,-2.25184815799604,0.95011864680277,-1.24900275613183,-2.3614043297868,2.33705858711299,-3.35873060547441,-3.58455888144607,3.66137495467731,4.26195885790399,1.56856372058988,-2.94404027897474,2.36069404097251
"Module_16",-2.02262890743114,0.795088699476045,1.36002815101287,-1.54028649228726,1.06341041106845,-1.99034080961815,0.654654832671475,-1.27280177050133,-2.3461031806368,0.387177239183994,1.04888619343223,1.11720518886234,0.896641230687373,0.376886261952196,1.47218295212771
"Module_17",-1.33942647269457,0.0128249857327554,-1.00934942809792,-1.28336533192547,0.156513482029407,-0.94312234184711,-0.578281406931725,4.18636494606692,-0.129605869487062,0.488594011544112,0.495067891841665,-0.374150498637742,-1.05643003886913,-0.134294951667997,1.50866102294386
"Module_18",-0.53124239788136,-0.742439481755972,-0.81031792404403,-0.0493693453175648,0.498979117009622,-0.0977422485660787,-0.475737375217,-0.828576328003528,2.30754947520786,-0.742451635105863,2.34800673198839,0.28609958904636,-1.98246978140083,-0.756561162751845,1.57627276679185
"Module_19",-1.37780788939042,-1.72052170998883,-0.0332279238062493,-1.3784812633449,-0.504863014243341,-1.12005842623394,-0.2398329884987,1.92454904338552,0.98886127008801,0.852877917251856,1.08137112247053,-1.29970097805485,1.6567767085118,-0.374272319947682,1.54433045180119
"Module_20",-3.14825480512117,2.91304912513731,5.44123963342289,-0.853763886253098,4.69405376883215,4.79495114482242,3.54084601044609,-4.90204708788432,0.564801982073481,-6.07095271364119,2.43256712338553,4.05786552199108,-4.22335161029349,-4.74203321421623,-4.49897099270146
"Module_21",-2.99346467927725,-0.696581353303734,-2.54096694005811,-1.68332173776049,-0.592545411505279,0.942517175869523,-1.97675588575213,2.04576483471253,2.63360258975661,3.40620727111834,-5.79164740607446,1.13481665683126,3.47281364868425,0.528504428146059,2.11105680861289
"Module_22",-4.05176864349084,6.45233102112496,6.28489777455797,-4.55370250277273,-4.58440798699539,-5.08355962881988,-3.86183314399309,0.701393342590312,3.20975283796462,-2.87188185844961,5.01776651896793,6.58842972424432,-2.48522210864963,5.57553319150349,-6.33772853778245
"Module_23",-1.67513716674023,-2.4553733571649,0.469408245354957,-1.4673821610719,-0.409733522454976,-1.17868665259433,0.490061774267344,-0.878072764102264,1.80833509472532,0.725523455149381,2.07372000883192,3.51896280109508,0.188891152050572,-3.36048992370469,2.14997301635873
"Module_24",-0.121138456690002,0.117572333255495,0.0864814368777436,0.24082703342397,-0.374674524232756,-0.88361774925793,-0.401287547224422,4.75974611203536,-0.397021591607428,-0.442725658406776,-0.315239418132214,-1.30843229175116,0.251085105670913,0.115667114435931,-1.32724189839672
"Module_25",-2.2360720970657,-4.89416258250097,-2.28623292601503,-1.03857218997098,0.329001485233629,1.94176815036586,-0.181506999886967,1.1131440846303,2.60056443807062,-0.199022562231336,2.59845379469781,1.18356196788721,0.886329631255333,-2.28694962752906,2.46969543305929
"Module_26",-3.8996280939489,2.56944225929596,2.23885326617382,-2.94817058064288,2.48862924134054,2.50418660454186,1.89827373117891,-2.35151299894997,1.12200733044825,-2.92514746844878,-2.39472994310051,2.44844481059893,1.40785951610784,-2.9404451614073,0.781937486812239
"Module_27",-6.02584894274684,-2.26442676464275,-2.89547947023332,-3.03968387855872,-0.136530254516231,-1.34820089653209,-3.00850763717249,0.791804160245673,6.72267152125145,3.04167026479833,4.39918710787045,2.44538293478168,-3.43131770352929,-2.24147856391977,6.99075812290393
"Module_28",-2.57187638797249,0.870637648482143,-0.824218792997633,-4.51275657500527,0.465951226245516,-0.45193805549945,3.09457126495209,0.810359642944352,-1.00973217961038,-0.48336129831798,1.94414640436927,0.189455491025565,3.46803868415114,2.22349224036284,-3.21276931312969
"Module_29",-6.42554788670547,-6.30083877737084,-3.54391560626107,-4.48586359881823,0.788429562479112,2.2984420269245,-1.15689722062224,1.88507709678824,3.82112649557499,3.2490537977366,5.68341252460372,1.54208628549354,-1.06011169177254,0.339682888911769,3.36586410303792
"Module_30",-2.39370607395302,3.43428022087707,4.61385493454305,-1.21559570214615,3.33945936697895,3.09191607225255,2.80779996097929,-3.72029515681425,-0.703674013608239,-4.01800967666907,1.84612278075227,3.03363558423744,-4.09526524775075,-2.16174801344928,-3.85877503622985
"Module_31",-3.52089147802421,2.61512248171867,0.807213414595632,-0.0933692941681733,0.108995757424527,1.04396863283686,-0.204870137099764,0.715444648720719,1.70333546889412,1.43373161871157,-0.153912060170926,2.01611204648406,-3.55805386711201,1.11193072635907,-4.02475795917015
"Module_32",-1.43132418699411,-1.0350344353141,-1.27558136947721,-1.5498087584602,-1.43524870932849,0.858977139653063,-0.710357108756478,0.437052767366573,0.573595239380527,-0.6453598538848,-1.61279302170347,2.22802137428676,0.604186146526969,4.32106909418758,0.672605682517367
"Module_33",-1.98538456628494,-1.03369352228773,-1.17151108062835,-3.08336686978258,-1.07104069311096,-1.30457119554855,-1.20232179708776,3.17877605492838,2.02449198871044,1.00618043501047,3.02589629603287,0.139956167829825,0.907303243694995,-0.7271368784581,1.29642241698199
"Module_34",-3.00438207018059,2.48642187549753,3.86446014529422,-5.44973433651144,0.847029358339767,-2.16718843785729,0.982284184274944,1.11964009775206,-5.96089795505968,0.548339415694634,0.39410434564075,2.83209734729473,5.25882060116993,1.25339944979325,-3.00439402114284
"Module_35",-10.7314156462596,-5.91061342614813,-0.294631528559149,-7.15584165630936,-1.5102415222944,-1.81701595138208,-0.0880784146848438,2.40801645861469,8.10544655424991,5.09184246290023,5.52511675653964,3.50291706327487,2.23075506752616,-3.20038345578323,3.84412723831533
"Module_36",-5.47133842826897,-0.00603313812523945,-2.21671163996832,-3.93601051248269,-1.40740643882917,-0.043152438227154,-2.34285906640944,1.844278283663,3.58868077248331,2.74726427165521,1.91239464270852,-0.494784142498307,3.38275023767804,1.93260077556544,0.510326821055775
"Module_37",-1.88013033854843,-1.99868545067752,-2.1219653690833,-0.597970350339287,-0.546467797953044,0.202503640544565,-0.973027269498001,0.368189609107054,1.68276933624083,0.894763558014846,0.717540819652457,0.52786232645586,2.00156688904671,0.766292615191124,0.956757781846137
"Module_38",-3.69044831721533,-1.52112716863461,0.935162998948535,-2.52554239095176,-0.0318846674252079,0.475890256623143,-1.67727833674689,0.519009299261554,-0.69550619075915,1.17512637578722,0.723356619725322,4.50330466035194,-0.0609400450984435,1.4830627465513,0.38781415958238
"Module_39",-7.7107238359409,-7.2699271673745,0.424547126603506,-4.66974730701042,-1.39916111065843,-2.02284708732399,-1.51839576810905,-1.69421807829978,8.76067498225815,3.00141199908394,4.56021627032092,4.79558375495423,-1.99688806151389,-2.67096777098408,9.41044205399427
"Module_40",0.843546534350089,-1.11327334707389,1.73304272824459,1.17446377439265,-1.86434564400138,0.726465607595178,0.498547173315429,-1.92349531353052,2.56134551083624,-1.04471843264737,-5.02852890410581,1.18340941685425,-0.282424722369855,-0.304360742579704,2.84032636072011
"Module_41",-4.05323693992241,2.06348787801991,-4.56708414503173,-3.97399383644575,-1.06548699103806,0.0446064655360631,-1.94561799189867,1.79858136285247,5.25189518600458,0.625517315021901,3.28403143807599,-0.958545288821177,0.896333347071869,-1.70593561140696,4.30544781198196
"Module_42",0.666095311493525,-0.962897303939626,-0.0702077624043971,-1.74351279892987,0.949238565432497,1.63288610878117,-0.425484820334586,2.09559690757547,-0.0855879639171886,0.137218003648002,-0.111599813187344,-2.40142862028007,1.50047624936899,1.50157620059889,-2.68236826390542
"Module_43",0.0192956082546467,1.09660059863184,-0.176317671220516,-0.23128597329347,0.148691851098642,0.938333543122486,-0.527470297081034,1.82294589988734,1.15680364722144,-0.131927536971095,-5.32318252219124,-1.19790447372327,1.38823150922869,0.741713584107853,0.275472232927663
